anid,remote,a1w4,a2w9,a3w12
0,#10F037D7,0.615,0.861,0.188
1,#11B965CD,0.923,0.972,0.781
2,#1451551,0.769,0.833,0.825
3,#1891A92,0.769,0.861,0.744
4,#18AF67D,0.923,0.944,0.744
5,#1A5F8BCE,0.846,1.000,0.806
6,#1B2DB583,0.923,0.875,0.869
7,#1DF847A2,1.000,0.944,0.825
8,#24052C0D,0.885,0.750,0.575
9,#245C473F,0.808,0.917,0.775
10,#245CBFC7,0.923,0.972,0.863
11,#2485BA1B,0.577,0.660,0.725
12,#25A970FC,0.692,0.583,0.244
13,#26AAF478,0.885,0.604,0.500
14,#270A92BF,0.654,0.750,0.000
15,#288CA4,0.923,0.625,0.631
16,#319EDB74,0.923,0.722,0.125
17,#31D4A144,0.731,0.778,0.825
18,#31D631D6,0.846,0.903,0.806
19,#320684B0,0.885,0.917,0.731
20,#322CD6C8,0.731,0.688,0.388
21,#324C423C,0.808,0.549,
22,#32878C39,0.423,0.750,0.444
23,#329EB21E,,0.778,0.606
24,#32A8B329,0.962,0.819,0.544
25,#32FBD21B,0.808,0.632,0.181
26,#33233222,1.000,0.944,0.731
27,#33A70296,1.000,0.833,0.831
28,#33DF4AA6,0.000,0.650,0.650
29,#344C80F8,1.000,1.000,0.700
30,#34A59302,0.769,0.833,0.675
31,#34C59E6F,0.846,0.819,0.825
32,#34CBF10E,0.885,1.000,0.763
33,#34F333F4,0.923,0.861,0.869
34,#3518BB96,0.923,0.417,0.344
35,#358DBC04,0.923,0.833,0.800
36,#35F534F4,0.769,0.847,0.713
37,#3666FFAF,0.577,0.944,0.394
38,#3668E1BF,0.538,0.889,0.675
39,#36AB30AD,0.808,0.833,0.519
40,#36F273B7,0.500,0.750,0.613
41,#3702D9EC,0.615,1.000,0.919
42,#374BD5A9,0.885,0.778,0.750
43,#37FF8A42,0.808,0.806,0.800
44,#380980B1,0.808,0.667,0.606
45,#386DD085,0.808,0.861,0.563
46,#386E9FC9,0.846,0.854,0.469
47,#386F4512,0.808,0.493,0.438
48,#3874662A,0.846,1.000,0.975
49,#38786B2B,0.000,0.535,0.638
50,#388E9127,0.000,0.847,0.713
51,#3890EF47,0.000,0.333,0.631
