qid,FA13_ID,FA14_ID,cans,Topic
0,l2q1,l2q1,4,0
1,l2q2,l2q2,4,0
2,l2q3,l2q3,4,1
3,l2q4,l2q4,4,1
4,l2q5c,l2q5c,1,1
5,l2q6c,l2q6c,1,1
6,l2q7c,l2q7c,3,1
7,l3q1,l3q1,3,2
8,l3q2,l3q2,3,2
9,l3q3t,l3q3c,2,2
10,l3q4t,l3q4c,2,2
11,l3q6,l3q6,2,2
12,l3q7,l3q7,2,2
13,l4q1,l4q1,2,3
14,l4q2,l4q2,2,3
15,l4q3c,l4q3c,3,3
16,l4q4c,l4q4c,3,3
17,l4q5c,l4q5c,3,3
18,l4q6,l4q6,1,3
19,l4q7,l4q7,1,3
20,l4q8,l4q8,4,4
21,l4q9,l4q9,4,4
22,l5q1,l5q1,2,2
23,l5q2,l5q2,2,2
24,l5q3,l5q3i,1,2
25,l5q5,l5q4,1,2
26,l5q6,l5q5,1,2
27,l5q7c,l5q6c,5,2
28,l5q8c,l5q7c,5,2
29,l5q9c,l5q8c,4,2
30,l6q1t,l6q1c,1,2
31,l6q2t,l6q2c,1,2
32,l6q4,l6q4,1,2
33,l6q5,l6q5,1,2
34,l7q2p,l8q1c,4,5
35,l7q3p,l8q2c,4,5
36,l7q5,l8q4,1,5
37,l7q6,l8q5,1,5
38,l7q7,l8q6i,2,5
39,l7q9,l8q7i,1,5
40,l7q11,l8q8,2,5
41,l7q12,l8q9,2,5
42,l8q1t,l9q1c,1,5
43,l8q2t,l9q2c,1,5
44,l8q4,l9q4,2,8
45,l8q5,l9q5,2,8
46,l8q6,l9q6,3,5
47,l8q7,l9q7,3,5
48,l8q8,l9q8,2,2
49,l8q9,l9q9,2,2
50,l9q1c,l10q1c,3,0
51,l9q2c,l10q2c,3,0
52,l9q3c,l10q3c,1,0
53,l10q1,l7q1,5,7
54,l10q2,l7q2,5,7
55,l10q3t,l7q3c,3,7
56,l10q4t,l7q4c,3,7
57,l11q2,l11q1,3,0
58,l11q3,l11q2,3,0
59,l12q1c,l12q1c,1,0
60,l12q2c,l12q2c,1,0
61,l12q3c,l12q3c,3,0
62,l12q5,l12q4,3,0
63,l12q6,l12q5,3,0
