qid,FA13_ID,FA14_ID,cans
0,l2q1,l2q1,4
1,l2q2,l2q2,4
2,l2q3,l2q3,4
3,l2q4,l2q4,4
4,l2q5c,l2q5c,1
5,l2q6c,l2q6c,1
6,l2q7c,l2q7c,3
7,l3q1,l3q1,3
8,l3q2,l3q2,3
9,l3q3t,l3q3c,2
10,l3q4t,l3q4c,2
11,l3q5t,,
12,,l3q5c,3
13,l3q6,l3q6,2
14,l3q7,l3q7,2
15,l4q1,l4q1,2
16,l4q2,l4q2,2
17,l4q3c,l4q3c,3
18,l4q4c,l4q4c,3
19,l4q5c,l4q5c,3
20,l4q6,l4q6,1
21,l4q7,l4q7,1
22,l4q8,l4q8,4
23,l4q9,l4q9,4
24,l5q1,l5q1,2
25,l5q2,l5q2,2
26,l5q3,l5q3i,1
27,l5q4,,
28,l5q5,l5q4,1
29,l5q6,l5q5,1
30,l5q7c,l5q6c,5
31,l5q8c,l5q7c,5
32,l5q9c,l5q8c,4
33,l6q1t,l6q1c,1
34,l6q2t,l6q2c,1
35,l6q3t,,
36,,l6q3c,2
37,l6q4,l6q4,1
38,l6q5,l6q5,1
39,l7q2p,l8q1c,4
40,l7q3p,l8q2c,4
41,l7q4p,,
42,,l8q3c,2
43,l7q5,l8q4,1
44,l7q6,l8q5,1
45,l7q7,l8q6i,2
46,l7q8,,
47,l7q9,l8q7i,1
48,l7q10,,
49,l7q11,l8q8,2
50,l7q12,l8q9,2
51,l8q1t,l9q1c,1
52,l8q2t,l9q2c,1
53,l8q3t,,
54,,l9q3c,5
55,l8q4,l9q4,2
56,l8q5,l9q5,2
57,l8q6,l9q6,3
58,l8q7,l9q7,3
59,l8q8,l9q8,2
60,l8q9,l9q9,2
61,l9q1c,l10q1c,3
62,l9q2c,l10q2c,3
63,l9q3c,l10q3c,1
64,l10q1,l7q1,5
65,l10q2,l7q2,5
66,l10q3t,l7q3c,3
67,l10q4t,l7q4c,3
68,l10q5t,,
69,,l7q5c,1
70,,l7q6,5
71,,l7q7,5
72,l10q6,,
73,l10q7,,
74,l11q2,l11q1,3
75,l11q3,l11q2,3
76,,l11q3c,4
77,,l11q4c,4
78,,l11q5c,2
79,l12q1c,l12q1c,1
80,l12q2c,l12q2c,1
81,l12q3c,l12q3c,3
82,l12q5,l12q4,3
83,l12q6,l12q5,3
