"anid","remote","week11","week12","week2","week3","week4","week5","week7","week8","week9"
0,"#10F037D7",0,0.8,0,1,1,1,1,1,1
1,"#11B965CD",1,1,1,1,1,1,1,1,1
2,"#1451551",1,1,1,1,1,1,1,1,1
3,"#1891A92",1,1,1,1,1,1,1,1,1
4,"#18AF67D",1,0.8,1,1,1,1,1,1,1
5,"#1A5F8BCE",1,1,1,1,1,1,1,1,1
6,"#1B2DB583",1,1,1,1,1,1,1,1,1
7,"#1DF847A2",1,1,1,1,1,1,1,1,1
8,"#24052C0D",0,0,1,1,1,1,1,1,1
9,"#245C473F",1,1,1,1,1,1,1,1,1
10,"#245CBFC7",1,1,1,1,1,1,1,1,1
11,"#2485BA1B",0,0.8,1,1,0.75,1,1,1,1
12,"#25A970FC",0.5,0.8,1,1,1,0.5,1,1,1
13,"#26AAF478",1,1,1,1,1,1,1,1,1
14,"#270A92BF",0.5,0,1,0.4,1,1,1,1,1
15,"#288CA4",1,0.8,1,1,1,1,1,1,1
16,"#319EDB74",0,0,0.8,1,1,1,1,1,0.667
17,"#31D4A144",1,1,1,1,1,1,1,1,1
18,"#31D631D6",1,1,1,1,0.25,1,1,1,1
19,"#320684B0",1,1,1,1,1,1,1,1,1
20,"#322CD6C8",0,0.8,1,1,1,1,1,1,1
21,"#324C423C",1,0,1,0,0.75,0,1,1,1
22,"#32878C39",1,1,1,1,1,1,1,1,1
23,"#329EB21E",1,0.8,1,1,1,1,1,1,1
24,"#32A8B329",1,1,1,1,1,1,1,1,1
25,"#32FBD21B",0.5,1,1,1,0,1,0,0.5,1
26,"#33233222",1,1,1,1,1,1,1,0.5,1
27,"#33A70296",1,1,1,1,1,1,1,1,0
28,"#33DF4AA6",0.5,0.8,1,1,0.5,1,0.8,1,1
29,"#344C80F8",1,1,1,1,1,1,0,1,1
30,"#34A59302",1,1,1,1,1,1,1,1,1
31,"#34C59E6F",1,1,1,1,1,1,1,1,1
32,"#34CBF10E",0.5,1,0.8,1,0.75,1,0,1,1
33,"#34F333F4",1,1,1,1,1,1,1,1,1
34,"#3518BB96",0.75,1,1,1,1,1,1,1,1
35,"#358DBC04",1,1,1,1,1,1,1,1,0
36,"#35F534F4",1,1,1,1,1,1,1,1,0
37,"#3666FFAF",1,1,1,1,1,1,1,1,1
38,"#3668E1BF",0.75,0,1,1,1,1,1,1,1
39,"#36AB30AD",0.75,1,1,0.8,0.75,1,1,1,1
40,"#36F273B7",1,0.8,1,1,1,1,1,1,1
41,"#3702D9EC",1,1,1,1,1,1,1,1,1
42,"#374BD5A9",0,0,1,1,0.5,0,0.8,0,0
43,"#37FF8A42",0.5,0.8,0.8,1,0.5,0.5,0.8,0.5,0.667
44,"#380980B1",0,0,1,1,0.5,0,0,0,0
45,"#386DD085",0.5,0,1,0.8,0.5,0.5,1,1,1
46,"#386E9FC9",0.5,0,1,1,1,1,1,0,0
47,"#386F4512",1,1,1,0.8,0.75,1,1,1,1
48,"#3874662A",1,0,1,1,0.75,1,1,1,0
49,"#38786B2B",0.5,0,0,1,0,0,0.8,1,0
50,"#388E9127",0.5,1,0.6,1,0.5,0.75,1,0.5,1
51,"#3890EF47",0.5,0,0.6,0.8,0,0,0,0,0
52,"#3ADB24C5",0.5,0.4,0.6,0.8,0.25,0,0.6,0,0
53,"#3AE5E13E",0.5,0.8,1,1,1,0.5,0.8,1,1
54,"#3AE95487",1,0.8,1,0.8,1,1,0.8,0,1
55,"#3AF2C60E",0.75,0,1,1,1,1,1,1,1
56,"#3AF2C800",0.5,0,1,1,0.5,0,0.8,0,0
57,"#3AF3468F",0,0,1,1,0.5,1,1,0,0
58,"#3AF575BA",1,1,1,1,0.75,1,1,1,1
59,"#3AFC8345",0.75,1,1,1,1,0.5,0,1,1
60,"#3AFCD81E",1,1,1,1,1,1,1,1,1
61,"#3AFD06C1",0.5,0.8,1,0.8,0.5,1,0,0,0
62,"#3B013903",0.75,0,1,1,0.5,1,0.6,0,0
63,"#3B03BF87",0.5,1,1,1,1,1,1,1,1
64,"#3B03E5DD",1,0.8,1,0,0.75,1,1,1,1
65,"#3B045867",1,0,1,1,1,1,1,1,1
66,"#3B067C41",1,0.8,1,1,1,1,1,1,1
67,"#3B0B2111",0,1,1,1,1,1,0.8,1,0
68,"#3B0C96A1",0.5,1,0.8,1,0.75,1,1,0,1
69,"#3B0D6F59",0.5,0,1,0.8,0,0,0,0,0
70,"#3B0D8BBD",1,1,1,1,1,1,1,1,1
71,"#3B0D9AAC",1,1,1,1,1,1,1,1,1
72,"#3B0DD3E5",1,1,1,1,0.75,1,1,1,1
73,"#3B0ECFFA",0.5,1,1,0,0,0,1,1,1
74,"#3B0F784C",1,0,1,1,1,1,0,1,0
75,"#3B0F8CB8",0.5,1,1,0.8,0.5,0,0.8,1,1
76,"#3B12FFD6",0.5,0,1,1,0.5,1,0.8,1,0.667
77,"#3B14A788",0.75,0,1,1,1,1,1,1,1
78,"#3B14E3CC",1,1,1,1,1,0.5,1,1,1
79,"#3B15D4FA",1,1,1,1,1,1,1,1,1
80,"#3B16CAE7",0,0,1,1,1,1,1,0,1
81,"#3B17173B",1,1,1,1,1,1,1,1,1
82,"#3B171E32",1,1,1,1,1,1,1,1,1
83,"#3B185B78",1,1,1,1,1,1,1,1,1
84,"#3B1B4666",1,1,1,1,1,1,1,1,1
85,"#3B1E6247",1,1,1,1,0.5,1,1,1,1
86,"#3B21041E",0.5,1,1,0.8,0.75,0.5,0.8,0.5,1
87,"#3B22CAD3",1,1,1,1,0.75,1,1,1,1
88,"#3B27FCE0",1,0,1,1,1,1,1,1,1
89,"#3B28EBF8",1,0,1,0.8,0.5,1,0.8,1,1
90,"#3B2A6372",1,1,1,1,0.75,1,1,1,1
91,"#3B460974",1,1,1,1,1,1,0,1,1
92,"#3B4C8BFC",0.5,0.8,1,1,0.5,0,0.8,0,1
93,"#3B6581DF",0.5,1,0.8,0.8,0,0.5,1,0,1
94,"#3BCABB4A",1,0,1,1,1,1,1,1,1
