anid,remote,exam_total
0,#1264D2A4,80.75
1,#16E7D928,30.5
2,#16EF32CB,56
3,#16F243A7,39
4,#17781877,41
5,#19D25299,91
6,#1E2EC4F4,41
7,#221C0739,45
8,#259E44FF,87
9,#31A1B222,90
10,#31A38614,40.5
11,#31A93AA2,59.5
12,#31A965FD,66
13,#31BFA927,56.5
14,#31E070A1,58.5
15,#31E3C614,28
16,#32087248,82
17,#322B0118,44
18,#32344046,53
19,#32434736,37
20,#3243A1D0,18.5
21,#3243F889,52.75
22,#324C0C72,54
23,#324EB7CB,48.5
24,#32878C39,41
25,#3289F843,29.5
26,#32AF970A,57.5
27,#32B1E162,71.5
28,#32B7AB2E,30
29,#33E74B9F,49.5
30,#34F1D712,46.5
31,#3500F4C1,79.5
32,#3518BB96,40.5
33,#36BC9218,73.5
34,#36CCAB51,15.5
35,#36E372A7,58
36,#38093D0C,62.5
37,#38189EBE,83
38,#381B3615,65.5
39,#381C082C,62.5
40,#381EF5D3,44
41,#3822DEC4,22.5
42,#38246A76,69.5
43,#382B091A,45.5
44,#382B8093,65.5
45,#382E0B1D,76
46,#386E8CDA,47.5
47,#38783474,80.5
48,#387B692A,65.5
49,#387F185F,68
50,#38801FA7,42.5
51,#3884E25E,38
52,#3889AF1E,61.5
53,#388C9420,20.5
54,#388E8234,85.5
55,#388E992F,39
56,#389004AC,43
57,#389051F9,78.75
58,#3890FB53,55.5
59,#389108A1,72.5
60,#38929339,54.5
61,#38942D81,58.5
62,#38949834,42.5
63,#3CAD9B0A,46
64,#3CADE677,60.5
65,#3CAE22B0,87.5
66,#3CAE31A3,55.75
67,#3CAEB426,78
68,#3CAEB527,65
69,#3CAEEE7C,64
70,#3CAF24B7,71.5
71,#3CAF9003,44.75
72,#3CB0F579,88
73,#3CB10885,45
74,#3CB1AE23,52
75,#3CB248C6,64
76,#3CB266E8,84.5
77,#3CB341CE,55.5
78,#3CB69C16,49.5
79,#3CB6B03A,36
80,#3CB8E367,10.5
81,#3CB8E460,87.5
82,#3CB8E86C,44.5
83,#3CB928AD,31.5
84,#3CB967E2,85.5
85,#3CBC9E1E,43
86,#3CBEA527,65
87,#3CBFDC5F,44.5
88,#3CC027DB,73
89,#3CC0F30F,58.5
90,#3CC0F509,77
91,#3CC14FB2,50.5
92,#3CC1F00D,86.5
93,#3CC22ED0,63.5
94,#3CC241BF,69
95,#3CC39E61,13.5
96,#3CC457AF,69.25
97,#3CC45FA7,70.5
98,#3CC4B048,56
99,#3CC5936A,33.5
100,#3CC629D3,34.5
101,#3CC631CB,25.5
102,#3CC6778D,65.5
103,#3CC718E3,52.5
104,#3CC747BC,77.5
105,#3CC7956E,32.5
106,#3CC7DA21,49
107,#3CC7DC27,59.5
108,#3CC80EFA,67.5
109,#3CC853A7,86
110,#3CC857A3,52.5
111,#3CC9BA4F,75
112,#3CC9F603,61.75
113,#3CCA8375,87.5
114,#3CCAAD5B,51.5
115,#3CCB07F0,63.5
116,#3CCBBD4A,53
117,#3CCC09F9,72.5
118,#3CCC19E9,49
119,#3CCC1FEF,38
120,#3CCCFD0D,70.25
121,#3CCE07F5,41
122,#3CCED82A,20
123,#3CD0618D,48
124,#3CD0C62A,52.5
125,#3CD755BE,76
126,#3CD89A7E,27
127,#3CDACF29,48
128,#3CDC9373,63
129,#3CDECB29,69
130,#3CDF28CB,74.5
131,#3CDF6182,79.5
132,#3CE0B06C,64
133,#3CE4FC24,48
134,#3CE979AC,54
135,#3CE9DB0E,73
136,#3CF44E86,68
137,#3CFB5493,37
138,#3CFC8E4E,86
139,#3D0781BB,71
140,#3D07E1DB,41.5
141,#3D0D2212,84.5
142,#3D0D4474,47.5
143,#3D0ECFFC,49.5
144,#3D0ED2E1,66.5
145,#3D10D4F9,54.5
146,#3D12C0EF,81.5
147,#3D12CFE0,84
148,#3D136846,30
149,#3D144861,63
150,#3D1495BC,78.5
151,#3D1498B1,56
152,#3D150C24,88.5
153,#3D15654D,88.5
154,#3D15DDF5,45
155,#3D15FFD7,58.5
156,#3D163318,44
157,#3D1690BB,52
158,#3D16CFE4,49.5
159,#3D175B71,46.5
160,#3D191C38,64.75
161,#3D1987A3,45.5
162,#3D19C1E5,75
163,#3D19E7C3,35.5
164,#3D1BEDCB,67
165,#3D1BF8DE,95.5
166,#3D1CEACB,89.25
167,#3D20312C,56
168,#3D69F1A5,76.5
169,#3D6F6F3D,60.25
170,#3D769DD6,26
171,#3D784A0F,75.5
172,#3D78ECA9,60
173,#3D79D793,56
174,#5EB8C62,70.5
175,#7A2EC49,57.5
176,#7B79222,73.5
177,#7BA71CC,27.5
178,#7DC0FD4,57
179,#82D1732,58.75
180,#8D3FB2,73
181,#8D6EE3,55
182,#913D9C3,45.5
183,#A73295,41
184,#AE53ED1,82
185,#AF7A75A,83.75
186,#DAA8522,49
187,#DD974A,29
188,#E32300C,86
189,#E55560D,88.5
190,#E7D037,58.75
191,#E7D7201,45
