anid,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,readingq12,readingq13,readingq14,readingq15
0,2,2,2,1,2,2,2,2,NA,1,2,2,1,1
1,2,1,0,1,2,NA,2,2,2,2,1,1,1,1
2,1,0,1,1,0,2,2,2,2,2,1,1,0,0
3,1,2,0,1,0,2,2,2,1,2,2,2,1,1
4,1,NA,NA,0,0,1,1,1,1,NA,1,2,0,0
5,2,2,2,1,NA,2,2,2,2,2,1,1,1,1
6,NA,0,0,0,0,0,1,1,0,2,1,1,0,0
7,NA,NA,1,0,1,2,2,2,1,1,1,2,1,0
8,2,2,1,0,2,2,2,2,1,2,1,2,NA,2
9,2,2,2,1,2,2,1,1,2,2,1,1,2,1
10,NA,NA,NA,NA,NA,0,1,NA,2,2,NA,NA,1,1
11,1,2,2,1,2,2,2,2,1,2,2,2,1,2
12,2,2,2,0,2,NA,1,NA,2,2,2,1,2,2
13,2,1,2,2,0,2,2,0,2,2,0,1,2,0
14,1,2,2,0,0,2,2,2,1,2,0,2,1,0
15,1,0,1,1,NA,2,1,NA,2,1,1,2,1,1
16,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,2,2,1,1,2,2,1,1,2,2,1,1,1,2
18,1,1,2,2,2,2,2,2,2,2,1,2,2,2
19,2,1,1,1,2,2,2,2,1,2,2,1,2,2
20,1,1,NA,0,NA,2,1,NA,NA,0,NA,1,NA,NA
21,2,2,1,1,2,2,2,2,2,2,1,2,2,2
22,2,2,1,0,1,2,1,1,1,2,1,2,0,1
23,2,2,0,1,0,NA,2,2,0,NA,0,2,NA,1
24,NA,2,2,1,1,2,2,2,0,2,0,2,1,0
25,NA,NA,0,NA,0,2,0,0,0,NA,NA,NA,0,0
26,1,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2,2,2,1,2,2,2,2,0,1,2,2,2,2
28,NA,NA,NA,1,1,1,1,NA,NA,1,NA,NA,0,NA
29,NA,0,1,1,0,NA,1,1,1,1,1,2,NA,2
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2
31,2,2,1,1,2,2,2,2,1,1,2,2,1,2
32,NA,NA,NA,NA,NA,1,1,1,NA,2,1,NA,NA,NA
33,2,1,2,1,2,2,2,2,2,2,1,2,1,1
34,1,1,1,0,0,1,NA,NA,2,2,2,1,1,0
35,NA,1,NA,1,1,2,1,1,2,2,NA,2,0,1
36,0,2,0,1,1,2,2,2,NA,NA,1,1,1,1
37,2,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
38,1,1,1,1,1,NA,2,2,2,1,2,2,NA,1
39,2,2,2,0,NA,2,1,1,2,1,NA,2,1,0
40,NA,1,0,1,NA,NA,1,0,NA,NA,NA,NA,0,0
41,0,0,0,0,0,1,0,0,1,2,NA,1,0,0
42,1,NA,1,1,1,1,2,2,1,1,1,NA,1,NA
43,2,1,1,1,2,2,2,2,1,2,2,2,2,1
44,2,0,1,1,2,2,0,0,2,2,1,NA,1,2
45,2,2,1,NA,2,2,2,2,2,2,1,2,2,NA
46,NA,1,0,1,2,2,1,NA,2,2,0,2,2,2
47,2,2,2,1,1,2,2,2,2,2,1,2,2,2
48,1,1,0,0,1,2,0,0,1,1,0,1,1,0
49,2,1,1,0,1,2,2,2,2,2,2,2,2,NA
50,NA,1,NA,NA,0,2,2,2,NA,2,NA,1,NA,NA
51,2,1,2,1,0,2,1,2,1,2,2,2,NA,NA
52,1,0,0,NA,2,2,1,1,2,2,2,1,2,0
53,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2,2,2,1,1,2,2,2,2,1,2,2,2,2
55,1,1,0,0,0,1,0,1,NA,NA,NA,1,1,NA
56,NA,1,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,NA
57,2,1,1,1,2,2,2,2,2,2,2,2,1,2
58,2,2,2,1,2,2,2,2,NA,1,NA,2,NA,NA
59,2,2,1,0,1,1,1,NA,NA,2,2,2,NA,1
60,NA,NA,0,NA,1,2,0,0,NA,2,NA,NA,0,2
61,2,1,0,0,1,1,1,NA,NA,2,0,1,2,1
62,NA,0,0,1,1,2,1,NA,2,1,2,2,0,0
63,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,2,1,1
64,2,2,2,1,1,2,1,NA,1,1,2,2,2,1
65,2,2,2,NA,2,2,2,2,2,NA,2,2,2,2
66,2,2,2,0,1,0,0,0,2,2,1,NA,1,2
67,NA,0,1,1,NA,2,2,2,2,2,2,2,1,1
68,2,1,2,1,1,2,1,1,2,2,1,2,2,1
69,2,2,2,2,1,2,1,NA,2,2,2,2,1,1
70,NA,1,2,1,2,2,1,NA,NA,2,2,2,2,NA
71,2,1,0,0,NA,NA,1,NA,NA,NA,1,1,NA,0
72,2,1,1,1,2,2,1,2,NA,NA,2,1,1,2
73,NA,1,0,NA,2,2,2,2,NA,1,1,2,1,NA
74,1,2,1,1,1,2,NA,NA,NA,2,2,1,NA,1
75,1,2,2,1,1,2,1,1,2,NA,2,2,NA,NA
76,2,2,2,2,2,2,2,2,2,2,2,2,2,2
77,1,1,0,1,1,1,2,2,2,1,1,2,1,NA
78,0,NA,2,0,2,1,2,2,2,NA,0,2,0,0
79,0,1,1,0,1,1,2,2,2,1,2,NA,1,0
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
81,1,1,1,1,1,NA,2,2,2,0,2,1,0,0
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1,0,0,1,1,NA,1,NA,0,NA,NA,2,1,2
84,2,NA,2,0,2,2,2,2,2,2,1,2,2,2
85,0,NA,1,0,1,NA,0,0,2,2,NA,1,1,1
86,1,0,1,0,0,NA,0,0,0,0,2,1,0,0
87,1,1,0,0,0,2,0,0,1,1,0,2,2,0
88,1,1,1,1,0,2,1,2,2,2,2,2,1,1
89,0,0,1,1,1,1,NA,1,1,1,2,2,1,1
90,2,2,2,1,1,2,1,1,2,2,2,2,2,2
91,2,2,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,2
92,NA,1,2,1,2,NA,1,NA,2,2,2,2,1,2
93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
94,NA,1,0,1,0,2,1,NA,NA,2,0,2,1,NA
95,NA,NA,0,0,NA,NA,1,NA,NA,2,NA,NA,1,NA
96,NA,2,0,1,1,NA,1,2,NA,1,1,2,2,1
97,2,2,1,0,1,2,2,2,2,2,1,1,2,2
98,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,2,NA,NA,NA,2,1,1,2,NA,NA,2,0,0
100,2,2,2,1,2,2,2,2,2,2,2,2,1,2
101,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,2
102,2,2,2,2,2,2,1,1,1,2,1,1,2,0
103,2,2,1,1,1,1,2,2,0,2,1,2,2,0
104,NA,2,NA,2,2,2,2,2,2,NA,2,2,NA,NA
105,1,0,1,NA,0,NA,1,NA,1,2,0,NA,1,NA
106,2,2,0,1,1,2,2,2,1,2,2,2,2,0
107,2,1,0,0,0,2,1,NA,2,2,2,2,1,1
108,1,1,1,1,2,2,2,2,NA,NA,NA,2,2,0
109,2,1,1,1,2,2,2,2,2,1,NA,2,NA,NA
110,1,1,0,1,0,2,0,NA,1,2,2,2,0,NA
111,2,2,2,1,1,1,2,2,NA,2,2,NA,1,1
112,1,1,2,2,1,2,1,NA,1,2,2,2,0,2
113,2,1,2,0,2,2,2,2,2,2,2,2,2,1
114,2,0,0,1,NA,2,2,2,1,0,NA,1,1,NA
115,2,2,0,1,2,2,1,1,2,2,2,2,1,1
116,2,1,0,1,2,2,1,NA,NA,NA,NA,NA,NA,0
117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA
118,2,2,2,NA,1,2,1,1,NA,1,2,2,NA,1
119,NA,1,1,1,2,2,2,2,2,2,NA,1,1,0
120,NA,NA,NA,NA,1,2,1,1,0,NA,NA,2,NA,0
121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1,1,2,0,1,1,1,1,1,2,2,1,NA,1
123,2,1,1,NA,2,2,1,1,2,NA,2,2,NA,2
124,0,0,0,0,0,2,1,NA,0,2,NA,1,0,1
125,2,2,2,0,1,2,1,NA,2,2,1,2,1,2
126,2,1,0,0,2,1,1,1,1,NA,NA,2,NA,2
127,0,1,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,0,NA,2,2,0,NA,2,2,1,2
129,2,1,2,0,1,2,2,2,2,1,1,1,1,2
130,1,2,2,1,2,2,1,1,2,NA,2,1,1,2
131,1,2,1,1,1,2,2,2,2,2,1,2,2,2
132,1,1,2,1,2,1,1,1,0,NA,1,2,1,NA
133,0,1,0,1,1,1,2,2,1,NA,0,2,1,NA
134,2,2,2,1,1,2,2,2,0,NA,1,2,NA,0
135,1,1,1,NA,2,2,2,2,2,NA,2,2,2,2
136,1,1,0,NA,1,1,1,1,NA,0,1,2,2,1
137,2,1,0,0,0,1,1,1,1,2,2,2,NA,0
138,2,NA,1,1,2,2,2,2,2,NA,NA,2,NA,1
139,2,2,1,2,1,2,2,2,2,2,NA,1,0,2
140,NA,1,1,0,0,2,1,1,1,2,NA,1,NA,0
141,2,0,2,1,2,2,2,2,2,1,2,2,0,1
142,NA,NA,NA,NA,0,2,2,2,0,NA,0,2,0,NA
143,2,2,2,NA,2,2,2,2,2,2,2,2,NA,2
144,1,2,0,1,2,2,2,2,1,2,1,2,1,2
145,1,2,2,NA,0,2,1,NA,2,2,2,2,2,2
146,1,0,1,1,2,NA,1,NA,1,2,2,1,1,0
147,2,1,2,2,1,2,2,2,2,2,NA,2,2,NA
148,1,1,0,1,0,2,2,2,2,NA,NA,NA,NA,NA
149,2,2,2,2,2,2,1,NA,NA,2,2,2,2,1
150,2,2,1,2,1,2,2,2,2,2,2,2,1,2
151,1,2,2,NA,2,2,2,2,2,1,0,2,2,2
152,NA,1,1,2,1,2,1,NA,1,1,2,2,2,1
153,2,2,2,2,2,2,2,2,1,2,2,2,2,2
154,2,1,0,1,1,2,1,NA,NA,NA,0,1,1,NA
155,2,2,0,2,2,NA,1,NA,NA,2,NA,2,2,1
156,1,1,0,1,0,2,2,2,2,2,0,1,1,1
157,2,2,2,1,1,2,0,0,NA,2,1,2,1,1
158,2,NA,2,0,0,2,2,2,1,2,1,2,2,0
159,2,2,2,1,0,2,2,2,1,2,1,1,NA,2
160,NA,2,2,1,1,2,1,NA,2,NA,2,2,2,2
161,NA,1,1,0,1,2,1,NA,NA,NA,2,1,1,0
162,1,1,1,1,2,NA,NA,NA,1,2,1,2,1,1
163,NA,1,0,0,0,NA,1,NA,2,0,1,0,NA,0
164,2,1,1,1,0,1,2,2,2,1,2,2,NA,1
165,2,2,2,2,2,2,2,2,2,2,2,2,2,2
166,2,2,2,2,1,2,2,2,2,2,2,2,1,NA
167,2,1,0,NA,1,1,1,1,1,NA,1,1,NA,0
168,2,1,2,0,2,2,2,2,2,NA,1,2,1,1
169,2,2,2,1,2,2,2,2,2,2,1,2,2,2
170,2,1,1,NA,NA,1,2,2,2,2,1,1,1,NA
171,NA,1,2,NA,1,2,1,0,NA,1,1,2,1,2
172,1,1,1,1,1,2,2,2,2,NA,0,2,1,1
173,1,1,1,1,0,2,1,NA,NA,2,2,2,1,1
174,1,1,1,1,2,2,0,1,2,2,2,2,2,2
175,1,0,0,0,0,1,NA,NA,NA,2,NA,1,1,0
176,2,2,0,1,1,2,1,NA,2,2,1,1,1,0
177,2,1,0,NA,NA,2,2,2,NA,NA,NA,2,1,NA
178,2,NA,2,2,0,2,0,0,2,2,1,1,0,1
179,2,2,2,1,1,NA,0,0,NA,NA,2,NA,1,0
180,2,2,2,1,NA,2,2,2,2,2,2,2,2,1
181,2,1,2,2,1,2,2,1,NA,2,0,1,NA,0
182,2,1,1,1,NA,2,0,0,0,1,1,2,0,2
183,0,1,1,0,1,1,2,2,0,0,0,1,0,NA
184,1,1,0,1,2,1,2,2,2,1,2,2,0,1
185,2,1,0,1,2,2,1,NA,2,2,2,2,1,2
186,2,2,1,2,2,2,0,0,2,NA,NA,2,1,0
187,NA,NA,0,1,0,NA,1,1,1,NA,0,1,1,1
188,2,2,1,0,NA,NA,2,1,NA,1,0,NA,0,0
189,2,2,2,0,2,2,1,1,1,2,1,1,NA,2
190,NA,NA,2,NA,NA,1,NA,NA,2,NA,NA,1,1,1
191,2,1,1,0,2,2,1,NA,2,1,1,2,2,1
