anid,readingq2w1,readingq3w1,readingq4w2,readingq5w2,readingq6w2,readingq7w3,readingq8w3,readingq9w3,readingq10w4,readingq11w4,readingq12w4,readingq13w5,readingq14w5,readingq15w5
0,1,1,0,NA,1,2,1,NA,1,1,0,1,0,NA
1,2,1,1,2,2,2,1,NA,2,NA,2,2,1,1
2,2,2,1,1,2,2,1,1,2,2,2,1,1,1
3,2,2,2,NA,2,2,2,2,2,2,2,2,1,2
4,2,0,1,1,1,1,1,1,1,2,1,1,1,0
5,2,2,2,1,2,2,2,2,1,2,2,2,1,2
6,NA,1,NA,2,2,2,1,0,2,2,2,2,NA,1
7,2,2,2,2,2,2,2,2,2,2,2,NA,2,0
8,2,NA,2,2,NA,2,1,NA,2,NA,2,2,1,NA
9,2,2,2,0,2,2,2,2,2,2,2,2,2,1
10,2,2,1,2,2,2,2,2,NA,2,1,2,2,1
11,2,1,0,1,2,1,2,2,1,2,2,1,1,2
12,2,1,0,0,0,1,1,2,0,2,0,1,1,NA
13,2,2,0,1,1,2,2,2,2,NA,2,2,0,2
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
16,1,1,0,NA,2,1,0,1,0,2,0,NA,0,NA
17,2,2,2,1,2,2,2,2,2,1,0,2,NA,NA
18,NA,2,2,1,1,2,2,2,2,2,1,2,2,NA
19,2,1,2,1,2,2,1,1,2,2,1,1,1,1
20,2,NA,1,NA,1,2,1,1,NA,1,NA,1,0,NA
21,NA,NA,NA,NA,2,1,0,1,NA,1,1,1,1,NA
22,NA,NA,2,1,2,2,1,1,2,2,2,2,NA,NA
23,NA,1,1,1,2,2,2,2,1,1,2,2,2,2
24,2,NA,2,1,2,2,2,2,2,2,2,2,NA,2
25,2,1,0,NA,2,1,NA,NA,NA,1,0,2,2,NA
26,2,2,2,2,2,2,1,1,1,2,1,2,1,2
27,2,2,1,0,2,2,2,2,2,2,0,2,NA,1
28,NA,1,0,NA,0,0,1,NA,0,0,NA,1,1,NA
29,2,1,1,1,1,1,2,2,1,2,2,2,1,0
30,2,NA,1,2,2,2,1,1,NA,2,2,2,2,NA
31,NA,2,NA,1,2,2,1,1,NA,1,2,2,2,2
32,2,2,2,1,2,2,2,2,NA,2,1,2,1,1
33,NA,2,2,2,1,0,1,NA,1,2,2,2,0,0
34,NA,NA,2,NA,2,2,0,0,2,2,2,2,2,2
35,1,2,2,0,2,2,2,2,2,2,2,1,1,2
36,NA,2,2,2,2,1,2,2,2,2,2,2,NA,2
37,2,NA,2,1,1,2,2,2,NA,2,1,1,0,NA
38,2,1,2,1,1,2,2,2,2,2,1,2,1,1
39,NA,2,1,0,2,NA,2,2,NA,NA,NA,2,NA,2
40,2,2,1,0,1,1,1,0,1,0,1,1,0,NA
41,1,2,2,0,2,2,2,2,NA,2,2,2,2,2
42,2,2,1,1,1,2,2,2,1,1,2,2,2,2
43,2,1,0,1,0,2,1,NA,2,1,2,2,2,1
44,2,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA
45,2,1,1,0,0,2,1,1,2,2,NA,NA,NA,1
46,2,2,1,NA,1,1,0,0,2,NA,1,2,1,0
47,1,NA,1,0,1,0,1,1,1,NA,NA,1,1,1
48,NA,NA,2,0,2,2,0,NA,2,1,2,1,NA,NA
49,2,1,0,NA,NA,2,1,1,1,1,NA,NA,2,1
50,0,1,0,0,NA,1,0,0,0,2,0,1,NA,0
51,0,1,0,0,NA,1,1,NA,1,1,NA,NA,NA,0
52,0,1,0,NA,1,2,0,1,0,1,2,2,1,0
53,2,1,1,1,2,2,1,2,1,2,0,2,1,0
54,1,1,0,1,1,NA,2,2,2,1,1,2,0,0
55,1,NA,1,NA,0,2,2,1,1,2,1,1,1,NA
56,NA,2,NA,1,2,1,NA,1,1,2,NA,1,2,0
57,NA,NA,NA,1,2,1,0,1,0,NA,NA,NA,NA,0
58,1,2,1,2,NA,2,1,1,NA,2,2,2,2,2
59,NA,2,2,1,1,1,NA,1,2,NA,NA,2,0,0
60,1,1,0,0,0,1,2,2,0,1,0,2,0,0
61,NA,2,2,NA,NA,2,0,0,2,NA,NA,NA,1,0
62,2,1,0,2,2,1,NA,NA,1,1,1,2,NA,2
63,2,1,2,1,2,1,2,2,1,2,2,2,2,1
64,NA,1,0,0,NA,0,1,NA,NA,0,NA,NA,0,2
65,NA,1,1,1,2,2,1,1,0,2,1,1,1,NA
66,2,1,1,1,1,2,2,2,NA,2,2,1,1,1
67,2,2,1,1,2,2,2,2,2,2,2,NA,2,2
68,1,1,2,1,2,2,1,2,0,2,2,2,0,0
69,1,0,0,1,0,1,0,0,0,1,NA,NA,1,0
70,NA,1,2,1,1,2,2,2,2,2,2,2,1,NA
71,2,2,2,2,1,2,2,2,2,2,2,NA,2,2
72,NA,1,NA,1,0,2,2,2,0,NA,0,1,0,0
73,NA,NA,0,0,0,0,1,1,NA,2,0,NA,NA,0
74,2,2,2,NA,1,2,1,1,2,2,2,1,2,2
75,0,1,0,NA,2,2,0,0,0,1,0,2,2,NA
76,0,0,2,2,2,2,1,1,2,1,2,1,NA,NA
77,2,2,2,1,1,2,0,0,2,1,1,2,0,NA
78,2,2,2,2,0,2,2,2,1,2,2,1,1,1
79,1,2,2,1,1,2,1,1,2,0,1,2,2,2
80,2,2,2,1,2,2,2,2,1,2,1,2,2,2
