anid,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,readingq12,readingq13,readingq14,readingq15
0,0,0,-2,0,0,2,0,0,1,0,-1,0,-1,0
1,2,0,0,2,2,2,0,0,2,0,2,2,1,0
2,2,2,0,0,2,2,0,0,2,2,2,0,0,0
3,2,2,2,0,2,2,2,2,2,2,2,2,1,2
4,2,-2,0,0,1,0,0,0,1,2,0,0,1,-1
5,2,2,2,0,2,2,2,2,1,2,2,2,1,2
6,0,0,0,2,2,2,0,-2,2,2,2,2,0,0
7,2,2,2,2,2,2,2,2,2,2,2,0,2,-2
8,2,0,2,2,0,2,0,0,2,0,2,2,1,0
9,2,2,2,-2,2,2,2,2,2,2,2,2,2,1
10,2,2,0,2,2,2,2,2,0,2,0,2,2,0
11,2,0,-2,0,2,0,2,2,1,2,2,0,0,2
12,2,0,-2,-2,-2,0,0,2,-2,2,-2,0,1,0
13,2,2,-2,0,0,2,2,2,2,0,2,2,-1,2
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,0,0,-2,0,2,0,-2,0,-1,2,-2,0,-2,0
17,2,2,2,0,2,2,2,2,2,0,-1,2,0,0
18,0,2,2,0,0,2,2,2,2,2,0,2,2,0
19,2,0,2,0,2,2,0,0,2,2,0,0,0,0
20,2,0,0,0,0,2,0,0,0,0,0,0,-1,0
21,0,0,0,0,2,0,-2,0,0,0,0,0,1,0
22,0,0,2,0,2,2,0,0,2,2,2,2,0,0
23,0,0,0,0,2,2,2,2,0,1,2,2,2,2
24,2,0,2,0,2,2,2,2,2,2,2,2,0,2
25,2,0,-2,0,2,0,0,0,0,0,-2,2,2,0
26,2,2,2,2,2,2,0,0,1,2,0,2,1,2
27,2,2,0,-2,2,2,2,2,2,2,-2,2,0,0
28,0,0,-2,0,-1,-2,0,0,-1,-1,0,0,1,0
29,2,0,0,0,0,0,2,2,0,2,2,2,1,-2
30,2,0,0,2,2,2,0,0,0,2,2,2,2,0
31,0,2,0,0,2,2,0,0,0,1,2,2,2,2
32,2,2,2,0,2,2,2,2,0,2,0,2,1,0
33,0,2,2,2,0,-2,0,0,1,2,2,2,-2,-2
34,0,0,2,0,2,2,-2,-2,2,2,2,2,2,2
35,0,2,2,-2,2,2,2,2,2,2,2,0,0,2
36,0,2,2,2,2,0,2,2,2,2,2,2,0,2
37,2,0,2,0,0,2,2,2,0,2,0,1,-1,0
38,2,0,2,0,0,2,2,2,2,2,0,2,1,0
39,0,2,0,-2,2,0,2,2,0,0,0,2,0,2
40,2,2,0,-2,0,0,0,-2,1,-2,0,0,-1,0
41,0,2,2,-2,2,2,2,2,0,2,2,2,2,2
42,2,2,0,0,1,2,2,2,1,0,2,2,2,2
43,2,0,-2,1,-2,2,0,0,2,0,2,2,2,0
44,2,0,0,0,0,0,2,2,0,1,0,0,0,0
45,2,0,0,-2,-2,2,0,0,2,2,0,0,0,0
46,2,2,0,0,0,0,-2,-2,2,0,0,2,1,-2
47,0,0,0,-2,0,-2,0,0,1,0,0,0,1,0
48,0,0,2,-2,2,2,-2,0,2,0,2,1,0,0
49,2,0,-2,0,0,2,0,0,0,0,0,0,2,0
50,-2,0,-2,-2,0,1,-2,-2,-1,2,-2,0,0,-2
51,-2,0,-2,-2,0,0,0,0,0,0,0,0,0,-2
52,-2,0,-2,0,0,2,-2,0,-1,0,2,2,1,-2
53,2,0,0,0,2,2,0,2,0,2,-2,2,0,-2
54,0,0,-2,0,0,0,2,2,2,0,0,2,-1,-2
55,0,0,0,0,-2,2,2,0,1,2,0,1,0,0
56,0,2,0,0,2,0,0,0,1,2,0,0,2,-2
57,0,0,0,0,2,0,-2,0,-1,0,0,0,0,-2
58,0,2,0,2,0,2,0,0,0,2,2,2,2,2
59,0,2,2,0,0,0,0,0,2,0,0,2,-1,-2
60,0,0,-2,-2,-2,0,2,2,-1,0,-2,2,-1,-2
61,0,2,2,0,0,2,-2,-2,2,0,0,0,0,-2
62,2,0,-2,2,2,0,0,0,1,1,0,2,0,2
63,2,0,2,0,2,0,2,2,1,2,2,2,2,0
64,0,0,-2,-2,0,-2,0,0,0,-1,0,0,-1,2
65,0,0,0,0,2,2,0,0,-1,2,0,0,1,0
66,2,0,0,0,0,2,2,2,0,2,2,0,1,0
67,2,2,0,0,2,2,2,2,2,2,2,0,2,2
68,0,0,2,0,2,2,0,2,-1,2,2,2,-1,-2
69,0,-2,-2,0,-2,0,-2,-2,-1,0,0,0,0,-2
70,0,0,2,0,0,2,2,2,2,2,2,2,1,0
71,2,2,2,2,0,2,2,2,2,2,2,0,2,2
72,0,0,0,0,-2,2,2,2,-1,0,-1,0,-1,-2
73,0,0,-1,-1,-1,-2,0,0,0,2,-2,0,0,-1
74,2,2,2,0,0,2,0,0,2,2,2,0,2,2
75,-2,0,-2,0,2,2,-2,-2,-1,0,-2,2,2,0
76,-2,-2,2,2,2,2,0,0,2,0,2,0,0,0
77,2,2,2,0,0,2,-2,-2,2,0,0,2,-1,0
78,2,2,2,2,-2,2,2,2,1,2,2,0,1,1
79,0,2,2,0,0,2,0,0,2,-1,0,2,2,2
80,2,2,2,0,2,2,2,2,0,2,1,2,2,2
81,0,0,0,0,0,2,0,0,1,0,0,2,2,0
82,0,2,2,0,1,2,0,0,2,2,2,2,2,-1
83,0,0,0,0,1,2,2,2,1,2,2,2,0,2
