anid,remote,a0,a1,a2,a3,a4
133,#83444E89,,0.64,0.86,0.96,0.92
132,#85FC0F76,1,0.96,0.74,0.12,0.8
131,#85C9115D,1,0.88,0.62,0.92,0.44
130,#82C63773,1,1,0.96,0.96,0.72
137,#21EABB70,1,1,0.9,0.92,0.96
136,#8266EA0E,1,1,1,1,1
135,#86179405,1,0.64,0.98,0.74,0.92
90,#850936BA,1,0.88,0.64,0.88,0.32
139,#839DBEA0,1,1,0.88,1,0.72
138,#82BD300F,1,0.96,0.92,0.96,0.92
166,#8E9DC7D4,1,0.96,0.32,1,0.16
24,#1E09A3B4,1,0.84,0.58,0.8,0.14
25,#9305F660,1,0.92,0.24,0.94,
26,#85EAE689,1,1,0.8,1,0.34
92,#8ED0356B,,1,0.84,1,0.96
20,#019AD843,1,0.64,0,0,
21,#85B5E7D7,1,0.92,0.8,0.64,0.16
22,#830944CE,1,0.96,0.76,0.86,0.72
23,#85D44819,1,1,0.94,1,0.42
95,#85B8F1CC,1,1,0.98,1,1
28,#82E73D58,1,1,0.94,0.94,0.46
29,#82298F24,1,0.56,0.82,0.92,0.4
161,#82B6281C,1,1,0.96,0.84,0.86
0,#82FAC3BB,1,1,0.96,1,1
4,#8EC899DF,1,0.96,0.94,1,0.94
8,#82DC9CC2,1,0.64,0.78,0.84,0.58
163,#82D9DD86,1,1,0.94,0.96,0.72
120,#82E83B51,1,0.64,0.56,0.92,0.4
121,#8F4714DC,1,0.64,1,0.96,1
122,#82125DCD,1,1,0.72,0.94,0.84
123,#8DBAD3E4,1,0.64,0.86,0.96,0.7
124,#8DBD1E2E,1,1,0.96,0.94,0.9
125,#844F38F3,1,0.92,0.98,0.06,0.96
126,#85C6E8AB,1,0.96,1,0.78,0.98
127,#8E79F502,1,0.64,0.8,1,0.8
128,"['#8DB7675D', '#84558B5A']",1,0.96,0.92,0.74,0.84
2,#8302E362,1,0.96,0.68,0.34,0.56
118,#82B293A3,1,1,0,0,0.5
59,#8EA44A60,1,1,1,1,0.92
58,#82D2B0E0,1,1,0.98,0.96,0.72
55,#833FC17D,1,1,0.94,1,0.34
54,#82EC533D,1,0.52,0.38,1,0.34
57,#8272F202,1,1,0.8,0.64,0.16
56,#8388FCF7,1,1,0.98,0.78,0.28
51,#230099BA,1,0.96,0.76,0.48,0.88
50,#83190298,1,1,0.92,0.94,0.92
53,"['#1469B8C5', '#82597CA7']",1,1,0.88,0.2,0.78
52,#877D24DE,1,1,1,0.96,1
164,#82FE89F5,1,1,0.36,0.92,
179,#85ABA08E,1,1,1,0.86,0.72
134,#823CAA14,1,0.6,0.14,1,0.66
195,#85C6296A,1,1,0.92,1,0.38
194,#8DA3E7C9,1,1,0.96,0.94,0.88
196,#3847F689,1,1,0.96,0.94,0.9
191,#85A3DCFA,1,1,0.84,0.7,0.3
190,#8272A555,1,0.64,1,0.94,0.88
193,#8526D073,1,0.84,0.94,0.86,0.46
192,"['#8ECAD195', '#08ED03E6']",1,0.92,0.66,0.94,0.86
115,#82EC3B55,1,1,0.98,0.94,0.92
114,#8E8DF5F6,1,0.64,0.76,0.74,1
117,#85BCF8C1,1,1,1,0.88,0.16
89,#888A4644,1,0.92,0.92,0.94,0.9
111,#0E4CB2F0,1,0.64,0.82,1,0.8
110,"['#830B52DA', '#8441C401']",1,1,1,1,0.92
113,"['#8EDC4614', '#82E785E0']",1,1,0.5,0.92,0.4
69,#8EEF9DFC,1,0.64,0.04,0.12,
82,#8295FEE9,1,0.96,0.32,0.34,0.24
83,#82518350,1,0.92,0.8,0.84,0.42
80,"['#822006A4', '#8387A5A1']",1,0.64,0.52,0.54,0.88
81,#88F41A66,1,1,0.98,0.96,0.92
119,#8473CD3A,1,1,1,0.26,0.96
87,#86194BD4,1,1,0.1,0.48,0.4
84,#8432B80E,1,1,0.88,1,0.76
85,#83E07B18,1,1,0.94,1,0.78
3,#8E901C02,1,0.96,0.56,0.88,0.32
129,"['#8E74A65C', '#1825E7DA']",1,0.84,0.58,0.58,0.52
7,#848D1E17,1,1,0.98,1,1
108,#861B9F02,1,0.96,0.56,0.94,0.6
27,#862D8D26,1,0.64,0.76,0.9,0.96
102,#36D024C2,1,1,0.58,0.88,0.66
103,#8E86A1A9,1,1,0.92,0.82,0.92
100,#85E3096F,1,1,0.98,1,1
101,#88D42975,1,1,0.98,0.9,1
106,#82B40F39,1,1,0.32,0.92,0.44
107,#85FD5B23,1,1,0.52,0.88,0.36
104,#8440AE6A,1,0.64,0.8,0.94,0.88
105,#8DCD0D4D,1,1,0.96,0.96,0.56
39,#8618DF41,1,1,1,0.96,0.7
38,#8DB88CB9,1,0.96,0.88,0.92,0.32
33,#05FCCF36,1,0.64,0.92,0.88,0.48
32,#8E0E7CFC,1,1,0.74,0.92,0.94
31,#85B1FECA,1,1,0.96,0.9,1
30,#8292D5C5,1,0.88,0.96,0.88,0.12
37,#80F08AFA,1,1,0.98,0.96,0.96
36,#849F9D86,1,1,0.94,1,0.52
177,#85B74C7E,1,1,0.74,0.78,0.64
34,#8EC5DC97,1,0.64,0.7,0.82,0.76
109,#8A0979FA,1,0.88,0.98,0.78,1
86,#8E7D2DDE,1,0.64,0,0,0.78
60,#8E01EB64,,0.64,0.98,1,0.32
61,#1CC069B5,1,1,0.72,0.66,0.88
62,#8EA7725B,1,1,0.98,1,1
63,#05FDC63E,1,1,0.7,0.8,0.16
64,#8EB793AA,1,0.92,1,1,0.94
65,#8EA01C32,1,1,0.9,1,0.96
66,#85EA335C,1,0.92,0.9,1,0.98
178,#8ECF7E3F,1,1,0.92,1,0.4
68,#839A6C75,1,1,1,1,0.8
176,#010E5D52,1,1,0.94,0.98,0.96
175,#8E688660,1,0.84,0.8,1,0.8
174,#857328DE,1,0.64,0.5,0,0.18
173,#1AA847F5,1,0.96,0.8,0.7,0.3
172,#82F5B8CF,1,1,0.96,1,0.92
171,#85622BCC,1,1,0.9,0.88,0.64
170,#828F838E,1,1,0.88,0.92,0.56
182,#851874E9,1,0.64,0.72,0.98,0.86
183,#82EA660E,1,0.92,0.72,0.88,0.36
180,#82D1F2A1,1,1,0.92,0.92,0.56
181,#89DF6B3D,1,1,0.86,0.92,1
186,#84C4F8B8,1,0.88,0.88,0.74,0.78
187,#827BC138,1,0.64,1,1,0.72
184,#82F82D57,1,1,0.98,0.82,0.92
185,#86216EC9,1,0.64,0.78,0.9,1
188,#8EC4501A,1,0.96,0.3,0,
189,#85EF3D57,1,0.88,0.9,0.88,0.8
97,#81A6B691,1,0.96,0,0,
6,#83476FAB,1,0.64,0.86,0.76,0.48
99,"['#08DF37E0', '#8DBD3909']",1,0.92,0.96,0.8,0.92
98,#829BE1F8,1,0.92,0.66,0.78,0.28
168,#845E845E,1,0.64,0.78,0.84,0.3
169,#84861614,1,0.08,0.8,0.28,0.08
91,#82A84B61,1,1,0.94,0.86,0.92
165,#84877675,1,1,0.98,0.58,0.92
93,#8EC60C44,1,1,0.66,1,0.94
167,#8E83D5D8,1,0.56,0.84,1,0.92
160,#843C3E86,1,0.64,0.96,0.98,1
94,#22F133E0,1,1,0.88,1,0.38
162,#0C8BA621,1,0.92,0.94,0.94,0.74
96,#1DF7FE14,1,0.64,0.96,0.92,1
11,#85F7ACDE,1,0.64,0.78,0.8,0.72
10,#83C7E8AC,1,1,1,1,0.72
13,#853D41F9,1,1,0.98,1,0.8
12,#83A52B0D,1,1,0.9,1,0.78
15,"['#847EC63C', '#047EC6BC']",1,1,1,0.96,0.92
14,#8A84717F,1,0.56,0.82,0.94,0.4
17,#8AB35069,1,0.36,0.94,0.84,0.72
16,#8424BD1D,1,0.64,0.8,0.98,0.78
19,#88A0C3EB,1,1,0.74,0.96,0.52
18,#8B951C02,1,0.84,0.8,1,0.52
88,#82EAEC84,1,0.64,0.82,0.88,0.14
116,#21FA76AD,1,0.92,0.92,0.48,0.48
151,#8E1D1A89,1,1,0.9,1,0.92
150,#8DBD5464,1,0.64,1,0.98,0.96
153,#856EAD46,1,0.76,0.74,0.34,0.56
152,#85F2087F,1,1,0.84,0.94,0.92
155,#8E9D9182,1,0.6,0.74,1,0.3
154,#852B812F,1,1,0.92,1,0.42
157,#84A6D9FB,1,0.6,0.48,0,0.16
156,#00D3BD6E,1,1,0.88,1,0.8
159,#823775C0,1,1,0.98,0.84,0.3
158,#21E4E623,1,1,0.94,0.96,0.04
112,#83876662,1,0.64,0.56,0.14,0.16
35,#011D4E52,1,0.64,0.74,0.84,0.58
48,#82DDF2AD,1,0.88,0.96,0.96,0.72
49,#82DBA5FC,1,0.2,0.98,0.9,1
46,#8319BB21,1,0.56,0.82,0.86,0.4
47,#85017CF8,1,1,0.86,0.96,0.52
44,#852FF55F,1,0.6,0.78,1,0.78
45,#8E9B4A5F,1,0.64,0.86,0.56,0.6
42,#84B4C7F7,1,0.64,0.8,0.94,0.84
43,#8AB56659,1,1,0.94,1,0.86
40,#831632A7,1,0.6,0.14,1,0.32
41,#859BFEE0,1,1,0.86,1,0.58
1,#83027EFF,1,0.72,0.96,0.92,0.34
5,"['#2201E5C6', '#8611E374']",1,0.6,0.88,0.92,0.42
9,#09A160C8,1,1,0.96,0.96,0.72
146,#8B1956C4,1,0.96,1,1,0.34
147,#830B1B93,1,0.64,0.78,1,0.92
144,#8518930E,1,1,0.98,0.94,0.86
145,#8982969D,1,0.84,0.72,0.36,0.46
142,#90706181,1,1,0.8,0.94,0.64
143,#8273FB0A,1,0.68,0.68,1,0.8
140,#8273C233,1,1,0.94,0.88,0.16
141,#0FA4BF14,1,1,1,0.96,1
148,#8A0550DF,1,0.96,1,0.92,0.4
149,#852EFC57,1,0.64,0.78,0.96,1
77,#8DD3742A,1,1,0.74,1,0.44
76,#82178D18,1,1,0.96,1,0.78
75,"['#8EE0E28C', '#82E51572']",1,1,0.88,0.94,0.84
74,#8DFAA0D7,1,1,0.86,0.7,1
73,#8296FFEB,1,0.64,0.76,0.86,0.4
72,"['#8E81818E', '#821FE07D']",1,0.64,0.82,0.74,0.26
71,#82ED016E,1,1,0.98,0.92,0.72
70,#86159003,1,0.84,0.58,0.92,0.14
79,#843216A0,1,0.6,0.56,0.98,0.88
78,#84E9CDA0,1,0.96,0.9,0.84,0.16
67,"['#21E403C6', '#815DE63A']",1,0.2,0.84,1,0.58
