anid,remote,a0w1,a1w3,a2w5,a3w7,a4w10
165,#899C0217,1,0.66,0,0.2,0.62
133,#96B30C29,1,0.88,0.9,0.88,0.96
132,#8EC8CB8D,1,0.76,0.96,0.88,1.04
131,#84FEC9B3,1,1,0.84,0.88,0.44
130,#982EA315,1,0.8,0.84,0.96,0.38
137,#857827DA,1,0.82,0.88,0.76,0.08
136,#855904D8,1,0.94,0,0,0
135,#8F9A8297,1,0.92,0.66,0.24,0.08
129,#8610C452,1,0.8,0.82,0.68,0.54
139,#82778E7B,1,0.84,0.96,1,0.92
138,"['#84339324', '#043393A4']",1,1,0.12,0.32,0
166,#84D14712,1,0.92,0.72,0.44,0.96
24,#9155A460,1,0,0.88,0.24,0.36
25,#8E1C198B,1,0.76,0.94,0.76,0.62
26,#8DCE5A19,1,1,0.76,0.96,0.96
27,#8E687B9D,1,0.96,0.84,1,0.64
20,#926450A6,1,0.8,1,0.92,0.64
21,#06049E9C,1,0.92,0.76,0.12,1.04
22,#8560C025,1,0.84,0.92,0.76,0.9
23,#846F806B,1,0.8,0.72,0.88,0.88
160,#92A15162,1,0.84,0.92,0.26,0.52
28,#96A9A19E,1,0.7,0.84,0.64,0.52
29,#9086283E,1,0.98,0.68,0.8,0.6
94,#8E6E15F5,1,0.74,0.96,0.72,0.56
0,#01AD9539,1,0.92,0.76,0.8,0.24
4,#861D65FE,1,0.96,0.94,0.92,0
8,#8EE3C3AE,1,0.84,0.94,0.84,0.12
163,#8ECFF3B2,1,0.84,0.88,0.88,0.92
87,#85B0C7F2,1,0.2,0.88,0.24,0.56
119,"['#8FB10739', '#8226DF7B']",1,0.68,0.28,0.76,0.8
120,#8ACDC186,1,1,1,0.8,0
121,#8444C000,1,0.84,0.52,0,0.28
122,#8951D008,1,0.9,0.96,1,0.16
123,#907E9876,1,1,0.8,0.96,0
124,#84B7C0F3,1,0.96,0.84,0.84,0.56
125,#8E09FA7D,1,0.88,0.96,0.76,0.84
126,#974C13C8,1,0.76,0.92,0.24,0.76
127,#8E0BF075,1,0.92,0.98,1,1
128,#8E395EE9,1,0.76,0.88,1,1.04
2,#9AA4457B,1,0.92,0.68,0.44,0.58
69,#8FB7B088,0.4,0.84,0.88,0.76,0.8
59,#84727680,0.4,0.96,1,0.9,0.78
58,#982E49FF,1,0.96,0.72,1,0.84
55,#983153FA,1,0.8,0.7,0.72,0.24
54,#8E1AE97D,1,1,1,1,1.04
57,#8E9E5C4C,1,1,1,0.96,0.88
56,#99A4F0CD,1,0.9,0.28,0.28,0.92
51,#8E7ACF3B,1,0.96,0.92,0.96,0.8
50,#8F2100AE,1,0.78,0.84,0.82,0.86
53,#8E81A5AA,1,0.98,0.96,0.88,0.76
52,#8227DC79,1,0.94,0.96,0.76,0.92
164,#8606AA2A,1,0.92,0.72,0.76,0.56
179,#9609FF60,1,0.88,0.88,0.8,0.66
134,#959D0F07,0.4,0.98,0.88,0.76,0.28
178,#83BCDDE2,1,0.98,0.94,0.76,0.16
190,#8EB8DCEA,1,0.98,1,0.88,1.04
115,#97C893CC,1,0.86,1,0.96,1.04
114,#85C4EBAA,1,0.68,0.94,0.92,0.76
117,#8E58C81E,1,0.94,1,0.88,0.82
89,#8E912F30,1,0.88,1,0.88,0.96
111,#857746B4,1,0.72,0.72,0.88,0.48
110,#8FA50A20,1,0.92,0.8,0.96,0.96
113,#8DA8BC99,1,0.96,0.88,0.22,0.44
112,#84BB5867,1,0.88,0.96,0.34,0.88
82,#8E07DA53,0.8,0.88,0.86,0.8,0.64
83,#8D86060D,1,1,0.88,0.72,0.78
80,#969F4E47,0.4,0.88,0.88,0.72,0
81,#906745B2,0.8,0.86,0.76,0.76,0.64
86,#9081CBDA,1,0.88,0.96,0.84,0.52
118,#1C4B7225,1,1,0.92,0.96,0.7
84,#85AC163F,1,1,0.96,0.92,0.88
85,#8ECA8ACE,1,0.8,0.74,0.92,0.92
172,#8641BB7C,1,1,0.58,0.96,0
3,#847AAE50,1,0.88,0.92,0.96,0.64
177,#95A0D2E7,1,0.9,0.4,0.7,0.2
7,#8E97736A,1,0.92,0.84,0.76,0.44
108,#84A8F9D5,1,0.92,0.92,0.8,0.66
109,#8F7F9565,1,1,0.84,0.88,0.78
102,#91707A9B,1,0.88,0.78,0.88,0.92
103,#8EDE1040,1,0.92,0.86,0.72,1.04
167,#86187CE2,1,0.92,0.8,0.7,0
101,#8EE1FD92,1,0.92,0.92,0.76,0.74
106,#8E122EB2,1,0.88,0.88,0.18,0.16
107,#8E720FF3,1,0.7,0.86,0.8,0.76
104,#82FDD8A7,1,0.84,0.44,0.86,0.66
105,#8E5302DF,1,0.88,0.96,0.92,0.48
39,#8E73E31E,1,1,1,1,0.96
38,#84AA052B,1,0.86,1,0.68,0.08
33,#8F9BC6D2,1,0.9,0.88,0.88,0.96
32,#853210A7,1,0.88,0.96,0.4,0.82
31,#8ECE4D0D,1,0.88,0.92,0.92,1.04
30,#85A16347,1,0.72,0.88,0.76,0.08
37,#8AB55E61,1,0.88,0.98,0.86,0.48
36,#8ACCF1B7,1,0.96,0.9,0.96,0.32
35,#81728C7F,1,0.9,0.88,0.28,0.36
34,#8E5FE332,1,0.94,0.94,0.64,0.86
60,#8E95706B,1,0.82,0.8,0.84,0.82
61,#895030E9,1,1,1,0.88,0.52
62,#969F9099,1,0.92,0.96,1,0.86
63,#8A39BB08,1,0.96,0.8,0.76,0.4
64,#983302A9,1,0.96,0.72,1,0.48
