qid,FA13_ID,WI15_ID,VoteType,cans_FA13,cans_WI15
0,l2q6,l2q2,ind,4,4
1,l2q7,l2q3,group,4,4
2,l2q8,l2q4,ind,1,1
3,l2q9,l2q5,group,1,1
4,l2q10,l4q8,ind,1,1
5,l2q13,l5q1,ind,4,4
6,l2q14,l5q2,ind,1,1
7,l2q15,l5q4,ind,3,2
8,l2q18,l5q6,ind,3,3
9,l2q19,l5q7,group,3,3
10,l3q6,l2q6,ind,4,4
11,l3q8,l3q5,ind,1,1
12,l3q9,l3q6,group,1,1
13,l3q10,l3q7,ind,1,1
14,l3q11,l3q8,group,1,1
15,l5q5,l5q10,ind,1,1
16,l5q6,l5q11,group,1,1
17,l5q7,l5q12,ind,5,4
18,l5q8,l5q13,group,5,4
19,l5q9,l5q15,ind,2,2
20,l5q11,l6q5,ind,3,3
21,l5q12,l6q6,group,3,3
22,l6q6,l6q7,ind,1,1
23,l6q7,l6q8,group,1,1
24,l9q6,l7q8,ind,5,5
25,l9q8,l7q9,ind,2,2
26,l9q9,l7q10,group,2,2
27,l9q10,l8q1,ind,4,4
28,l9q11,l8q2,group,4,4
29,l9q14,l8q3,ind,2,2
30,l9q15,l8q4,group,2,2
31,l9q16,l8q5,ind,1,1
32,l9q17,l8q6,group,1,1
33,l10q1,l10q4,ind,1,1
34,l10q2,l11q3,group,1,1
35,l10q3,l11q4,ind,3,3
36,l10q4,l11q5,group,3,3
37,l10q5,l11q6,ind,1,1
38,l11q4,l11q10,ind,3,3
39,l11q5,l11q11,group,3,3
40,l12q5,l11q13,ind,4,4
41,l12q6,l11q14,group,4,4
42,l12q7,l11q15,ind,2,2
43,l12q10,l12q1,ind,2,2
44,l12q11,l12q2,group,2,2
45,l12q12,l12q3,ind,3,3
46,l13q16,l13q10,ind,3,3
47,l13q18,l13q11,ind,1,1
48,l13q21,l13q12,ind,1,1
49,l13q23,l13q13,ind,2,2
50,l13q24,l13q14,ind,3,3
51,l13q26,l13q15,group,3,3
52,l13q31,l13q19,ind,2,2
53,l13q32,l13q20,group,2,2
54,l14q3,l13q21,ind,2,2
55,l14q4,l13q22,group,2,2
56,l15q5,l17q8,ind,5,5
57,l15q6,l17q9,group,5,5
58,l15q7,l17q10,ind,3,3
59,l15q13,l14q1,ind,2,2
60,l15q14,l14q2,group,2,2
61,l16q5,l17q1,ind,4,4
62,l16q6,l17q2,group,4,4
63,l17q8,l18q1,ind,3,3
64,l17q9,l18q2,group,3,3
65,l17q10,l18q3,ind,2,2
66,l17q11,l18q4,ind,2,2
67,l17q12,l18q5,group,2,2
68,l17q13,l19q3,ind,1,1
69,l17q14,l19q4,group,1,1
70,l18q1,l18q6,ind,4,3
71,l18q2,l18q7,group,4,3
72,l18q3,l19q1,ind,4,4
73,l18q4,l19q2,group,4,4
74,l22q7,l8q8,ind,3,3
75,l22q8,l8q9,group,3,3
76,l23q4,l9q1,ind,1,1
77,l23q5,l9q2,ind,3,3
78,l23q6,l9q3,group,3,3
79,l23q9,l9q4,ind,1,1
80,l23q10,l9q5,group,1,1
