anid,remote,midterm1,midterm2
0,#82FAC3BB,94,90
1,#83027EFF,71,60
2,#8302E362,93,92
3,#8E901C02,95,88
4,#8EC899DF,90,96
5,"['#2201E5C6', '#8611E374']",92,92
6,#83476FAB,70,73
7,#848D1E17,100,97
8,#82DC9CC2,82,70
9,#09A160C8,77,93
10,#83C7E8AC,90,94
11,#85F7ACDE,100,79
12,#83A52B0D,72,85
13,#853D41F9,93,60
14,#8A84717F,69,37
15,"['#847EC63C', '#047EC6BC']",100,86
16,#8424BD1D,100,88
17,#8AB35069,85,83
18,#8B951C02,64,83
19,#88A0C3EB,89,97
20,#019AD843,86,
21,#85B5E7D7,85,57
22,#830944CE,91,57
23,#85D44819,60,89
24,#1E09A3B4,91,91
25,#9305F660,89,81
26,#85EAE689,88,74
27,#862D8D26,87,84
28,#82E73D58,100,62
29,#82298F24,93,82
30,#8292D5C5,54,26
31,#85B1FECA,100,100
32,#8E0E7CFC,95,92
33,#05FCCF36,99,85
34,#8EC5DC97,91,94
35,#011D4E52,69,79
36,#849F9D86,87,66
37,#80F08AFA,76,63
38,#8DB88CB9,68,75
39,#8618DF41,79,92
40,#831632A7,68,50
41,#859BFEE0,80,60
42,#84B4C7F7,95,100
43,#8AB56659,94,100
44,#852FF55F,97,78
45,#8E9B4A5F,89,79
46,#8319BB21,76,57
47,#85017CF8,70,84
48,#82DDF2AD,95,79
49,#82DBA5FC,89,88
50,#83190298,70,78
51,#230099BA,95,75
52,#877D24DE,100,80
53,"['#1469B8C5', '#82597CA7']",95,52
54,#82EC533D,82,93
55,#833FC17D,90,87
56,#8388FCF7,81,67
57,#8272F202,84,69
58,#82D2B0E0,76,31
59,#8EA44A60,95,100
60,#8E01EB64,83,48
61,#1CC069B5,80,66
62,#8EA7725B,93,84
63,#05FDC63E,49,7
64,#8EB793AA,100,100
65,#8EA01C32,100,95
66,#85EA335C,87,100
67,"['#21E403C6', '#815DE63A']",84,48
68,#839A6C75,100,85
69,#8EEF9DFC,97,95
70,#86159003,59,61
71,#82ED016E,76,100
72,"['#8E81818E', '#821FE07D']",78,46
73,#8296FFEB,83,94
74,#8DFAA0D7,82,85
75,"['#8EE0E28C', '#82E51572']",93,90
76,#82178D18,92,71
77,#8DD3742A,98,87
78,#84E9CDA0,82,90
79,#843216A0,94,100
80,"['#822006A4', '#8387A5A1']",77,96
81,#88F41A66,89,92
82,#8295FEE9,72,43
83,#82518350,100,97
84,#8432B80E,80,69
85,#83E07B18,83,54
86,#8E7D2DDE,76,69
87,#86194BD4,78,72
88,#82EAEC84,79,38
89,#888A4644,97,84
90,#850936BA,98,85
91,#82A84B61,91,90
92,#8ED0356B,91,79
93,#8EC60C44,98,95
94,#22F133E0,100,92
95,#85B8F1CC,100,92
96,#1DF7FE14,84,87
97,#81A6B691,24,0
98,#829BE1F8,92,85
99,"['#08DF37E0', '#8DBD3909']",83,75
100,#85E3096F,90,91
101,#88D42975,95,96
102,#36D024C2,94,95
103,#8E86A1A9,79,76
104,#8440AE6A,92,91
105,#8DCD0D4D,94,90
106,#82B40F39,95,100
107,#85FD5B23,66,68
108,#861B9F02,80,74
109,#8A0979FA,84,95
110,"['#830B52DA', '#8441C401']",97,94
111,#0E4CB2F0,92,85
112,#83876662,75,66
113,"['#8EDC4614', '#82E785E0']",46,32
114,#8E8DF5F6,88,94
115,#82EC3B55,83,84
116,#21FA76AD,87,72
117,#85BCF8C1,82,73
118,#82B293A3,90,65
119,#8473CD3A,100,95
120,#82E83B51,79,55
121,#8F4714DC,100,94
122,#82125DCD,95,89
123,#8DBAD3E4,53,92
124,#8DBD1E2E,88,96
125,#844F38F3,94,76
126,#85C6E8AB,91,76
127,#8E79F502,100,99
128,"['#8DB7675D', '#84558B5A']",77,72
129,"['#8E74A65C', '#1825E7DA']",67,57
130,#82C63773,95,98
131,#85C9115D,77,87
132,#85FC0F76,95,87
133,#83444E89,92,68
134,#823CAA14,73,62
135,#86179405,97,100
136,#8266EA0E,100,94
137,#21EABB70,77,80
138,#82BD300F,73,97
139,#839DBEA0,97,84
140,#8273C233,92,53
141,#0FA4BF14,100,96
142,#90706181,94,97
143,#8273FB0A,87,88
144,#8518930E,95,100
145,#8982969D,77,53
146,#8B1956C4,68,56
147,#830B1B93,90,97
148,#8A0550DF,78,82
149,#852EFC57,95,78
150,#8DBD5464,95,62
151,#8E1D1A89,90,100
152,#85F2087F,91,68
153,#856EAD46,70,68
154,#852B812F,80,79
155,#8E9D9182,86,100
156,#00D3BD6E,75,52
157,#84A6D9FB,78,48
158,#21E4E623,92,74
159,#823775C0,75,63
160,#843C3E86,93,90
161,#82B6281C,76,44
162,#0C8BA621,88,98
163,#82D9DD86,92,90
164,#82FE89F5,34,30
165,#84877675,92,91
166,#8E9DC7D4,77,74
167,#8E83D5D8,81,96
168,#845E845E,93,77
169,#84861614,92,61
170,#828F838E,36,42
171,#85622BCC,87,74
172,#82F5B8CF,89,77
173,#1AA847F5,75,64
174,#857328DE,95,70
175,#8E688660,97,77
176,#010E5D52,95,82
177,#85B74C7E,93,86
178,#8ECF7E3F,100,93
179,#85ABA08E,90,82
180,#82D1F2A1,87,76
181,#89DF6B3D,95,80
182,#851874E9,95,60
183,#82EA660E,82,57
184,#82F82D57,85,95
185,#86216EC9,84,82
186,#84C4F8B8,94,82
187,#827BC138,85,100
188,#8EC4501A,74,47
