anid,remote,midterm1,midterm2
0,#01AD9539,0.325,0.363636364
1,#96CEA6FE,1,1
2,#9AA4457B,0.8,0.636363636
3,#847AAE50,0.975,0.818181818
4,#861D65FE,0.675,0.681818182
5,#8E835558,0.95,0.931818182
6,#8537D361,0.775,0.818181818
7,#8E97736A,0.6,0.727272727
8,#8EE3C3AE,0.85,0.659090909
9,#8D81070B,0.625,0.681818182
10,#97C8E4BB,0.9,0.659090909
11,#8E78FB0D,0.675,0.681818182
12,#85BDECD4,0.925,0.840909091
13,#96A9A49B,0.95,0.818181818
14,#8590FEEB,0.95,0.863636364
15,#84C1D99C,0.625,0.590909091
16,#9755D210,0.975,0.909090909
17,#83E6B5D0,0.65,0.659090909
18,#8E84BAB0,0.925,0.659090909
19,#83F7DDA9,0.825,0.772727273
20,#926450A6,0.9,0.636363636
21,#06049E9C,0.825,0.704545455
22,#8560C025,0.575,0.568181818
23,#846F806B,0.9,0.818181818
24,#9155A460,0.55,0.772727273
25,#8E1C198B,0.825,0.659090909
26,#8DCE5A19,0.8,0.727272727
27,#8E687B9D,0.825,0.931818182
28,#96A9A19E,0.85,0.659090909
29,#9086283E,0.6,0.636363636
30,#85A16347,0.475,0.772727273
31,#8ECE4D0D,0.8,0.909090909
32,#853210A7,0.65,0.909090909
33,#8F9BC6D2,0.95,0.795454545
34,#8E5FE332,0.95,0.840909091
35,#81728C7F,0.825,0.772727273
36,#8ACCF1B7,0.9,0.863636364
37,#8AB55E61,0.775,0.840909091
38,#84AA052B,0.875,0.863636364
39,#8E73E31E,0.975,0.977272727
40,#82EAEE86,0.95,0.931818182
41,#8B3AF243,0.9,0.840909091
42,#971151D7,0.925,0.818181818
43,#8F3F3F8F,1,0.886363636
44,#8E0E62E2,0.75,0.704545455
45,#8224F452,0.575,0.522727273
46,#85F47C0D,0.75,0.681818182
47,#9830A50D,0.75,0.818181818
48,#8ED21D41,0.975,0.840909091
49,#8640A462,0.95,0.613636364
50,#8F2100AE,0.975,0.863636364
51,#8E7ACF3B,0.65,0.772727273
52,#8227DC79,0.825,0.818181818
53,#8E81A5AA,0.95,0.704545455
54,#8E1AE97D,0.975,0.931818182
55,#983153FA,0.675,0.659090909
56,#99A4F0CD,0.55,0.409090909
57,#8E9E5C4C,0.9,0.818181818
58,#982E49FF,0.775,0.818181818
59,#84727680,0.7,0.909090909
60,#8E95706B,0.8,0.818181818
61,#895030E9,0.825,0.772727273
62,#969F9099,0.9,0.954545455
63,#8A39BB08,0.7,0.590909091
64,#983302A9,0.85,0.75
65,#364CA4DE,0.475,0.840909091
66,#8E5BE633,1,0.909090909
67,#90646094,0.875,0.818181818
68,#97C37024,0.675,0.772727273
69,#8FB7B088,0.475,0.454545455
70,#8E7605FD,0.875,0.772727273
71,#8474D828,0.575,0.545454545
72,#974B8A56,0.975,0.863636364
73,#8F2B9236,0.7,0.863636364
74,#90D4DB9F,0.9,0.818181818
75,#86219631,0.625,0.636363636
76,#26B223B7,0.625,0.590909091
77,#92ED8EF1,1,0.795454545
78,#83B36252,0.675,0.772727273
79,#8E01B837,0.95,0.931818182
80,#969F4E47,0.45,0.568181818
81,#906745B2,0.925,0.886363636
82,#8E07DA53,0.925,0.75
83,#8D86060D,0.825,0.772727273
84,#85AC163F,0.625,0.863636364
85,#8ECA8ACE,0.9,0.818181818
86,#9081CBDA,0.875,0.545454545
87,#85B0C7F2,0.65,0.772727273
88,#821B079E,0.45,0.568181818
89,#8E912F30,0.9,0.840909091
90,#8DC8FABF,0.925,0.613636364
91,#8E8A3F3B,0.9,0.954545455
92,#89887B7A,0.75,0.704545455
93,#82E36E0F,0.9,1
94,#8E6E15F5,0.55,0.590909091
95,#8E792CDB,0.9,0.636363636
96,#8E3E4AFA,0.9,0.704545455
97,#8E12BB27,1,0.977272727
