anid,cse5a,cse12,cse21,cse30,cse15l,math154,math184a,mae9,ece15
0,#N/A,C  ,C+ ,C- ,C  ,#N/A,#N/A,#N/A,#N/A
1,#N/A,A+ ,A+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
2,#N/A,C  ,B+ ,#N/A,#N/A,#N/A,#N/A,#N/A,W  
3,#N/A,A  ,A+ ,#N/A,#N/A,#N/A,#N/A,#N/A,A  
4,#N/A,C  ,A  ,F  ,B+ ,#N/A,#N/A,#N/A,C  
5,#N/A,A- ,B+ ,A- ,A+ ,#N/A,#N/A,#N/A,#N/A
6,#N/A,#N/A,A+ ,B+ ,B  ,#N/A,#N/A,#N/A,#N/A
7,A  ,B+ ,A  ,B- ,A  ,#N/A,#N/A,#N/A,#N/A
8,#N/A,#N/A,A  ,#N/A,A- ,#N/A,#N/A,#N/A,#N/A
9,#N/A,B+ ,A- ,B  ,A- ,#N/A,#N/A,#N/A,#N/A
10,#N/A,#N/A,A- ,#N/A,B+ ,#N/A,#N/A,#N/A,#N/A
11,#N/A,B+ ,C- ,C- ,C+ ,#N/A,#N/A,#N/A,#N/A
12,#N/A,B  ,A  ,A- ,A  ,#N/A,#N/A,#N/A,#N/A
13,A- ,A- ,B+ ,B- ,A- ,#N/A,#N/A,#N/A,#N/A
14,#N/A,B+ ,A  ,B  ,A  ,#N/A,#N/A,#N/A,#N/A
15,#N/A,C  ,P  ,B+ ,B  ,#N/A,#N/A,#N/A,#N/A
16,#N/A,#N/A,A+ ,A  ,A  ,#N/A,#N/A,#N/A,#N/A
17,#N/A,B+ ,A  ,C+ ,A  ,#N/A,#N/A,#N/A,#N/A
18,#N/A,B  ,A  ,C  ,B  ,#N/A,#N/A,#N/A,#N/A
19,C  ,C  ,B- ,C+ ,B  ,#N/A,#N/A,#N/A,#N/A
20,#N/A,C- ,B+ ,B  ,B  ,#N/A,#N/A,#N/A,#N/A
21,#N/A,A  ,A  ,B  ,B+ ,B  ,A  ,#N/A,#N/A
22,#N/A,B- ,C  ,B  ,B- ,#N/A,#N/A,#N/A,#N/A
23,#N/A,B+ ,#N/A,#N/A,#N/A,#N/A,#N/A,A  ,B+ 
24,C- ,C  ,C  ,#N/A,B  ,#N/A,#N/A,#N/A,#N/A
25,#N/A,B  ,B+ ,D  ,B  ,#N/A,#N/A,#N/A,#N/A
26,#N/A,A  ,A+ ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
27,#N/A,B+ ,A  ,A  ,A- ,#N/A,#N/A,#N/A,#N/A
