pid,anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,avg_week1,avg_week2,avg_week3,avg_week4
A09196574,0,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11232313,1,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A98107106,2,0.75,0.8,1,1,1,0.5,1,1,1.000000000,1.000000000,1.000000000,0.775,1,0.5,1
A10670971,3,1,1,1,1,1,1,0.666666667,1,1.000000000,1.000000000,1.000000000,1,1,1,0.833333334
A10844473,4,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A99128987,5,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A12493796,6,1,1,1,1,1,0.75,1,1,1.000000000,1.000000000,1.000000000,1,1,0.75,1
A11467014,7,0.75,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.875,1,1,1
A09661915,8,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11479202,9,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11991867,10,1,1,1,0.75,1,1,1,1,1.000000000,1.000000000,1.000000000,1,0.916666667,1,1
A11581750,11,1,1,0.666666667,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,0.888888889,1,1
A11354743,12,1,1,1,1,1,0,1,1,1.000000000,1.000000000,1.000000000,1,1,0,1
A11338750,13,1,1,1,1,1,1,1,1,1.000000000,1.000000000,0.000000000,1,1,1,1
A10562373,14,1,0.8,1,1,1,0,1,1,0.000000000,1.000000000,1.000000000,0.9,1,0,1
A98106330,15,0.75,1,1,1,0.333333333,0.75,1,1,1.000000000,1.000000000,1.000000000,0.875,0.777777778,0.75,1
A10889054,16,1,1,1,1,1,0,0,1,1.000000000,1.000000000,1.000000000,1,1,0,0.5
A10540013,17,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11570188,18,1,0,1,1,1,1,1,1,0.000000000,1.000000000,1.000000000,0.5,1,1,1
A10919187,19,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A11737166,20,1,1,1,1,0.666666667,0.5,1,1,1.000000000,1.000000000,1.000000000,1,0.888888889,0.5,1
A09417414,21,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
A10632489,22,1,1,1,0.75,1,0,1,1,1.000000000,0.000000000,1.000000000,1,0.916666667,0,1
A09385415,23,1,0.8,1,1,1,0,1,0.666666667,1.000000000,1.000000000,1.000000000,0.9,1,0,0.833333334
A10589709,24,0.75,1,1,0.75,0,0.25,0.666666667,0,0.666666667,1.000000000,1.000000000,0.875,0.583333333,0.25,0.333333334
A99057476,25,1,1,1,1,0.666666667,0,1,1,0.333333333,1.000000000,1.000000000,1,0.888888889,0,1
A98032189,26,1,0.8,1,1,1,0,1,1,1.000000000,1.000000000,1.000000000,0.9,1,0,1
A11417808,27,1,0.8,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,0.9,1,1,1
A11454036,28,1,1,1,1,1,0.25,0,1,1.000000000,1.000000000,1.000000000,1,1,0.25,0.5
A11144594,29,0.5,1,0.666666667,0.5,0.666666667,0,1,0,1.000000000,1.000000000,1.000000000,0.75,0.611111111,0,0.5
A10552982,30,0.75,0.6,1,0,0.666666667,1,1,1,1.000000000,0.000000000,1.000000000,0.675,0.555555556,1,1
A12441949,31,1,1,1,1,1,0,1,1,1.000000000,1.000000000,0.000000000,1,1,0,1
A10554158,32,1,1,1,1,1,1,1,1,1.000000000,1.000000000,1.000000000,1,1,1,1
