anid,remote,a1,a2,a3,a4,a5,a6,a7,a8
165,#926DB946,0.89,0.505,0.87,0.86,0.84,0.85,0.96,0.945
133,#8E142AB0,0.94,0.925,1,1,0.68,0.665,0.75,1
132,#8E720FF3,0.97,0.89,0.89,0.95,0.84,0.625,0.9,0.855
131,#8399DDC7,0.88,0.575,0.85,0.99,0.88,0.46,1,0.8595
130,#8E78C93F,0.77,0.97,0.85,0.81,0.84,0.825,1,0.975
137,#8DA8BC99,0.8,0.225,1,1,0.36,0.67,0.98,0.825
136,#8E19F661,0.97,0.985,0.96,0.99,0.94,0.795,1,1
135,#8DC3501E,0.96,0.96,0.96,0.74,0.98,0.96,1,0.975
134,#8E0F75F4,0.96,0.935,1,1,0.91,0.78,1,1
139,#85B1BB8F,0.92,1,0.99,1,0.93,1,1,1
138,#8EB8BC8A,0.95,0.91,0.91,1,0.95,0.94,0.9,1
93,#8B1C3CAB,0.58,0.95,0.88,0.69,0.21,0.38,0.7,0.725
24,#8A26DC70,0.36,0.325,0.93,0.88,0.8,0.29,0.28,0.95
25,#9081CBDA,0.48,0.715,0.99,0.905,0.79,0.62,0.7,0.995
26,#856E3BD0,0.81,0.75,0.89,0.9,0.42,0,0,0.87
167,#847B2DD2,0.97,0.97,0.98,0.925,1,0.615,0.95,0.71
20,#8DD18CD0,0.9,0.57,0.92,0.995,0.95,0.41,0.08,1
21,#959D0F07,0.86,0.67,0.95,0.86,0.94,0.91,1,0.945
22,#84650CED,0.95,0.85,0.75,0.66,0.7,0.605,0.75,0.8955
23,#84333780,0.93,0.695,0.83,0.98,0.97,0.84,0.81,0.97
160,#8FC1B7F9,0.96,0.98,0.93,0.96,1,0.84,0.98,0.995
28,#82C07D3F,0.83,0.585,0.7,1,0.58,0.41,0.9,0.975
29,#90697881,0.79,0.775,0.9,0.96,0.98,0.94,1,0.975
161,#8E8F2A2B,0.88,0.775,0.88,0.92,0.97,0.525,1,0.975
0,#8EE47913,0.29,0,0,0,0,0,0,0
162,#83B32F1F,0.62,0.935,0.93,0.965,0.75,0.675,0.28,0.95
8,#89B44578,0.71,0.54,0.93,0.9,0.91,0,0.9,0.86
163,#96AB5A67,0.85,0.63,0.95,0.78,0.69,0.2,1,0.97
120,#8590FEEB,0.97,0.955,0.92,0.845,0.92,0.585,0.88,0.873
121,#84D589D8,0.9,0.97,0.78,0.995,0.94,0.8,1,1
122,#8E80C5CB,0.93,1,0.97,0.96,0.81,0.735,0.88,1
123,#8ED5BFE4,0.9,0.755,0.9,0.99,0.92,0.57,0.95,1
124,#8E809799,0.87,0.965,0.96,0.985,0.92,0.815,1,1
125,#8610C452,0.79,0.97,0.95,0.995,0.63,0.885,0.9,0.783
126,#854EF73C,0.86,1,0.98,0.96,0.99,1,0.98,0.975
127,#82DBD78E,0.93,0.985,0.89,0.87,0.96,1,1,1
128,#83AE8EA3,0.97,1,0.86,1,0.93,0.865,0.98,1
129,#8E1AE97D,0.95,0.985,0.98,1,0.91,0.995,1,1
59,#89887B7A,0.9,0.655,0.98,0.98,0.89,0.32,1,1
58,#910E30AF,0.88,0.755,0.99,0.99,0.9,0.7,0.7,0.9
55,#855D2DF5,0.85,0.48,0.97,0.76,0.73,0.36,0.2,1
54,#8568F31E,0.9,0.77,0.91,1,0.97,0.42,0.85,1
57,#9609FF60,0.97,0.955,0.93,0.745,0.88,0.8,0.8,0.95
56,#85937D6B,0.98,0.985,0.98,0.995,0.9,0.68,0.8,1
51,#8622AA0E,0.75,0.365,0.89,0.88,0.21,0.66,0.93,0.995
50,#8AD06A30,0.87,0.65,0.85,0.84,0.58,0.78,0.13,0.875
53,#8F9A8297,0.95,0.77,0.93,0.985,0.97,0.91,0.7,1
52,#85250AAA,0.95,0.77,0.9,0.995,0.88,0.695,1,0.995
164,#86219037,0.81,0.94,0.82,1,0.8,0.775,0.5,1
115,#820E0488,0.92,0.705,0.97,0.95,0.75,0.98,1,0.975
114,#852F9D37,0.88,0.97,1,0.92,0.98,0.92,0.96,0.86
117,#8E9E5C4C,0.91,0.845,0.99,0.9,0.92,0.705,1,1
116,#8D86060D,0.83,0.905,1,0.86,0.92,0.9,1,0.97
111,#8FB94573,0.81,0.935,0.9,0.84,0.92,0.86,1,0.95
110,#8E6D9C7F,0.86,0.2,0.97,0.78,0.91,0.67,0.9,0.915
113,#85C4EBAA,0.84,0.515,0.85,0.865,0.62,0.6,0.3,0.4905
112,#852E59F2,0.92,0.985,0.99,1,0.97,1,1,0.975
82,#8F9B2F3B,0.95,0.97,0.98,0.93,1,0.82,1,1
83,#8990B1A8,0.82,0.74,0.93,0.95,0.77,0.745,1,1
80,#85C1A9ED,0.91,1,1,0.93,1,1,0.88,0.975
81,#8FB7B088,0.99,0.98,0.97,0.91,0.92,0.465,0.75,1
86,#8304E86F,0.79,0.97,0.93,0.995,0.94,0.745,1,1
118,#82E599FE,0.9,0.92,0.98,0.94,0.89,0.905,1,1
84,#8E129A06,0.89,0.74,0.98,1,0.62,0.89,1,0.95
85,#847AAE50,0.93,1,0.98,0.99,0.96,0.985,1,1
