anid,remote,a1w2,a2w3,a3w4,a4w5,a5w6,a6w7,a7w8,a8w10
133,#83C74703,0,0.94,0.915,0.045,0.7,0.715,0.7,0.8875
132,#8E79F403,0.95,0.99,0.83,0.82,1,0.92,1,0.975
131,#8EB595AE,0.93,0.985,0.89,0.905,0.91,0.98,0.99,0.9125
130,#8E83373A,0.98,0.84,0.97,0.9175,0.97,0.505,0.7,0.7875
137,#85C25D1A,0.95,0.925,0.885,0.95,0.66,0.805,0.92,0.9375
136,#8EA2173B,0.88,0.915,0.93,0.95,0.79,0.76,0.9,0.8625
135,#84D70B58,0.91,0.935,0.815,0.99,1,0.9085,0.98,0.95
90,#9A06D34F,0.93,0.775,0.86,0.975,0.82,0.74,1,0.72
139,#9A79FB18,0.9,0.965,0.985,0.98,0.97,0.7,1,0.9375
138,#88333C87,0.99,0.9375,0.9,0.92,0.94,0.96,1,0.9125
93,#9A9CE4E2,0.94,0.975,0.9,0.72,1,0.295,0.98,0.875
24,#846414F4,0.91,0.84,0.98,0.98,1,0.38,0.7,1
25,#8E87F0F9,1,1,1,0.99,1,0.875,0.96,1
26,#9AAE4773,0.93,0.895,0.97,0.985,0.97,0.73,1,1
167,#97F67D1C,0.96,0.7925,0.93,0.915,0.97,0.915,0.86,1
20,#8E53EC31,0.92,0.92,0.985,0.96,0.88,0.895,0.85,0.975
21,#8E702CD2,0.85,0.9215,0.955,0.92,1,0.99,0.95,0.9875
22,#959E2D26,0.9,0.955,0.87,0.92,1,0.74,1,0.95
23,#8ED03B65,0.9,0.8615,1,0.92,0.93,0.348,0.95,0.98
160,#8E6F2ECF,0.95,0.975,0.97,0.98,1,0.995,0.98,0.9575
28,#9161A757,0.89,0.9065,0.88,0.925,0.63,0.7805,0.86,0.9875
29,#955964A8,0.83,0.71,0.705,0.865,0.88,0.67,0.95,0.85
161,#9A326BC3,0.97,0.975,0.995,0.99,1,1,1,0.9875
0,#9A74CF21,0.88,0.725,0.965,0.88,1,0.6165,1,0.5075
162,#9720F245,0.94,0.888,0.845,0.775,0.93,0.58,0.63,1
8,#8E14AC36,0.93,0.95,0.97,0.98,1,0.9175,1,1
163,#9138F45D,0.98,0.525,1,0.98,0.97,0.425,0.81,1
87,#9A9BBDBC,0.75,0.9,0.995,0.885,0.96,0.965,0.97,1
120,#8E1D24B7,0.97,1,1,0.98,0.88,0.975,1,0.9875
121,#9A705FB5,0.95,0.995,0.98,0.91,1,0.715,0.93,0.9625
122,#8E9BC6D3,0.94,0.92,0.915,0.96,1,0.98,1,0.975
123,#9A844759,0.93,0.77,0.9,0.7,0.4,0.37,0.95,0.9
124,#842505A4,0.86,0.7495,0.925,0.87,0.6,0.24,1,1
125,#9AA2B28A,0.83,1,0.91,0.95,1,0.901,1,0.725
126,#9AAD0235,0.8,0.995,1,0.975,0.96,0.973,0.92,0.9875
127,#8FA34F63,0.9,0.91,0.975,0.97,0.88,0.68,0.98,0.9375
128,#982055ED,0.85,0.945,0.845,0.95,0.65,0.535,0.55,0.9875
129,#97C83D62,0.89,0.65,0.99,0.905,1,0.4,1,0.7625
59,#9AB60F23,0.95,1,0.92,0.99,0.94,0.6835,1,0.9625
58,#982E5EE8,0.96,0.9405,0.875,0.99,0.93,0.984,0.95,0.975
55,#98327CD6,1,1,0.995,0.99,0.985,0.9915,1,1
54,#913201A2,0.16,0.666,0.815,0.92,0.81,0.2525,0.5,1
57,#8AF17902,0.94,0.9265,0.8,0.965,0.76,0.385,1,0.9125
56,#97C45300,0.86,0.8225,0.935,0.9,0.62,0.755,0.88,0.8125
51,"['#909B6F64', '#8E7ED323']",0.85,0.885,0.965,0.87,1,0.4785,0.95,0.875
50,#8E00119F,0.94,1,0.92,0.92,0.96,0.8565,1,1
53,#885B30E3,0.96,0.964,0.9,0.92,0.91,0.4,1,0.9875
52,#99C6500F,0.88,0.6935,0.92,0.815,0.77,0,0.75,0.9
164,#8A550BD4,0.89,0.99,0.93,0.9625,0.9,0.915,0.96,1
134,#916D33CF,0.88,0.925,0.845,0.5,1,0.265,0.49,0.7
115,#8637AD1C,0.93,0.967,0.925,0.99,0.94,0.965,1,0.9875
