qid,SP14_ID,SP15b_ID,VoteType,cans,Topic
0,l2q7,l2q5,ind,1,1
1,l2q8,l2q6,group,1,1
2,l2q9,l3q1,ind,4,1
3,l3q1,l3q2,ind,1,1
4,l3q2,l3q3,group,1,1
5,l3q3,l3q4,ind,4,1
6,l3q4,l3q5,group,4,1
7,l4q6,l4q6,ind,2,2
8,l4q7,l4q7,group,2,2
9,l4q8,l4q8,ind,1,2
10,l4q9,l4q9,group,1,2
11,l4q10,l4q10,ind,1,2
12,l4q11,l4q11,group,1,2
13,l5q1,l4q13,ind,5,2
14,l6q6,l5q2,ind,3,3
15,l6q7,l5q6,ind,3,3
16,l6q8,l5q7,group,3,3
17,l7q6,l6q12,ind,13,3
18,l7q7,l6q13,group,13,3
19,l7q8,l6q14,ind,2,3
20,l7q9,l7q1,ind,1,4
21,l7q10,l7q2,group,1,4
22,l7q11,l7q3,ind,1,4
23,l7q12,l7q4,group,1,4
24,l8q1,l7q5,ind,1,4
25,l8q2,l7q6,group,1,4
26,l8q3,l7q7,ind,2,4
27,l8q4,l7q8,group,2,4
28,l8q7,l7q13,ind,1,4
29,l8q8,l7q9,ind,5,4
30,l8q9,l7q10,group,5,4
31,l8q10,l7q11,ind,5,4
32,l9q4,l8q1,ind,5,4
33,l9q9,l8q10,ind,2,4
34,l9q11,l9q7,ind,4,0
35,l10q7,l9q10,ind,5,0
36,l10q10,l9q11,ind,5,0
37,l10q11,l9q12,group,5,0
38,l10q12,l10q2,ind,2,0
39,l10q13,l10q3,group,2,0
40,l10q14,l10q5,ind,1,0
41,l10q15,l10q6,ind,2,0
42,l11q2,l10q8,ind,1,0
43,l11q3,l10q9,ind,2,0
44,l11q4,l10q10,group,2,0
45,l11q5,l10q11,ind,3,0
46,l11q6,l10q12,group,3,0
47,l11q7,l10q13,ind,4,0
48,l11q8,l11q1,ind,4,0
49,l11q9,l11q2,group,4,0
50,l12q3,l10q15,ind,1,0
51,l12q8,l11q10,ind,1,0
52,l12q9,l11q11,group,1,0
53,l12q10,l11q12,ind,3,0
54,l13q7,l12q7,ind,3,0
55,l13q8,l12q8,group,3,0
56,l13q9,l12q9,ind,5,0
57,l13q11,l12q10,ind,2,0
58,l13q12,l12q11,ind,3,0
59,l13q13,l12q12,group,3,0
60,l13q14,l13q11,ind,2,0
61,l13q15,l13q12,ind,4,0
62,l13q16,l13q13,group,4,0
63,l13q17,l13q14,ind,1,0
64,l14q10,l13q16,ind,2,0
65,l14q16,l13q19,ind,2,0
66,l14q17,l13q20,group,2,0
67,l15q6,l15q1,ind,1,0
68,l15q11,l15q4,ind,2,0
69,l15q12,l15q5,group,2,0
70,l15q13,l15q6,ind,2,0
71,l15q14,l15q8,ind,1,0
72,l15q15,l15q9,ind,2,0
73,l15q16,l15q10,group,2,0
74,l16q3,l17q7,ind,1,0
75,l16q4,l17q8,group,1,0
76,l16q5,l17q9,ind,1,0
77,l16q6,l17q10,ind,3,0
78,l16q7,l17q11,group,3,0
79,l16q8,l17q12,ind,1,0
80,l16q9,l17q13,group,1,0
81,l16q10,l17q14,ind,1,0
82,l16q14,l18q8,ind,2,0
83,l16q15,l18q9,ind,2,0
84,l17q10,l18q16,ind,1,0
85,l17q11,l18q17,ind,2,0
86,l17q12,l18q19,ind,2,0
87,l19q6,l19q6,ind,1,0
88,l19q7,l19q8,ind,3,0
89,l19q8,l19q9,group,3,0
90,l19q9,l19q10,ind,2,0
91,l19q10,l20q6,ind,4,0
92,l19q11,l20q7,ind,1,0
93,l20q6,l20q8,ind,25,0
94,l20q7,l20q9,group,25,0
95,l21q1,l21q1,ind,3,0
96,l21q2,l21q2,group,3,0
97,l21q3,l21q3,ind,5,0
98,l21q4,l21q4,group,5,0
99,l21q5,l21q5,ind,3,0
100,l21q7,l21q6,ind,2,0
101,l21q8,l21q7,group,2,0
102,l22q1,l22q2,ind,4,0
103,l22q2,l22q3,group,4,0
104,l22q3,l22q4,ind,4,0
105,l22q4,l22q5,ind,5,0
106,l22q5,l22q6,group,5,0
107,l22q6,l22q9,ind,1,0
108,l23q3,l23q1,ind,1,0
109,l23q4,l23q2,ind,3,0
110,l23q5,l23q3,group,1,0
111,l23q6,l23q4,group,3,0
112,l24q9,l25q5,ind,4,0
113,l24q10,l25q6,group,4,0
114,l24q6,l25q7,ind,145,0
