anid,remote,midterm
0,#9A74CF21,0.59375
1,#8D984B5E,0.822916667
2,#3DE75E84,0.791666667
3,#8E7B8277,0.875
4,#826720C5,0.583333333
5,#8FB080BF,0.9375
6,#84865C5E,0.729166667
7,#8E6F30D1,0.854166667
8,#8E14AC36,0.90625
9,#9729348A,0.78125
10,#8E14EC76,0.9375
11,#8FA4654E,0.84375
12,#86408E48,0.666666667
13,#9A233881,0.9375
14,#9A4E18CC,0.791666667
15,#916E857A,0.979166667
16,#8E7047B9,0.822916667
17,#8DB7F9C3,0.895833333
18,#8A9B7B6A,0.59375
19,#8E6D22C1,0.875
20,#8E53EC31,0.833333333
21,#8E702CD2,0.645833333
22,#959E2D26,0.8125
23,#8ED03B65,0.65625
24,#846414F4,0.697916667
25,#8E87F0F9,0.8125
26,#9AAE4773,0.895833333
27,"['#96F9234C', '#974E3BE2']",0.541666667
28,#9161A757,0.96875
29,#955964A8,0.71875
30,#9A50F832,0.875
31,#8E6C6A88,0.916666667
32,#8A51D70C,0.833333333
33,#8E6CC321,0.90625
34,#96AA0D31,0.958333333
35,#9A2A9626,0.666666667
36,#91398028,0.833333333
37,#8E81F7F8,0.5625
38,"['#982DA510', '#9AC0267C']",0.739583333
39,#8D8F3133,0.833333333
40,#9986021D,0.520833333
41,#8A2C45E3,0.989583333
42,#9A316AC1,0.677083333
43,#8DB05C61,0.739583333
44,#8E6DD83B,0.864583333
45,#974EB56C,0.604166667
46,#9ACA5202,0.979166667
47,#8E127CE0,0.614583333
48,#85E46302,0.895833333
49,#907E6A84,0.875
50,#8E00119F,0.9375
51,"['#909B6F64', '#8E7ED323']",0.833333333
52,#99C6500F,0.71875
53,#885B30E3,0.708333333
54,#913201A2,0.520833333
55,#98327CD6,0.8125
56,#97C45300,0.84375
57,#8AF17902,0.6875
58,#982E5EE8,0.916666667
59,#9AB60F23,0.895833333
60,#9A81263D,0.895833333
61,#9A923E36,0.958333333
62,#974B19C5,0.822916667
63,#85A06A4F,0.833333333
64,#9AC8FEAC,0.84375
65,#82F47F09,0.958333333
66,#838A0F06,0.8125
67,#8EA72E07,0.739583333
68,#95FAC7A8,0.489583333
69,#8F469D54,0.84375
70,#8E35F348,0.760416667
71,#8289979C,0.708333333
72,#931234B5,0.895833333
73,#9AA6D0EC,0.958333333
74,#8E18E771,0.770833333
75,#83A65D78,0.520833333
76,#8E60BF51,0.75
77,#8AB77548,0.604166667
78,#9AB05E74,0.854166667
79,#8E7A3FCB,0.760416667
80,#9A2916A5,0.875
81,#8F598D5B,0.677083333
82,#9A9C5355,0.833333333
83,#9A42C119,0.833333333
84,#8E7B6297,0.958333333
85,#966B926F,0.833333333
86,#9AD7ABE6,0.854166667
87,#9A9BBDBC,0.833333333
88,#8A5805D7,0.854166667
89,#8FC382CE,0.895833333
90,#9A06D34F,0.833333333
91,#9A8CC4D2,0.916666667
92,#84E62042,0.895833333
93,#9A9CE4E2,0.8125
94,#8E71FD02,0.854166667
95,#8EA5654E,0.90625
96,#820D1C93,0.71875
97,#9A92B0B8,0.854166667
98,#885A3EEC,0.739583333
99,#863D18A3,0.875
100,#90871403,0.489583333
101,#9A6C9365,0.9375
102,#9A70A14B,0.802083333
103,#97230BBF,1
104,#8B7052A9,0.854166667
105,#8A5E21F5,0.770833333
106,#8E6CB654,0.958333333
107,#8F80010E,0.729166667
108,#9A79A043,0.520833333
109,#996B23D1,0.833333333
110,"['#82E60165', '#857C926B']",0.770833333
111,#983A74D6,0.958333333
112,#93129C1D,0.895833333
113,#8A23C960,0.802083333
114,#982D5FEA,0.833333333
115,#8637AD1C,0.9375
116,#847EA258,0.614583333
117,#959AC6C9,0.770833333
118,#9A8BDCCD,0.979166667
119,#9D56905B,0.90625
120,#8E1D24B7,0.916666667
121,#9A705FB5,0.71875
122,#8E9BC6D3,0.75
123,#9A844759,0.791666667
124,#842505A4,0.59375
125,#9AA2B28A,0.958333333
126,#9AAD0235,0.916666667
127,#8FA34F63,0.9375
128,#982055ED,0.395833333
129,#97C83D62,0.5625
130,#8E83373A,0.614583333
131,#8EB595AE,0.895833333
132,#8E79F403,0.9375
133,#83C74703,0.510416667
134,#916D33CF,0.791666667
135,#84D70B58,0.854166667
136,#8EA2173B,0.791666667
137,#85C25D1A,0.833333333
138,#88333C87,0.895833333
139,#9A79FB18,0.916666667
140,#959DAEA6,0.697916667
141,#9A2163D8,0.9375
142,#8E1662FA,0.875
143,#9322E958,0.583333333
144,#8E881513,0.572916667
145,#8E7B55A0,0.666666667
146,#9172F81B,0.895833333
147,#9AD68BC7,0.9375
148,#86138411,0.854166667
149,#8A27E449,0.885416667
150,#82E593F4,0.4375
151,#9A947678,0.708333333
152,#966C1EE4,0.875
153,#8A30219B,0.9375
154,#84EEF49E,0.958333333
155,#9A59D714,0.958333333
156,#9B697587,0.90625
157,#96BC012B,0.916666667
158,#8A58BF6D,0.958333333
159,#912471C4,0.510416667
160,#8E6F2ECF,0.9375
161,#9A326BC3,0.802083333
162,#9720F245,0.916666667
163,#9138F45D,0.770833333
164,#8A550BD4,0.729166667
165,#9A7C5ABC,0.833333333
166,#9AC4B2EC,0.708333333
167,#97F67D1C,0.59375
168,#9A353A95,0.75
169,#8E0DE96A,0.916666667
170,#8DCD1A5A,0.604166667
171,#8EC74B02,0.541666667
172,#982B7FCC,0.770833333
173,#8E1ACB5F,0.59375
174,#958B9F81,0.541666667
175,#9A54529C,0.895833333
