anid,cse11,cse8b,cse15l
0,#N/A,A  ,B  
1,B  ,#N/A,B  
2,#N/A,A  ,B  
3,A+ ,#N/A,A+ 
4,A- ,#N/A,#N/A
5,A- ,#N/A,B  
6,#N/A,B  ,#N/A
7,A  ,#N/A,A  
8,#N/A,A- ,#N/A
9,C  ,#N/A,#N/A
10,A  ,#N/A,P  
11,#N/A,B+ ,#N/A
12,#N/A,C  ,B- 
13,A  ,#N/A,A  
14,#N/A,B- ,B- 
15,#N/A,A+ ,#N/A
16,A  ,#N/A,#N/A
17,B  ,#N/A,#N/A
18,A- ,#N/A,C  
19,A  ,#N/A,B+ 
20,#N/A,A- ,#N/A
21,A  ,#N/A,B  
22,#N/A,A  ,C+ 
23,A- ,#N/A,C  
24,A- ,#N/A,#N/A
25,B+ ,#N/A,A  
26,#N/A,A  ,A- 
27,#N/A,#N/A,C  
28,#N/A,A- ,B  
29,#N/A,B  ,B  
30,#N/A,A  ,B  
31,#N/A,A  ,A- 
32,#N/A,A  ,B  
33,#N/A,A  ,#N/A
34,#N/A,A  ,A  
35,B  ,#N/A,B  
36,#N/A,A- ,A  
37,#N/A,B- ,C  
38,#N/A,A- ,A  
39,#N/A,C  ,C- 
40,#N/A,D  ,B  
41,P  ,#N/A,#N/A
42,#N/A,B+ ,B  
43,C+ ,#N/A,W  
44,A- ,#N/A,B  
45,#N/A,#N/A,C  
46,#N/A,A  ,A  
47,A- ,#N/A,#N/A
48,B  ,#N/A,B  
49,B- ,#N/A,#N/A
50,B+ ,#N/A,B  
51,A  ,#N/A,B- 
52,B  ,#N/A,B  
53,#N/A,A  ,B  
54,#N/A,B  ,D  
55,#N/A,A  ,A+ 
56,#N/A,B+ ,A  
57,A- ,#N/A,C  
58,A  ,#N/A,B  
59,#N/A,A  ,#N/A
60,#N/A,A- ,B  
61,A  ,#N/A,B  
62,A  ,#N/A,B+ 
63,B+ ,#N/A,B  
64,#N/A,A  ,A  
65,#N/A,A  ,B  
66,A- ,#N/A,C  
67,#N/A,B+ ,#N/A
68,C  ,#N/A,B  
69,A- ,#N/A,B  
70,#N/A,C  ,B- 
71,#N/A,B+ ,D  
72,#N/A,B+ ,#N/A
73,#N/A,A  ,B  
74,A  ,#N/A,#N/A
75,#N/A,B  ,W  
76,#N/A,B+ ,B  
77,C- ,#N/A,B  
78,#N/A,A  ,A- 
79,B  ,#N/A,#N/A
80,A  ,#N/A,B  
81,C  ,#N/A,#N/A
82,A- ,#N/A,A  
83,#N/A,A- ,B  
84,#N/A,A  ,B  
85,A  ,#N/A,C  
86,#N/A,A- ,B  
87,#N/A,B+ ,B+ 
88,A  ,#N/A,#N/A
89,#N/A,A- ,A- 
90,B  ,#N/A,#N/A
91,#N/A,A  ,A- 
92,#N/A,A  ,A+ 
93,#N/A,B  ,C  
94,#N/A,B+ ,#N/A
95,#N/A,B- ,C+ 
96,#N/A,A  ,#N/A
97,A  ,#N/A,B  
98,#N/A,B  ,A- 
99,#N/A,B  ,B  
100,#N/A,C- ,F  
101,#N/A,A  ,A- 
102,#N/A,A- ,B  
103,A  ,#N/A,A  
104,A  ,#N/A,B  
105,#N/A,A- ,B  
106,#N/A,B+ ,B  
107,#N/A,B- ,#N/A
108,A  ,#N/A,B  
109,#N/A,A- ,B  
110,A  ,#N/A,B  
111,#N/A,A  ,A  
112,#N/A,A  ,B  
113,#N/A,A- ,#N/A
114,B- ,#N/A,#N/A
115,P  ,#N/A,P  
116,#N/A,B  ,#N/A
117,A  ,#N/A,#N/A
118,#N/A,A  ,A  
119,B  ,#N/A,B- 
120,A  ,#N/A,A  
121,#N/A,A  ,B+ 
122,#N/A,A- ,B  
123,B- ,#N/A,F  
124,B+ ,#N/A,#N/A
125,A  ,#N/A,#N/A
126,A- ,#N/A,B  
127,#N/A,A  ,A  
128,#N/A,#N/A,C  
129,#N/A,B- ,C  
130,B  ,#N/A,#N/A
131,B+ ,#N/A,A- 
132,#N/A,A  ,A  
133,#N/A,B  ,B- 
134,B  ,#N/A,C  
135,B  ,#N/A,B  
136,#N/A,A- ,B  
137,A  ,#N/A,A- 
138,#N/A,A  ,B  
139,A  ,#N/A,B  
140,A  ,#N/A,#N/A
141,#N/A,A  ,A+ 
142,#N/A,A- ,A  
143,#N/A,A  ,B+ 
144,B  ,#N/A,C  
145,#N/A,C- ,D  
146,S  ,#N/A,S  
147,#N/A,B- ,C  
148,#N/A,B  ,#N/A
149,#N/A,A- ,W  
150,B+ ,#N/A,#N/A
151,#N/A,#N/A,#N/A
152,#N/A,A- ,C  
153,#N/A,A  ,A  
154,#N/A,A+ ,A+ 
155,A  ,#N/A,C  
156,B+ ,#N/A,A  
157,A  ,#N/A,B  
158,A  ,#N/A,A  
159,B- ,#N/A,C  
160,A  ,#N/A,A  
161,#N/A,A- ,B+ 
162,B  ,#N/A,C  
163,#N/A,A  ,B  
164,B  ,#N/A,B  
165,#N/A,A  ,A- 
166,#N/A,B  ,C  
167,B  ,#N/A,#N/A
168,#N/A,C+ ,B  
169,A  ,#N/A,A  
170,A- ,#N/A,B- 
171,#N/A,#N/A,B  
172,A  ,#N/A,A  
173,C  ,#N/A,B  
174,C+ ,#N/A,#N/A
175,#N/A,A- ,B  
