PID,anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,reviewq1,reviewq2,reviewq3,reviewq4
A10650682,0,0,0,0.5,1,1,1,1,0.75,0.8,1,0.25,0.8,1,0,0.333333333
A09928052,1,0,1,1,1,0.5,0.75,0.5,0.75,0.8,1,0.5,1,0.8,1,0.5
A08811038,2,1,1,1,1,1,0.75,0.75,0.75,1,1,1,0.8,0.8,0.6,0.166666667
A10233570,3,0.83,0.75,0.75,0.5,1,1,0.75,1,1,1,0.75,0.8,0.4,0.8,0.5
A08614808,4,0.5,1,1,0.5,1,1,1,1,1,1,1,0,0,0,0
A11468765,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0.4,0.833333333
A09917209,6,0.67,1,1,0.75,0.75,1,0.5,0,1,1,1,0,0,0,0
A10137384,7,0.67,1,1,0.5,1,1,0.75,0.75,0.8,1,1,0.4,0,0,0.833333333
A10835969,8,1,1,1,1,1,1,0.75,1,0,1,1,0.8,0.2,0.4,0
A09921987,9,1,1,0.75,1,1,0.5,0.5,0,0.8,1,1,0.6,1,1,0.666666667
A11743217,10,1,1,1,0.75,1,0.75,0.75,1,1,1,1,1,1,1,1
A10746961,11,1,0.5,0.75,1,0,0.75,0.25,1,1,1,0.75,0.8,1,0.6,0.5
A10579241,12,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.8,0.666666667
A11497555,13,0.67,1,1,0.75,0,0.75,0,1,0.8,1,0.75,0.2,0,0.6,0
A10623663,14,1,1,1,1,1,1,0.5,1,1,1,1,0.8,1,0,0.833333333
A97039832,15,0.83,1,1,1,0,1,0,0,0,0,0,0.8,0.6,0,0
A11376724,16,1,1,1,1,1,1,1,0.5,1,1,1,1,1,0.8,0
A10491482,17,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.2,0.833333333
A11685249,18,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0.6,0.666666667
A10477195,19,1,1,0.25,0.5,0.75,1,0.5,0.75,0.6,1,0.75,0.8,1,0.4,0.5
A98070238,20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
A11003595,21,0.83,1,0.75,1,1,1,1,0.75,1,0.67,1,0,0.8,0.8,0.666666667
A10097081,22,0.67,0.5,1,0.5,0.75,0,0.75,1,0.6,1,0.5,1,0,0,0
A08882146,23,1,1,1,1,0.75,0,1,1,1,1,1,1,0.4,0.8,0.5
A11560435,24,1,1,1,1,0.75,1,0.5,0.75,1,1,1,0.8,0.8,0.8,0.5
A11432271,25,1,1,0.5,1,1,1,1,1,1,1,1,0.4,0.6,1,0.5
A11352266,26,1,1,1,1,0.75,1,0.5,0.75,0.6,1,1,0.8,1,1,0.666666667
A11611376,27,1,1,0.75,1,1,1,1,1,1,0.67,1,0.4,0,0.8,0.5
A09794786,28,1,1,0.75,1,0.75,1,0.5,1,1,1,1,1,1,0.6,0.333333333
A11628864,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333
A11550617,30,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,0,0
A98100314,31,1,1,1,1,1,1,0.5,1,0.8,1,0.75,1,0.8,0.8,0.666666667
A99026876,32,1,1,0.75,0.5,0.75,1,0.75,0,0.6,1,1,1,1,1,1
A98021667,33,0.83,1,1,0.75,1,1,0.75,0.5,0.8,1,1,1,0,0.6,0
A11280043,34,1,1,1,1,1,0.75,1,1,1,1,0.75,1,1,1,1
A98036753,35,1,1,1,0.75,1,1,1,0.5,0,1,1,1,1,0,0
A10776158,36,1,1,1,0.75,0,0.5,0.5,1,0.6,1,1,1,0.8,1,1
A10640713,37,1,0,1,1,0,1,0,1,1,1,1,1,0.8,1,0.666666667
A10689098,38,0.67,1,1,1,1,1,1,0,1,1,1,0.8,1,0.6,1
A09810097,39,1,1,0.75,1,1,1,0.75,1,1,1,1,0.8,1,0.6,1
A10885453,40,1,1,1,1,1,0,0.5,1,1,1,1,1,0.8,0.8,1
A11735473,41,0.67,0.75,1,1,1,1,0.75,1,1,1,1,1,0.8,0,0.333333333
A10932226,42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667
A99046005,43,1,1,1,1,1,1,1,0,1,1,1,0.6,0,0.2,0.166666667
A97047995,44,1,1,1,0.75,1,0.75,0.5,1,0.8,1,1,0.8,1,0.4,0.833333333
A09261790,45,0.67,0.75,1,1,1,1,0.25,0.75,0.8,1,1,0.8,0.8,1,0.833333333
A11231677,46,1,1,0.75,1,1,1,0.5,1,1,1,0.75,1,0.8,0.6,0.833333333
A11668720,47,1,0.75,1,1,1,1,0,1,1,0.67,1,0.8,0.8,0,1
A11152789,48,1,1,0.75,0.5,1,1,0.75,1,1,1,1,0.8,1,0.2,0.666666667
A10195265,49,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,1,0.5
A98107106,50,0.83,1,1,0.75,1,1,0.5,0.75,1,1,1,0.6,1,1,0.833333333
A09244911,51,1,1,1,1,1,1,1,1,0.8,1,0,0.8,0,0.8,0.833333333
A11661652,52,1,1,1,1,1,1,1,1,1,1,0.75,0.8,0.8,1,0
A11558343,53,1,1,1,1,1,1,1,1,1,1,1,0.8,0,0.6,1
A10569013,54,1,1,1,1,1,1,0.75,1,0.8,1,1,0.8,1,0.4,0.666666667
A10959737,55,1,1,1,1,1,1,0,1,0.8,1,1,1,0.8,0.8,0.666666667
A10899207,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5
A11442447,57,1,1,1,1,1,0.75,1,1,1,1,0.75,0.8,1,1,0.666666667
A09609322,58,0,1,1,0,1,1,0.75,1,1,1,1,0,0,1,0.5
A10927162,59,1,1,0.75,1,0.75,1,0.5,1,0,1,1,0,0,0.6,0.5
A99139432,60,1,0,1,0.75,1,1,1,1,0.8,1,1,0,0,0,1
A11401534,61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667
A10556765,62,1,0,0.75,1,1,0.75,0.75,0,0.8,1,0.75,0.8,0.8,0.2,0.833333333
A10986991,63,1,1,1,0.75,1,1,1,1,1,1,1,1,0.8,0.8,1
A10473398,64,1,1,0.75,0.75,1,1,0.75,1,0.6,1,1,0.8,1,0.8,0.833333333
A98017967,65,1,1,1,0,1,1,0.75,1,0,1,1,0.6,0.8,1,1
A11383604,66,1,1,1,0.5,1,1,0.75,1,0.8,1,0,1,0.8,1,1
A97055139,67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666667
A11642923,68,1,1,1,0.75,1,1,1,1,1,1,1,0.8,1,0.6,0.5
A99077333,69,1,1,1,1,1,0.75,0.5,0.75,1,1,1,0.4,0.8,1,0
A11340496,70,1,1,1,1,1,1,1,1,0,1,1,0,0.8,0,0.666666667
A98115705,71,0.83,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.5
A97067304,72,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1
A10571149,73,1,1,1,1,0.75,1,0.5,0.75,1,1,0.75,0.8,0.8,1,0.666666667
A99057476,74,1,1,1,1,1,0,0.75,1,1,1,1,0.8,0.6,1,0.666666667
A11742388,75,0.83,0,0.5,1,1,1,1,0,1,1,1,0.6,1,1,0
A11386926,76,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1
A10948224,77,1,1,1,1,1,1,0.75,1,1,1,1,1,0.6,1,0.666666667
A98046546,78,1,1,1,1,1,1,0.75,1,1,1,1,0.8,0.8,1,0.833333333
A10623138,79,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.8,0.833333333
A98100968,80,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.833333333
A10774358,81,1,1,1,1,1,1,1,1,0.8,1,0.5,1,0.6,1,0
A11687702,82,1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,0.6,0.666666667
A11139240,83,0,1,1,1,1,1,0.5,1,1,1,1,1,0.8,1,0.666666667
A11284177,84,1,1,0.75,1,1,1,0.5,1,1,1,1,0.4,0.6,1,0.5
A10670971,85,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
A09973152,86,1,0,1,0.5,1,1,1,1,1,1,1,0.8,1,1,0
A11503796,87,0.83,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.833333333
A11417808,88,1,1,0.75,1,1,1,0.5,1,1,1,1,0.8,1,0.8,0.833333333
A10715362,89,0,0,1,1,1,0,0.25,1,0.6,1,1,0.8,0,0.6,0.833333333
A97066176,90,1,1,1,0.75,1,1,0.75,1,1,1,0,1,1,0.8,0.833333333
A10076744,91,1,1,1,1,1,0,0,1,1,1,1,0.6,0,0.8,1
A10729760,92,1,1,0.25,1,1,1,1,1,1,1,1,0.4,0.8,0.8,0.833333333
A10060640,93,0.67,0.75,0.5,1,0.75,0.25,0.5,1,0.8,0,0,0.8,0,0.6,0.666666667
A10074307,94,1,0,1,0,1,0,1,0.75,1,1,1,0,0,1,0.833333333
A11419462,95,1,1,1,1,0.75,1,0.75,1,1,1,1,0.6,1,1,1
A11516451,96,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.833333333
A11666538,97,1,1,1,1,1,1,0,1,0.8,1,1,0.8,1,1,1
A11615596,98,1,1,1,1,1,1,1,1,0.8,1,1,1,1,0.4,0
A11637030,99,1,1,1,0.75,1,1,1,1,1,1,1,1,0.8,1,1
A99058608,100,1,1,1,0.5,0.75,1,0.5,1,1,1,1,0.8,0.6,1,0.5
A10089170,101,0.67,1,0.25,0.25,1,1,0.75,1,0,1,1,0,1,0,0.666666667
A11561296,102,1,1,1,1,1,1,1,1,1,1,0.75,0.8,0.8,1,0.666666667
A10164206,103,1,1,1,0.75,1,0.75,1,0.75,1,1,1,1,0.8,0,0.666666667
A98100246,104,1,1,1,0.75,0.75,1,1,1,1,1,1,1,0.6,0.8,0
A11627871,105,1,1,1,1,1,1,1,0,1,1,1,1,1,0.8,0.833333333
A10580707,106,1,0,0.25,0.5,1,1,0.5,1,0.6,1,0.5,1,1,0,0.833333333
A10550341,107,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1
A98064697,108,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.833333333
A09307269,109,1,1,1,1,1,1,0.5,1,1,1,1,0,0,0,0
A10884559,110,1,1,1,1,1,1,0,1,1,1,1,1,0.8,0.4,0.666666667
