pid,anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,reviewq1,reviewq2,reviewq3,reviewq4
A12097352,0,0.86,0,1,0,1,0.75,1,0,1,0.75,0,0.8,0.75,0.333333333,0.2
A99070381,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
A12025903,2,0,1,0,1,1,0.75,0.75,1,0,1,1,0,0,0,0
A99075158,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A11210284,4,1,1,1,1,0,1,1,1,1,1,0,1,0.5,0,0.6
A99073806,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,1
A10990552,6,1,1,1,0.75,1,0.75,1,1,1,1,1,0.8,0.5,0.5,1
A99005037,7,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0,1
A97005616,8,1,1,1,1,1,1,0.75,1,0.75,1,1,0.8,1,1,0.6
A11685402,9,1,1,1,0,1,0.75,0,1,1,1,0.75,1,0.75,0.666666667,0.8
A99072896,10,0.86,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1
A10878957,11,1,1,1,0.75,1,1,1,1,1,1,0.75,1,0.25,0.833333333,0.4
A98024674,12,0.86,0,0,0.75,1,0.5,0.75,0,0,0,0,0,0,0,0
A12096593,13,1,1,1,1,1,1,1,1,1,1,1,0.8,1,0.833333333,0.8
A12184176,14,1,1,1,0.75,1,1,0.75,1,0,1,0.75,0.8,0,1,0.6
A11487870,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
A11227742,16,1,1,1,1,1,0.75,1,1,1,1,0.75,0.6,0,0,0.8
A97089332,17,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.6
A10907717,18,1,1,1,0.5,1,0.75,1,1,1,1,1,0.6,0.5,0.5,0.6
A99011577,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A99034636,20,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.5,0.4
A11743642,21,0.71,1,1,0.75,1,0.75,1,0.75,0.75,1,1,0.8,0.75,0,0.8
A99045410,22,0.86,0,1,1,1,0,0.5,0.75,1,0.75,1,0.8,1,0.166666667,0.6
A11234954,23,1,1,1,1,1,1,1,1,0.75,0,0,1,1,0.833333333,0.2
A10478742,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A99022155,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A12077090,26,1,1,1,1,1,0.75,0.5,1,1,1,1,0.8,1,0.833333333,0.8
A91411608,27,1,1,1,1,1,0.5,1,0.75,1,1,0.75,0.6,0.25,0,0.8
A11511403,28,0.71,1,1,0.5,1,1,1,1,0,1,1,0.6,0.5,0.5,0.8
A11215837,29,1,1,1,1,1,0.25,1,1,1,0.75,1,0.8,1,0.666666667,1
A12333075,30,1,1,1,1,1,1,1,0.75,1,1,1,0.6,0.5,1,0.6
A12164074,31,1,1,1,1,1,0.75,1,0.75,1,1,1,1,1,0.833333333,0
A99053739,32,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,1
A99044844,33,0.86,1,1,1,1,1,1,1,1,0,1,1,0.75,0.833333333,0.6
A12070057,34,1,1,1,1,1,1,1,1,1,1,1,0.8,0.75,0.833333333,0.6
A11988867,35,1,1,1,1,1,1,1,1,1,1,1,1,0,0.833333333,0.8
A12384426,36,1,1,1,1,1,0.75,1,1,1,1,0.5,0.4,0.75,1,0.8
A11340292,37,0.86,1,1,0.75,1,1,0.5,1,0,0.75,1,0.8,0.5,0.666666667,0
A12017122,38,0.86,1,1,1,1,1,0.75,1,1,0,1,0.8,1,0.833333333,0.8
A11318049,39,0.86,0,1,1,1,1,1,0,1,0.75,0,0.8,1,0.833333333,0.6
A91097460,40,0.86,0,0.25,1,0,0,0,0,1,0,0,0,0.5,0.333333333,0.4
A11700687,41,0.86,1,1,1,1,0.75,1,1,0,1,1,1,1,1,0.8
A12244232,42,0.57,1,0,1,1,1,1,1,1,1,1,0.8,1,0.833333333,0.8
A10821659,43,1,1,1,0,1,0.5,0.5,0,1,0,0,0,0.5,0.666666667,0
A99000082,44,1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.833333333,0.8
A11645529,45,0.86,1,1,0,0,0.75,0.25,0,0,1,0,0.6,0,0,0
A12086281,46,1,1,1,1,1,1,0.75,1,1,1,1,0.8,1,1,0.6
A11662171,47,0.86,1,1,1,1,0.75,1,1,1,1,1,0.8,0.75,0.833333333,0.8
A10793663,48,0,1,1,1,1,1,1,1,1,1,1,0.8,0,0,0.6
A99128618,49,1,1,1,1,1,1,0.75,0.75,1,1,0.25,0.8,1,0,0.8
A10715126,50,1,1,1,1,1,0.75,1,1,1,1,1,0.8,1,0.666666667,0.6
A11257870,51,1,0,1,1,1,1,0.75,1,0.5,1,1,1,1,1,0.8
