anid,remote,a1,a2,a3,a4,a5,a6
199,#82A5B295,0.84,1,0.76,0.975,0.98,0.8
268,#8E6C0EEC,0.76,0.82,0.7,0.75,0.58,0.8
193,"['#08B848F8', '#8B848F8']",0.88,1,0.88,0.825,0.58,0.55
160,#8D984B5E,1,1,1,0.975,1,0.8
15,#8561997D,1,1,0.86,1,0.82,0.8
305,#851429B8,0.88,1,0.8,0.875,0.8,
280,#821ACE56,1,0.72,0.75,0.98,0.75,
224,#9991BEB6,0.68,1,0.94,0.925,0.92,0.8
122,#8D886762,0.96,1,1,0.875,0.96,1
13,#9A924F47,0.98,1,0.94,0.925,1,0.85
53,#34C39265,1,1,0.88,0.925,1,
267,#8627C667,0.78,1,0.94,0.875,0.92,0.9
334,#21FB70AA,0.68,0.68,0.44,0.575,0.08,0.5
275,#95791DF1,0.88,0.92,0.72,0.95,0.54,0.65
99,#860A28A4,0.84,1,0.94,0.925,0.82,0.45
271,#8398E8F3,0.66,1,0.88,0.975,0.92,0.9
32,#8E6AF216,0.94,1,1,0.975,0.98,0.95
150,#1E3D193A,0.96,1,0.86,0.75,0.82,0.85
298,#863CCE74,0.66,1,0.88,0.925,0.88,0.55
153,#9A8ADCCC,0.92,1,0.96,0.925,0.76,0.8
8,#8E85EEE5,0.94,1,0.92,0.75,1,0.85
236,#8FAD6A48,0.92,1,0.16,0.65,,
320,#8FAC3714,0.9,1,0.92,1,0.95,
85,#8B051C92,0.92,0.96,0.86,0.8,0.74,
262,#983302A9,0.84,1,0.98,0.85,0.64,0.85
25,#85A7C1E3,1,1,0.98,1,0.92,0.8
292,#83029B1A,0.78,0.82,0.82,0.55,0.8,0.6
56,#969F9099,0.92,0.9,1,1,0.78,0.95
176,#84726C9A,1,1,0.92,0.8,0.8,
1,#9F3C3D9E,1,1,0.9,1,1,1
326,#8E832A27,0.96,1,0.7,0.85,0.85,
168,#8FDADB8E,1,1,0.92,0.8,0.54,0.85
90,#8E1456CC,0.7,1,0.86,0.9,0.75,
146,#8428C569,0.78,0.78,0.84,0.925,0.8,
79,#8227DC79,0.76,1,0.92,0.925,0.88,1
163,#8629238C,0.9,0.84,0.96,0.925,0.74,0.7
126,#8AD94A19,1,0.96,0.86,1,0.76,
170,#862166C1,0.94,0.82,0.66,0.975,0.44,0.35
316,#8ED5DC87,0.94,1,0.84,0.8,0.34,0.8
57,#90DA3F75,1,1,0.82,0.9,0.94,0.95
318,#8FA84E69,0.82,0.9,0.84,0.575,0.275,
51,#910E47D8,0.9,1,0.84,0.95,0.98,0.65
291,#862CF953,0.82,1,0.98,0.875,0.95,
287,#846F42A9,0.58,0.94,0.94,0.8,0.94,0.85
50,#97C8025D,0.94,0.92,0.68,0.775,0.84,
247,#325892F8,0.82,0.9,0.2,0.55,0.06,0.2
238,#8DCAF4B3,0.74,1,0.52,0.675,0.95,
255,#84743ECE,0.74,0.92,0.78,0.95,0.62,0.5
44,#8E00119F,1,1,1,0.875,0.78,0.95
324,#8ACCF1B7,1,0.94,0.9,0.54,0.55,
233,#8FA2331E,0.66,1,0.7,0.375,0.44,0.55
222,#8211A033,0.76,0.92,0.7,0.825,0.76,0.8
207,#897748B6,0.64,0.9,0.7,0.62,0.3,
169,#82ED016E,0.92,0.96,0.3,0.825,0.96,0.95
221,#8613D045,1,0.84,0.925,0.64,0.6,
19,#8DFCC2B3,1,0.92,1,0.82,0.8,
156,#1DF7C42E,0.82,1,0.84,0.675,0.8,0.5
185,#8EC4703A,0.8,1,0.92,0.925,0.9,0.85
112,#85017CF8,0.9,0.96,0.92,0.975,0.72,0.8
128,#86219037,0.94,1,1,1,1,0.85
289,#8EBF0D3C,0.82,0.7,0.675,0.58,0.7,
304,#8A67B459,0.8,0.84,0.74,1,0.92,0.8
297,#8AF0205A,0.58,0.86,0.74,0.625,0.42,0.75
183,#8F7822D5,0.66,1,0.78,0.875,0.7,0.85
303,#84C40444,0.78,0.96,0.64,0.7,0.15,
186,#930E6CF1,0.96,1,0.88,0.725,0.94,0.9
281,#8E9D4A59,0.98,0.84,0.64,0.95,0.9,
60,#85CD8CC4,1,1,1,0.875,0.88,0.95
94,#911079F8,0.98,1,0.76,0.85,0.8,0.85
202,#97C8B4EB,0.78,0.66,0.78,0.725,0.76,0.55
65,#97CC1843,0.98,0.98,0.98,0.975,0.96,0.95
314,#8224F452,0.82,0.96,1,0.58,0.8,
144,#89CDA2E6,0.88,1,0.92,0.85,0.82,
219,#833C239C,0.84,1,0.98,0.775,0.8,0.95
145,#9155995D,0.94,1,1,0.8,0.8,0.85
114,#82E5F196,0.92,0.96,1,0.925,1,0.1
72,#8E99BCAB,1,1,1,0.975,1,0.8
325,#8EC2D995,0.96,1,0.94,1,1,0.95
52,#9AB2B39B,0.94,0.96,0.9,0.925,0.8,0.8
285,#8EE2305C,0.96,0.65,0.82,0.55,0.64,0.8
204,#85F30E78,0.84,0.84,0.96,0.925,0.84,0.8
70,#830443C4,0.78,0.96,0.92,0.825,0.96,0.95
283,#97400ED9,0.68,0.86,0.76,0.54,0.45,
172,#8F9BC6D2,1,0.98,0.96,0.975,0.96,0.95
215,#84309125,0.86,1,0.88,0.875,0.74,0.2
256,#83E6B5D0,0.9,1,0.9,0.46,0.8,
300,#8AB9FAC9,0.9,0.96,0.9,0.75,0.64,0.8
332,#8A789B69,0.9,0.64,0.7,0.675,0.25,
3,"['#0145CE8A', '#145CE8A']",0.96,0.96,0.96,1,0.84,0.8
249,#8E12E874,0.92,1,0.8,0.975,1,0.9
154,#9A2D0BBC,1,0.76,0.8,0.825,0.64,0.2
184,#982D5BEE,0.86,1,0.92,0.925,0.92,0.9
9,#84B52918,1,1,0.9,0.975,0.98,0.85
279,#83439555,0.64,0.96,0.52,0.28,0.65,
308,#8608EF61,0.76,0.96,0.62,0.5,,
96,#9A988F8D,0.8,0.76,0.88,0.78,0.75,
113,#85DB712F,0.96,0.96,0.86,0.925,0.54,0.7
31,#86373584,0.88,1,0.96,0.95,0.84,0.85
123,#982A79CB,0.86,0.92,0.84,0.975,0.88,
333,#82F8FC86,0.88,0.82,0.65,,,
58,#9D4F5785,0.96,1,1,0.975,0.74,0.9
82,#8E124BD7,0.96,0.9,0.74,0.425,0.7,0.8
174,#83424C8D,0.96,0.8,0.66,0.675,0.74,0.65
159,#8FAB6F4B,1,0.9,0.94,0.975,0.9,0.95
38,"['#010C111C', '#10C111C']",1,0.9,0.98,0.925,0.86,1
317,"['#0586E162', '#586E162']",0.8,1,0.86,0.8,0.86,0.8
24,#983D68CD,0.88,1,0.94,1,0.92,0.75
84,#9D6B689E,0.92,1,1,0.975,0.52,0.9
39,#9A4B9B4A,0.98,1,0.84,0.825,0.74,1
20,#9A8E3723,0.94,1,1,0.925,0.86,1
138,#8ECF3273,1,1,0.66,0.775,0.8,0.4
266,#8B140699,0.8,0.74,0.88,0.825,0.66,0.55
86,#1E707618,1,1,1,0.825,1,1
54,#8F80949B,0.86,1,0.9,0.975,0.9,0.75
242,#820E0488,0.92,0.78,0.96,0.8,1,0.9
105,#8FA67F56,0.98,0.94,0.88,0.54,0.95,
40,#8E14EC76,1,0.9,0.88,0.95,0.8,0.9
167,#9A5576B9,0.92,1,0.84,0.975,0.58,0.8
116,#8619B728,0.92,1,0.68,0.95,0.86,0.9
