qid,FA14a_ID,FA14b_ID,FA15_ID,FA16_ID,cans,VoteType,FA14_Correct,FA15_Correct,Topic
,,,,,,,,,
0,l01q1,l01q1,l01q2,l01q1,2,ind,74.324,86.76,1
,,,,,,,,,
1,l01q3,l01q3,l01q3,l01q3,1,ind,50,49.129,1
,,,,,,,,,
2,l01q4,l01q4,l01q4,l01q4,1,Group,58.108,58.537,1
,,,,,,,,,
3,l01q5,l01q5,l01q5,l01q5,3,ind,41.892,40.07,1
,,,,,,,,,
4,l01q6,l01q6,l01q6,l01q6,3,Group,62.162,61.672,1
,,,,,,,,,
5,l01q7,l01q7,l01q7,l01q7,2,ind,52.703,52.265,1
,,,,,,,,,
6,l01q9,l01q9,l01q8,l01q8,5,ind,10.811,6.62,1
,,,,,,,,,
7,l01q10,l01q10,l01q9,l01q9,5,Group,2.703,18.467,1
,,,,,,,,,
8,l01q11,l01q11,l01q10,l01q10,2,ind,52.703,32.056,1
,,,,,,,,,
9,l01q12,l01q13,l01q11,l02q2,3,ind,52.703,78.397,1
,,,,,,,,,
10,l02q1,l01q15,l01q12,l02q4,1,ind,30.769,61.324,1
,,,,,,,,,
11,l02q3,l02q1,l02q8,l02q5,5,ind,3.846,9.434,1
,,,,,,,,,
12,l02q4,l02q2,l02q9,l02q6,5,Group,15.385,28.616,1
,,,,,,,,,
13,l02q5,l02q3,l02q10,l02q7,4,ind,29.487,26.415,1
,,,,,,,,,
14,l02q6,l02q4,l02q11,l02q8,4,Group,43.59,34.906,1
,,,,,,,,,
15,l02q7,l02q5,l02q12,l02q9,3,ind,52.564,50.314,1
,,,,,,,,,
16,l02q8,l02q6,l02q13,l02q10,3,Group,57.692,63.522,1
,,,,,,,,,
17,l02q9,l02q7,l03q1,l02q11,2,ind,55.128,42.671,1
,,,,,,,,,
18,l02q10,l02q8,l03q2,l02q12,2,Group,62.821,53.746,1
,,,,,,,,,
19,l02q11,l02q9,l03q3,l02q13,1,ind,43.59,52.769,1
,,,,,,,,,
20,l02q12,l02q10,l03q4,l03q1,4,ind,34.615,36.808,1
,,,,,,,,,
21,l02q13,l02q11,l03q5,l03q2,4,Group,61.538,62.866,1
,,,,,,,,,
22,l02q14,l02q12,l03q6,l03q3,4,ind,74.359,74.267,1
,,,,,,,,,
23,l02q15,l02q13,l03q7,,4,Group,82.051,78.502,1
,,,,,,,,,
24,l03q1,l02q14,l03q8,l03q4,3,ind,39.759,57.003,1
,,,,,,,,,
25,l03q2,l02q15,l03q9,l03q5,3,Group,49.398,67.427,1
,,,,,,,,,
26,l03q3,l03q1,l03q10,l03q6,12,ind,43.373,63.844,1
,,,,,,,,,
27,l03q4,l03q2,l03q11,,12,Group,26.506,67.752,1
,,,,,,,,,
28,l03q5,l03q3,l02q1,l03q7,4,ind,27.711,27.358,1
,,,,,,,,,
29,l03q6,l03q4,l02q2,l03q8,4,Group,66.265,67.61,1
,,,,,,,,,
30,l03q7,l03q5,l02q3,l03q9,1,ind,69.88,77.358,1
,,,,,,,,,
31,l03q8,l03q6,l02q4,l03q10,1,Group,65.06,80.503,1
,,,,,,,,,
32,l03q9,l03q7,l02q5,,5,ind,13.253,13.522,1
,,,,,,,,,
33,l03q10,l03q8,l02q6,,5,Group,34.94,26.415,1
,,,,,,,,,
34,l03q11,l03q11,l03q12,l04q2,4,ind,60.241,58.306,2
,,,,,,,,,
35,l03q12,l03q12,l03q13,l04q3,4,Group,83.133,79.805,2
,,,,,,,,,
36,l04q2,l03q13,l03q14,l04q4,3,ind,59.14,49.837,2
,,,,,,,,,
37,,,l03q15,l04q5,3,Group,0,0,2
,,,,,,,,,
38,l04q3,l04q1,l03q16,l04q6,2,ind,22.581,28.013,2
,,,,,,,,,
39,l04q4,l04q2,l03q17,l04q7,2,Group,16.129,27.687,2
,,,,,,,,,
40,l04q5,l04q3,l04q1,l04q8,2,ind,54.839,41.29,2
,,,,,,,,,
41,l04q6,l04q4,l04q2,,2,Group,75.269,48.065,2
,,,,,,,,,
42,l04q7,l04q5,l04q3,l04q9,3,ind,23.656,20,2
,,,,,,,,,
43,l04q8,l04q6,l04q4,l04q10,3,Group,24.731,20.645,2
,,,,,,,,,
44,l04q9,l04q7,l04q5,l04q11,4,ind,74.194,58.387,2
,,,,,,,,,
45,l04q10,l04q8,l04q6,,4,Group,73.118,65.484,2
,,,,,,,,,
46,l04q11,l04q9,l04q7,l04q12,5,ind,17.204,15.806,2
,,,,,,,,,
47,l04q12,l04q10,l04q8,l04q13,5,Group,30.108,26.774,2
,,,,,,,,,
48,l04q13,l04q11,l04q9,l04q14,2,ind,66.667,64.516,2
,,,,,,,,,
49,l04q14,l04q12,l04q10,,2,Group,79.57,83.226,2
,,,,,,,,,
50,,,l05q1,l05q2,2,ind,0,0,3
,,,,,,,,,
51,,,l05q2,l05q3,2,Group,0,0,3
,,,,,,,,,
52,,,l05q3,l05q4,4,ind,0,0,3
,,,,,,,,,
53,,,l05q4,l05q5,4,Group,0,0,3
,,,,,,,,,
54,,,l05q5,l05q6,4,ind,0,0,3
,,,,,,,,,
55,,,l05q6,l05q7,4,Group,0,0,3
,,,,,,,,,
56,,,l05q7,l05q8,2,ind,0,0,3
,,,,,,,,,
57,,,l05q9,l05q9,3,ind,0,0,3
,,,,,,,,,
58,,,l05q12,l05q10,2,ind,0,0,3
,,,,,,,,,
59,,,l05q15,l06q1,1,ind,0,0,4
,,,,,,,,,
60,,,l05q16,l06q2,1,Group,0,0,4
,,,,,,,,,
61,,,l06q1,l06q3,3,ind,0,0,4
,,,,,,,,,
62,,,l06q2,l06q4,3,Group,0,0,4
,,,,,,,,,
63,,,l06q3,l06q5,5,ind,0,0,4
,,,,,,,,,
64,,,l06q4,l06q6,5,Group,0,0,4
,,,,,,,,,
65,,,l06q5,l06q7,3,ind,0,0,4
,,,,,,,,,
66,,,l06q6,l06q8,3,Group,0,0,4
,,,,,,,,,
67,,,l06q7,l07q2,2,ind,0,0,4
,,,,,,,,,
68,,,l06q8,l07q3,2,Group,0,0,4
,,,,,,,,,
69,,,l06q9,l07q4,1,ind,0,0,4
,,,,,,,,,
70,,,l06q11,l07q5,4,ind,0,0,4
