remote,exam_total,pid,anid,l01q1,l01q2,l01q3,l01q4,l01q5,l01q6,l01q7,l01q8,l01q9,l01q10,l02q1,l02q2,l02q3,l02q4,l02q5,l02q6,l02q7,l02q8,l02q9,l02q10,l02q11,l02q12,l02q13,l03q1,l03q2,l03q3,l03q4,l03q5,l03q6,l03q7,l03q8,l03q9,l03q10,l04q1,l04q2,l04q3,l04q4,l04q5,l04q6,l04q7,l04q8,l04q9,l04q10,l04q11,l04q12,l04q13,l04q14,l05q1,l05q2,l05q3,l05q4,l05q5,l05q6,l05q7,l05q8,l05q9,l05q10,l06q1,l06q2,l06q3,l06q4,l06q5,l06q6,l06q7,l06q8,l07q1,l07q2,l07q3,l07q4,l07q5,l07q6,l07q7,l07q8,l07q9,l07q10,l07q11,l07q12,l07q13,l07q14,l07q15,l07q16,l07q17,l08q1,l08q2,l08q3,l08q4,l09q1,l09q2,l09q3,l09q4,l09q5,l09q6,l09q7,l09q8,l09q9,l10q1,l10q2,l10q3,l10q4,l10q5,l10q6,l10q7,l10q8,l11q1,l11q2,l11q3,l11q4,l11q5,l11q6,l11q7,l11q8,l12q1,l12q2,l12q3,l12q4,l12q5,l12q6,l12q7,l12q8,l12q9,l12q10,l12q11,l13q1,l13q2,l13q3,l13q4,l13q5,l13q6,l13q7,l14q1,l14q2,l14q3,l14q4,l14q5,l14q6,l14q7,l15q1,l15q2,l15q3,l15q4,l15q5,l15q6,l15q7,l16q1,l16q2,l16q3,l16q4,l16q5,l16q6,l16q7,l16q8,l16q9,l17q1,l17q2,l17q3,l17q4,l17q5,l17q6,l17q7,l17q8,l17q9
"['#06E851BF', '#6E851BF']",76,A11472230,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,2,3,4,4,3,3,1,2,1,5,4,4,3,3,2,2,4,2,2,NA,4,4,3,3,1,1,2,2,2,4,4,4,2,1,2,2,3,5,2,4,2,3,1,1,1,2,3,1,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,2,3,3,4,4,2,3,3,3,2,5,2,2,1,NA,2,3,4,3,2,2,NA,1,2,2,5,5,5,NA,4,5,3,3,3,3,2,4,2,2,2,2,3,3,1,3,3
"['#0E91CC53', '#E91CC53']",83,A11975524,5,2,2,1,1,3,3,2,3,3,1,1,3,3,1,3,3,4,4,2,4,2,2,1,4,4,4,3,3,2,4,4,1,1,5,4,4,3,3,2,2,2,2,3,4,3,3,2,1,1,1,4,4,4,4,2,4,2,4,4,3,3,4,5,4,4,1,2,2,1,4,3,1,1,2,4,2,2,2,4,4,1,1,4,4,2,2,1,5,3,3,2,2,2,3,3,3,2,1,1,3,3,3,3,3,3,3,3,2,1,3,3,1,2,2,2,2,1,2,4,3,5,4,3,3,2,2,1,1,2,3,4,4,4,2,4,2,1,1,2,2,4,5,5,2,1,5,3,3,1,2,3,3,3,3,4,1,3,4,4,2,3
"['#830240C1', '#88333C87']",68.5,A12175183,81,2,2,1,1,2,2,3,1,1,2,1,4,3,3,3,3,5,5,2,3,2,4,3,4,4,4,3,3,1,4,4,3,3,4,4,4,5,3,1,1,5,3,2,5,4,4,2,NA,3,3,2,4,4,4,5,3,1,4,1,2,3,3,NA,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,2,4,4,5,1,4,4,NA,1,1,1,5,5,4,3,5,1,3,2,4,1,3,1,1,3,3,2,1,4,1,3,5,2,1,1,1,1,2,2,2,2,3,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,5,2,1,4,1,3,3,NA,1,1,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,1,4,1,1,2,2
"['#83B73B0F', '#9A45F02F']",46,A12395158,219,2,2,4,1,3,3,5,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,3,3,1,4,4,5,5,4,1,4,3,5,1,1,2,2,2,4,4,4,2,NA,3,3,3,3,2,1,4,3,1,4,4,4,3,4,4,5,5,1,3,1,1,4,3,1,1,1,2,2,2,1,2,2,2,1,1,1,2,4,4,5,2,1,2,3,3,3,3,1,1,3,3,2,2,3,3,4,3,3,5,2,1,3,3,1,3,3,2,2,4,4,3,3,3,2,2,2,1,1,1,2,4,4,3,2,1,2,3,3,1,1,1,1,4,5,3,2,2,5,2,3,NA,3,1,1,5,3,1,2,3,2,3,2,5
"['#97C30054', '#A24CBF51']",44.5,A98100291,254,NA,NA,NA,NA,NA,NA,NA,3,3,2,NA,NA,NA,NA,3,3,3,3,4,3,2,2,1,4,4,4,3,3,2,5,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,2,2,4,4,NA,NA,NA,NA,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['#A02B48C3', '#915C5D90']",68,A91013829,94,2,2,1,1,3,3,2,3,3,1,1,3,3,1,1,1,4,4,4,4,1,3,1,4,5,4,3,3,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,2,4,NA,4,3,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,3,3,3,3,5,5,1,1,2,2,3,1,2,2,3,4,3,1,1,2,2,1,2,1,1,1,1,1,2,2,1,4,1,1,2,1,1,1,1,2,3,2,1,1,3,3,3,2,4,3,3,2,2,4,4,3,1,1,4,4
"['#A595B080', '#97C53567']",64,A07342230,156,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,3,NA,1,2,2,2,3,4,3,5,2,1,4,5,4,NA,2,4,NA,3,1,3,3,3,NA,1,4,4,4,2,3,2,1,4,3,1,1,5,2,2,3,1,4,NA,1,NA,4,4,2,2,5,3,2,3,2,3,2,4,4,2,1,3,NA,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,2,2,2,2,3,3,4,4,2,2,1,2,1,1,2,2,2,4,4,2,NA,2,2,1,4,1,NA,2,5,4,4,5,3,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"['#A5B04356', '#9ACB7F2E']",70.5,A12147973,75,2,2,2,1,5,3,2,2,3,2,1,3,3,5,5,3,4,4,3,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,4,2,3,1,2,2,4,3,4,3,3,2,1,2,2,4,4,4,4,2,5,2,2,1,3,NA,4,5,4,3,3,1,2,1,4,3,1,1,5,2,NA,2,5,4,4,2,2,2,4,1,2,5,3,4,3,2,2,2,2,4,3,1,5,1,1,4,3,5,3,3,4,5,2,1,3,3,1,2,2,2,2,4,2,4,4,2,3,3,2,3,3,1,5,5,2,2,1,1,4,4,3,NA,5,1,1,2,4,5,5,5,5,2,2,3,4,3,3,4,4,2,4,3,5,4,1,1
#111CEDE,0,A09341959,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#21FB70AA,54,A11377510,236,2,2,3,1,1,4,3,3,3,1,1,2,3,2,3,3,1,5,4,4,1,2,1,4,2,2,3,3,1,4,4,3,1,1,4,4,4,3,2,2,4,4,2,4,5,5,2,1,3,3,2,1,2,4,5,1,1,NA,NA,NA,NA,3,3,1,3,NA,NA,NA,NA,2,3,1,2,3,2,5,2,2,4,4,4,1,5,2,2,2,3,3,4,1,2,5,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,2,1,1,2,2,2,2,2,3,3,4,2,1,3,3,3,3,3,4,1,1,1,3,4,4,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,4,1,1,4,3
#820AFE76,23,A97059807,262,2,2,1,NA,2,5,5,3,3,2,NA,3,3,5,1,3,4,2,2,3,3,2,5,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,4,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#8289979C,64,A12450691,209,3,2,1,1,4,3,3,3,3,2,1,3,3,5,3,3,2,1,3,3,3,3,4,3,4,4,4,1,4,1,1,1,1,1,4,4,2,2,1,NA,4,4,4,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,4,4,1,1,1,1,1,2,2,4,4,3,3,3,4,1,1,3,4,4,4,2,2,3,1,3,3,3,5,2,1,1,2,4,1,1,1,1,1,1,2,2,2,2,3,3,5,5,2,5,3,3,3,1,2,2,2,3,4,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,2,4,4,1,1,3,1,1,1,1,4,4,2,1,1,5,2,2,3,3,4,4,NA,3,2,2,2,3,3,3,2
