anid,remote,midterm
199,#82A5B295,0.552
268,#8E6C0EEC,0.634
193,"['#08B848F8', '#8B848F8']",0.739
160,#8D984B5E,0.724
15,#8561997D,0.664
305,#851429B8,0.649
280,#821ACE56,0.463
224,#9991BEB6,0.53
122,#8D886762,0.701
13,#9A924F47,0.91
53,#34C39265,0.799
267,#8627C667,0.522
334,#21FB70AA,0.366
275,#95791DF1,0.687
99,#860A28A4,0.716
271,#8398E8F3,0.448
32,#8E6AF216,0.873
150,#1E3D193A,0.575
298,#863CCE74,0.56
153,#9A8ADCCC,0.619
8,#8E85EEE5,0.821
236,#8FAD6A48,0.694
320,#8FAC3714,0.463
85,#8B051C92,0.851
262,#983302A9,0.47
25,#85A7C1E3,0.851
292,#83029B1A,0.612
56,#969F9099,0.858
176,#84726C9A,0.634
1,#9F3C3D9E,0.896
326,#8E832A27,0.53
168,#8FDADB8E,0.687
90,#8E1456CC,0.567
146,#8428C569,0.649
79,#8227DC79,0.701
163,#8629238C,0.672
126,#8AD94A19,0.731
170,#862166C1,0.642
316,#8ED5DC87,0.53
57,#90DA3F75,0.657
318,#8FA84E69,0.687
51,#910E47D8,0.754
291,#862CF953,0.552
287,#846F42A9,0.507
50,#97C8025D,0.769
247,#325892F8,0.709
238,#8DCAF4B3,0.582
255,#84743ECE,0.545
44,#8E00119F,0.724
324,#8ACCF1B7,0.612
233,#8FA2331E,0.567
222,#8211A033,0.597
207,#897748B6,0.761
169,#82ED016E,0.493
221,#8613D045,0.687
19,#8DFCC2B3,0.843
156,#1DF7C42E,0.604
185,#8EC4703A,0.687
112,#85017CF8,0.746
128,#86219037,0.687
289,#8EBF0D3C,0.545
304,#8A67B459,0.47
297,#8AF0205A,0.53
183,#8F7822D5,0.612
303,#84C40444,0.582
186,#930E6CF1,0.657
281,#8E9D4A59,0.5
60,#85CD8CC4,0.731
94,#911079F8,0.701
202,#97C8B4EB,0.784
65,#97CC1843,0.828
314,#8224F452,0.515
144,#89CDA2E6,0.836
219,#833C239C,0.493
145,#9155995D,0.701
114,#82E5F196,0.769
72,#8E99BCAB,0.694
325,#8EC2D995,0.366
52,#9AB2B39B,0.851
285,#8EE2305C,0.552
204,#85F30E78,0.672
70,#830443C4,0.866
283,#97400ED9,0.552
172,#8F9BC6D2,0.694
215,#84309125,0.746
256,#83E6B5D0,0.679
300,#8AB9FAC9,0.47
332,#8A789B69,0.5
3,"['#0145CE8A', '#145CE8A']",0.866
249,#8E12E874,0.53
154,#9A2D0BBC,0.821
184,#982D5BEE,0.53
9,#84B52918,0.91
279,#83439555,0.552
308,#8608EF61,0.44
96,#9A988F8D,0.731
113,#85DB712F,0.634
31,#86373584,0.881
123,#982A79CB,0.716
333,#82F8FC86,
58,#9D4F5785,0.701
82,#8E124BD7,0.888
174,#83424C8D,0.709
159,#8FAB6F4B,0.709
38,"['#010C111C', '#10C111C']",0.851
317,"['#0586E162', '#586E162']",0.478
24,#983D68CD,0.821
84,#9D6B689E,0.731
39,#9A4B9B4A,0.903
20,#9A8E3723,0.761
138,#8ECF3273,0.724
266,#8B140699,0.597
86,#1E707618,0.784
54,#8F80949B,0.828
242,#820E0488,0.507
105,#8FA67F56,0.873
40,#8E14EC76,0.776
167,#9A5576B9,0.701
116,#8619B728,0.813
228,#85C67E3D,0.724
210,#85A77D5F,0.567
77,#91524E8D,0.813
30,#9A97E2EF,0.739
181,#8EB3C4F9,0.687
101,#9A99E5E6,0.731
107,#867A7985,0.687
46,#963504A7,0.91
263,#8E76A159,0.358
253,#8E6FF716,0.739
270,#8A01CB40,0.597
152,#8FB7B088,0.627
229,#8A2343EA,0.754
142,#86E40664,0.761
133,#9A9B8081,0.575
14,"['#8F2100AE', '#898FB5B3']",0.791
7,#89C86B2A,0.739
240,#826C42AC,0.41
198,#8B3A1BAA,0.619
104,#8470D024,0.739
241,#853EF249,0.634
67,#855D66BE,0.836
265,#82F23A4A,0.59
121,#82AD3817,0.642
26,#8FA2624F,0.694
148,#97C8F7A8,0.575
12,#8E94F0EA,0.754
205,#8E032AA7,0.634
49,#8A2CA107,0.858
223,#98304EE6,0.619
41,#858D727A,0.716
251,"['#005CD985', '#05CD985']",0.649
111,#974816C9,0.567
119,#84712EDB,0.739
191,#3A62CB93,0.642
37,#847C9B63,0.776
246,#85B5E7D7,0.522
17,#930E61FC,0.843
235,#8549CD01,0.642
217,#8DD1570B,0.552
