anid,cse30,cse140,cse140l
0,A  ,A- ,A+ 
1,B+ ,A- ,C  
2,#N/A,A  ,A  
3,A  ,A  ,B+ 
4,B  ,B- ,A  
5,B+ ,B+ ,C  
6,#N/A,#N/A,#N/A
7,B+ ,A+ ,B+ 
8,#N/A,A+ ,B  
9,#N/A,A  ,A  
10,A  ,A  ,B  
11,#N/A,A+ ,A+ 
12,A  ,A  ,A  
13,B+ ,A+ ,A- 
14,A  ,A  ,A  
15,A  ,A  ,B  
16,B- ,B+ ,A- 
17,C+ ,A  ,A- 
18,A  ,B+ ,A- 
19,A+ ,A+ ,B  
20,A  ,C  ,B+ 
21,A  ,A  ,D  
22,C+ ,B- ,B  
23,C+ ,A  ,C+ 
24,#N/A,A  ,B- 
25,C- ,A- ,D  
26,#N/A,B+ ,B  
27,C+ ,B+ ,B+ 
28,A+ ,A  ,A+ 
29,#N/A,A  ,B+ 
30,B  ,A  ,A- 
31,A- ,C+ ,B+ 
32,B  ,A  ,D  
33,C+ ,A  ,B- 
34,#N/A,#N/A,#N/A
35,B+ ,B  ,B- 
36,A  ,B  ,A  
37,A  ,A  ,B  
38,C+ ,A+ ,C  
39,A- ,C- ,B  
40,B  ,B  ,A- 
41,C+ ,B+ ,B  
42,C  ,C+ ,B  
43,A  ,A+ ,B+ 
44,A  ,A  ,B  
45,#N/A,A  ,A- 
46,B- ,B- ,C  
47,C  ,A- ,C+ 
48,#N/A,B+ ,C  
49,A- ,A  ,B  
50,A- ,B  ,A  
51,B  ,C  ,C  
52,C- ,B- ,C+ 
53,C+ ,C+ ,B  
54,#N/A,#N/A,#N/A
55,A- ,A- ,A  
56,C  ,B- ,C  
57,B- ,C- ,D  
58,C  ,D  ,C  
59,B- ,A  ,C  
60,C  ,C  ,C- 
61,B- ,B+ ,C- 
62,C+ ,A  ,B  
63,D  ,D  ,B  
64,B- ,A  ,C- 
65,B- ,A  ,B  
66,B- ,B- ,B  
67,A- ,A  ,B+ 
68,#N/A,B- ,F  
69,B  ,C  ,C  
70,A  ,A  ,B  
71,B  ,B+ ,A- 
72,#N/A,A- ,A  
73,B+ ,C  ,C  
74,B  ,B+ ,C  
75,#N/A,A- ,B  
76,#N/A,A  ,C  
77,C  ,C+ ,D  
78,#N/A,B  ,C+ 
79,B+ ,B- ,A  
80,#N/A,C  ,C- 
81,B  ,A- ,A  
82,#N/A,#N/A,#N/A
83,D  ,B  ,B  
