anid,cse30,cse140,cse140l
0,A,A+,A-
1,A-,A,A
2,A,A,A
3,A,A,A
4,A+,A+,A
5,A+,A,A
6,A,A+,A
7,,,
8,A-,A,A-
9,A+,A+,A
10,B+,A+,A
11,A+,A,A
12,A-,A,A
13,,,
14,B+,A,A
15,A-,B+,A
16,A-,B-,A
17,A,B+,A-
18,,,
19,A,A+,A
20,A,A+,A
21,A,A+,A
22,A,A-,A
23,A,A+,A-
24,B,B-,A
25,B,C+,A
26,A+,A,A+
27,A,A+,A
28,,,
29,A,A-,A+
30,A+,B,A-
31,A,B+,A-
32,A,A,A
33,A,A+,A
34,A,A,A
35,A,A,A
36,A,A,A
37,A,B+,A
38,C-,B-,B+
39,A-,A-,A
40,A,A,A
41,A,A,A
42,A+,A+,A
43,A,B+,A
44,A,A+,A
45,A-,A-,A
46,A,A+,A+
47,,A,A
48,,A,A-
49,A,A,A-
50,A-,C,B+
51,A-,B,A-
52,B+,A-,A
53,A-,B,B
54,A-,A-,A
55,A,B+,A
56,A,B-,A
57,A,A-,B
58,A,A-,A
59,C,B+,A
60,A,B+,A
61,B+,A-,A
62,A,A,A
63,A+,A,A
64,B+,A,A-
65,B,B,B+
66,A,A-,A
67,A,A-,A
68,B+,A-,A
69,A,A,A
70,A-,A,A
71,A,A+,A+
72,A,A,A
73,B+,B+,A-
74,B-,A-,A
75,A-,B,B
76,A-,A,B+
77,B,B+,A
78,B+,A-,A
79,A-,B-,A-
80,,,
81,A-,C+,A
82,C+,A-,A-
83,B+,A-,B
84,A,A,A-
85,,A+,A
86,A,A,A-
87,A-,A,A
88,B+,B-,B
89,A,A-,A
90,B+,A-,A
91,A,A+,A
92,C+,B-,A
93,B+,B+,A
94,A,A,A
95,A-,A,A
96,B+,B+,A-
97,A-,B,B+
98,A+,A-,A-
99,C+,B+,A-
100,A-,A,A
101,C+,B-,B+
102,,B+,A-
103,A,A,A
104,A,B+,A
105,,B-,A-
106,,B,A
107,A-,A,A
108,B,A-,A
109,A,A+,A-
110,C+,B+,A
111,B+,B,B+
112,C-,B+,B+
113,A,A,A-
114,B,A-,A
115,,A-,A
116,A,A-,A
117,A,A,A
118,A,A+,A
119,,A,A+
120,A-,B+,A
121,A,B+,B+
122,,A,A
123,A,A,A-
124,A,B+,A
125,C,C,B+
126,A-,B,A
127,B,A-,A-
128,B,B,A-
129,C-,C,B
130,A-,B+,A
131,A,B+,A-
132,A,B-,A-
133,B+,B+,B+
134,B,A,A
135,B+,B,B+
136,A-,B,A
137,,,
138,,B,A-
139,C,B-,A
140,A-,B+,A
141,A-,B,A
142,A,A-,A-
143,B,B-,A
144,A,B,A
145,C+,B-,A
146,A,A,A
147,A+,A,B
148,A,A,A
149,A,A,A
150,B-,A,A-
151,A-,A-,A
152,B,A+,A
153,B+,A+,A-
154,B+,B+,B
155,B+,C+,A-
156,,,
157,A,B,A
158,B,B+,A
159,A,,A
160,B+,B-,A-
161,A+,A-,A
162,A-,B,B
163,B+,B,B
164,A,B,A
165,B-,B,A-
166,C+,C,B
167,A-,A-,A
168,B,A-,A
169,B+,B+,A
170,C+,A-,A
171,B+,C,B+
172,A-,C+,A
173,A-,B,C
174,B,A+,A
175,A-,B-,A
176,B+,B,A
177,B-,B,B+
178,A,A,A
179,B,B,A-
180,C-,B,A
181,A,A-,B
182,,B+,B
183,B,B+,B
184,A,B+,A
185,A-,A,A
186,B,B,A-
187,A,A,A-
188,B-,C+,B+
189,A,B+,A
190,A-,C+,A-
191,A,B,A
192,B+,A-,A
193,,C+,A-
194,B-,C,A-
195,A-,B-,B
196,B-,C+,A+
197,B+,C,B
198,B+,A,A
199,B-,B,B
200,B+,B+,A
201,A-,A,A
202,A-,B+,A-
203,C+,C-,B+
204,B-,C-,B
205,C+,B,B
206,B,C+,A
207,B,B,A-
208,B,A,A-
209,,C,B
210,B-,C,B-
211,B-,C+,C
212,C+,C,B
213,A,B-,B+
214,B,A-,A
215,C+,B+,B
216,B-,A-,B
217,C,C-,A
218,B,B,B+
219,B-,B,B+
220,C,C-,B
221,A,B-,B+
222,C+,C-,A
223,B,B,B+
224,D,D,B
225,B-,B,A-
226,B,B,B
227,P,A-,A-
228,A-,A-,B
229,C,C,A-
230,B-,C+,B
231,D,C+,B
232,C-,B-,B
233,C,A,B
234,B-,A,B+
235,C+,B-,A
236,B-,B,A
237,B-,B+,B+
238,B,C,A-
239,W,B,B-
240,B,C+,A-
241,B+,C,A-
242,B-,B,B
243,A-,C,B
244,B,B,A
245,B-,B-,A-
246,B+,A-,B+
247,A-,C-,C-
248,,A-,A+
249,,C,A-
250,B,B-,A-
251,B,A-,A
252,C,C-,B-
253,B-,C,B+
254,C-,B,A-
255,B+,B+,B
256,B-,B,B
257,C+,D,B-
258,B,A+,A
259,,C-,B
260,C,B,A
261,C-,B,A-
262,D,C-,B-
263,B,A-,A
264,C-,C-,B-
265,B,C+,B
