anid,remote,a0,a1,a2,a3,a4,a5,a6,a7,a8
344,#968FE4FD,1,1,1,1,1,1,1,0.9,0.95
0,#9AB05E74,1,1,1,1,1,0.95,1,0.75,0.875
346,#88333C87,1,1,0.975,1,1,0.95,1,0.875,0.95
347,#9A2376CF,0.6,0.8,1,1,1,0.95,0.825,0.825,0.96
340,#9A7618F4,0.9,1,0.99,1,0.97,0.9,0.95,0.875,0.955
341,#9A74F816,1,0.9,0.95,0.95,1,1,0.875,0.8,0.925
342,#9AC4B2EC,1,1,0.975,1,0.825,0.9,1,0.85,0.93
343,#9996F2FD,1,1,0.94,0.95,0.85,0.95,0.9,0.75,0.905
348,#965EFC34,0.9,1,1,0.95,0.9,0.975,0.95,0.65,0.805
349,#9A8DBEA9,1,1,0.925,0.9,1,0.85,0.975,0.825,0.85
298,#86072FAE,1,0.9,0.95,0.95,0.95,0.9,0.9,0.925,0.8
299,#822BD57C,1,0.9,0.95,1,1,0.975,1,0.95,0.885
296,#9A7D6285,1,1,0.9,1,0.85,0.85,0.925,0.9,0.96
297,#9A1833B1,1,0.95,0.875,0.95,0.95,1,1,0.95,0.915
294,#9AA3370E,1,1,0.975,0.95,0.75,0.95,0.875,0.8,0.895
295,#895F12C4,1,0.9,0.725,0.9,0.95,0.85,0.925,0.875,
292,#8E8C787A,1,1,0.81,0.95,0.95,1,0.975,0.8,0.87
293,#898C4C49,1,0.9,0.9,1,0.95,0.85,0.975,0.875,0.875
290,#8ED1227D,0.9,0.8,0.775,0.9,1,1,0.9,0.85,0.975
291,#9A3767CA,1,1,1,1,0.95,1,1,0.9,0.95
191,#951DEF67,0.7,1,1,1,0.9,1,0.9,0.875,0.89
190,#9A2251E9,0.85,1,1,1,0.95,1,0.825,0.9,0.865
193,#9AA61824,1,1,1,1,1,1,1,0.9,0.92
192,"['#8E58F721', '#9A8A7767']",1,1,0.89,0.95,0.75,0.95,1,0.775,0.95
270,#88BB97A4,1,1,0.9,1,0.95,1,0.95,0.9,0.93
271,#96E0E99F,1,1,0.975,0.95,0.95,0.9,1,0.55,0.765
272,#9A91ECE7,0.1,1,1,1,0.95,0.975,1,0.875,0.955
273,#975A2BE6,1,1,1,1,1,0.95,0.95,0.95,0.975
274,#885A3EEC,1,1,1,1,1,0.95,0.95,0.975,0.87
275,#8EED294A,1,1,0.95,1,1,0.9,0.975,0.625,0.83
276,#9167C731,1,1,1,1,0.75,0.95,0.825,0.8,0.96
277,#9A49F221,1,1,1,1,0.9,1,0.9,0.825,0.985
278,#92AC7A44,1,1,1,0.95,0.875,0.85,0.925,0.625,0.985
279,#9AAE281C,1,1,0.96,0.95,0.75,1,0.95,0.65,0.96
108,#915CCB06,1,0.9,0.975,1,0.95,0.95,0.975,0.575,0.875
109,#9A7D0AED,1,0.95,0.925,1,0.875,0.9,,0.775,0.855
102,#96D6E3A3,1,0.8,0.975,1,0.95,0.875,0.825,0.925,0.895
103,#9AD6064A,0.9,0.8,1,0.9,0.8,0.75,0.875,0.725,0.905
100,#85CE86CD,1,1,0.975,1,1,0.95,0.925,0.8,0.75
101,#822951FA,0.85,1,0.735,0.95,0.95,0.9,0.9,0.9,0.8
106,#97C9D886,1,0.95,0.825,0.95,0.575,0.95,0.95,0.8,0.89
107,#95D71654,1,0.95,0.95,1,0.95,1,1,0.85,0.93
104,#97C83D62,0.9,0.9,0.815,0.95,0.95,0,0.9,0.775,1
105,#905FF03F,1,1,1,0.95,0.8,0.9,0.95,0.825,0.915
39,#915130F0,1,0.95,1,0.95,0.98,1,1,0.95,1
38,#9ACBCA9B,0.9,0.75,0.925,1,0.85,1,0.925,1,0.15
33,#9A80544E,1,0.9,0.9,1,0.7,0.95,0.95,0.7,0
32,#9A281DAF,1,0.9,0.95,0.8,1,0.95,0.925,0.875,0.915
31,#914765B3,1,0.9,1,0.95,0.9,0.875,0.975,0.725,0.875
30,#8EE1345B,1,1,0.89,1,0.9,0.925,0.95,0.9,0.865
37,#9A202A90,1,1,0.875,1,0.95,1,1,0.775,0.93
36,#862E9830,1,1,0.84,1,0.9,0.9,0.95,0.9,0.895
35,#9A6210E8,1,1,1,1,0.75,0.925,0.9,0.95,1
34,#9ABA1A3A,1,0.95,1,0.95,1,1,1,0.9,0.95
339,#8EBF2312,0.85,0.9,0.95,0.95,1,0.95,1,0.9,0.9
338,#9A4D65B2,1,1,0.95,0.975,1,0.875,0.9,0.9,0.895
335,#913CC568,1,1,1,1,0.95,0.95,0.775,0.65,0.9
334,#9A7C5ABC,1,1,0.99,1,0.95,0.95,1,0.925,0.975
337,#8E108816,1,1,0.95,0.95,0.9,0.95,1,0.95,0.885
336,#82BC4E70,1,1,0.99,1,0.95,1,0.85,0.9,0.94
331,#8E1649D1,1,1,1,0.9,0.9,1,1,0.875,0.9
330,#8409F37E,1,1,1,1,1,0.95,0.95,0.8,0.95
333,#8E0EFA7A,1,1,0.95,1,1,0.9,0.975,0.925,0.875
332,#9ACFAAFF,1,1,1,0.975,1,1,1,0.9,0.895
345,#8EA2173B,1,1,1,0.95,1,1,0.95,0.625,0.975
6,#98319831,1,0.95,1,1,1,1,0.95,0.925,0.985
99,#9A42C119,1,1,0.915,1,0.85,1,1,0.75,0.96
98,#9A29EA59,1,1,1,1,0.97,0.975,0.975,0.975,0.93
91,#9A5F4481,1,0.95,1,1,0.95,1,1,0.85,0.895
90,#998D9480,0.9,0.85,0.95,0.85,0.95,0.85,0.9,0.925,0.92
93,#9A671DE0,1,1,0.89,0.8,0.8,1,0.9,0.825,0.925
92,#9A1646CA,1,1,0.9,1,0.675,0.925,0.825,0.95,0.975
95,#99753FD3,1,1,0.99,1,0.9,0.9,0.95,1,0.875
94,#9997848A,0.9,0.85,0.95,0.85,0.9,0.775,0.95,0.925,0.875
97,#969B636E,1,0.9,0.975,1,0.9,0.775,0.95,0.925,0.875
96,#822417B1,0.7,1,0.815,0.95,0.9,0.95,0.975,0.875,0.925
238,#8FA87651,1,1,0.95,1,0.9,0.975,0.975,0.975,0.95
239,#969EEAE2,1,1,1,0.95,0.7,0.925,1,0.9,0.96
234,#8600AA2C,1,1,1,1,0.95,1,0.975,0.85,0.92
235,#99896979,1,1,0.85,1,0.9,0.95,0.875,0.85,0.935
236,#88F92B5A,1,1,0.925,1,1,0.9,1,0.875,0.96
237,#9A422EF6,,0.95,0.975,1,0.9,1,0.925,0.8,
230,#84E62042,1,1,0.975,0.85,0.7,1,0.9,0.825,0.93
231,#8E81F7F8,1,1,0.9,1,1,1,0.925,0.725,0.895
232,#916EE718,1,0.9,0.85,1,1,0.95,0.9,0.975,0.925
233,#9A4230E8,1,1,0.98,1,0.8,1,0.95,0.975,0.935
1,#9A5D26E1,1,1,0.99,1,0.9,0.95,0.825,0.95,0.885
146,#98327CD6,1,1,1,1,1,1,0.975,0.925,0.95
147,#8E7D0BF8,1,0.95,1,0.9,0.9,1,1,0.875,0.81
144,#9AB4A789,1,1,0.975,1,0.95,0.9,0.975,0.825,0.79
