anid,remote,a0w1,a1w2,a2w3,a3w4,a4w5,a5w6,a6w7,a7w8,a8w10
344,#9A2FFE4B,1,0.9,1,0.909090909,0.975,0.8,0.95,0.925,0.875
0,#9A75E609,1,1,1,1,0.975,1,1,0.95,0.965
346,#8EC5511A,1,1,0.952380952,0.954545455,1,0.85,0.78,0.95,0.95
347,#859F9F85,1,0.95,0.928571429,1,1,1,1,0.95,0.94
340,#01467532,1,1,0.904761905,0.863636364,0.9,0.9,0.975,0.925,1
341,#8E09A225,1,0.9,0.952380952,1,0.9,0.875,0.95,0.825,0.975
342,#9DA2B986,1,0,0.895238095,0.909090909,0.9,0.8,0.95,0.825,0.7
343,#8E3D58EB,1,1,0.952380952,1,0.875,1,0.865,0.8,0.84
348,#84F0A9DD,1,1,1,1,0.85,0.8,0.75,0.775,0.965
349,#8335F442,1,1,0.933333333,0.909090909,0.8,1,0.99,0.875,0.965
298,#99892131,1,0.95,0.952380952,0.863636364,0.975,0.95,1,1,0.925
299,#9B6947B5,1,1,0.952380952,0.772727273,0.9,0.9,0.83,0.575,0
296,#8576689B,1,1,0.976190476,0.818181818,0.8,1,1,0.8,0.985
297,#894B9E5C,1,1,0.928571429,1,0.925,0.675,0.875,0.65,0
294,#9DB76248,1,1,0.976190476,0.818181818,1,0.775,1,0.8,0.985
295,#8E71827D,1,0.9,0.857142857,1,0.775,0.975,0.95,0.9,0.84
292,#9D7241AE,1,0.9,0.928571429,0.954545455,0.9,1,1,0.825,1
293,#9B585E9D,1,0.8,0.966666667,0.909090909,1,0.8,0.875,0.875,0.915
290,#9A9F5C59,1,0.95,1,0.954545455,0.725,0.525,0.915,0.75,0.965
291,#1885F06D,1,1,0.976190476,0.954545455,0.9,0.9,0.75,0.85,0.765
199,#9B722BC2,1,1,0.928571429,0.863636364,0.92,0.975,1,0.925,0.99
198,#8250D200,1,0.95,0.99047619,0.818181818,1,0.9,0.95,0.825,0.99
195,#9ABED2F6,1,0.95,1,0.772727273,0.9,0.9,1,0.95,0.99
194,#35EF9E44,1,0.9,0.976190476,1,0.8,0.7,0.84,0.85,0.975
197,#9A32CF67,1,0.85,0.919047619,1,0.9,0.7,0.85,0.9,0.975
196,#967332D7,1,0.95,0.80952381,0.954545455,0.9,0.9,1,0.875,0.975
191,#9AC3C69F,1,0.95,0.904761905,0.863636364,1,0.9,0.825,0.8,0.74
190,#9D5202CD,1,0.95,0.976190476,0.818181818,0.95,1,0.95,0.825,0.875
193,#9D58CE0B,1,0.95,0.99047619,0.954545455,0.8,0.95,0.95,0.75,0.99
192,#9D6B43B5,1,0.9,0.895238095,1,0.85,1,1,0.95,0.965
270,#85342B9A,1,0.95,0.99047619,0.954545455,0.975,1,1,0.875,0.915
271,#9685F1E2,1,0.9,0.928571429,0.863636364,0.975,0.775,0.975,0.85,0.975
272,#8F79C335,1,1,1,1,0.95,1,0.975,0.9,1
273,#325489EF,1,0.85,0.90952381,0.863636364,1,0.65,0.89,0.775,0.95
274,#911D59D5,1,0.95,0.642857143,0.954545455,0.975,0.825,1,0.95,1
275,#982E5CEA,1,0.95,0.952380952,0.931818182,1,0.875,1,0.9,0.99
276,#9AA4CCF2,1,0.95,0.719047619,0.954545455,0.975,0.775,0.975,0.925,0.95
277,#8DB1B08C,1,0.9,1,0.863636364,0.975,1,0.9,0.65,0.875
278,#9B95727C,1,0.95,0.904761905,0.954545455,0.8,1,0.99,0.75,0.975
279,#8E375CE5,1,1,0.928571429,0.954545455,0.975,0.8,0.975,0.7,0.925
108,#982E14A2,1,1,1,0.909090909,0.9,1,1,0.9,0.95
109,#959EC1CA,1,0.95,0.976190476,0.909090909,1,0.9,1,0.75,1
102,#0199DD45,1,0.95,0.857142857,0.954545455,0.975,0.9,1,1,0.965
103,#9B525990,1,0.95,1,0.909090909,0.9,0.975,0.9,0.85,0.99
100,#9A2971C2,1,0.95,0.952380952,0.954545455,0.975,1,0.9,0.95,0.975
101,#9A35B11E,1,1,1,0.954545455,0.9,0.9,0.975,0.975,0.99
106,#96D9EFA0,1,0.95,0.80952381,0.818181818,0.975,1,1,0.875,0.99
107,#855862BF,1,1,0.904761905,0.954545455,0.975,0.95,1,0.95,0.99
104,#8FC789C1,1,1,0.904761905,0.863636364,0.95,1,0.975,0.875,0.965
105,#9B98E6E5,1,1,0.976190476,0.954545455,0.975,0.975,1,0.95,1
39,#976101F7,1,1,0.976190476,0.954545455,0.95,0.925,0.975,0.9,0.95
38,#96876978,1,0.95,0.976190476,0.909090909,0.875,0.85,0.9,0.95,0.965
33,#97DE054C,1,0.95,0.928571429,1,0.8,1,1,0.825,0.99
32,#9DA84A7F,1,0.95,0.857142857,0.954545455,0.975,0.975,1,0.95,1
31,#9D7C8968,1,1,0.952380952,1,0.825,1,0.965,0.75,0.95
30,#8E129905,1,0.95,0.928571429,1,0.975,0.9,1,0.975,0.965
37,#9746DD0C,1,1,1,1,1,0.975,1,1,0.815
36,#84CDECA5,1,0.95,1,0.954545455,0.9,1,0.94,0.925,0.965
35,#9D9D6464,1,1,1,1,1,1,1,0.8,0.99
34,#915D8B47,1,0.95,0.976190476,0.954545455,0.85,0.9,1,0.85,0.925
339,#9D4007DA,1,1,0.8,0.863636364,0.95,0.9,0.925,0.55,0.65
338,#9B52FE37,1,1,0.952380952,0.772727273,0.95,0.65,0.83,0.575,0
335,#9B5C69AE,1,1,0.976190476,0.954545455,0.75,0.9,0.875,0.7,0.725
334,#967D719A,1,1,0.904761905,0,0.975,0.825,0.84,0.85,0.925
337,#9A87CCD1,1,0.85,0.904761905,0.772727273,1,0.9,0.85,0.8,0.95
336,#9B54C00F,1,0.95,0.952380952,0.954545455,1,1,0.875,0.7,0.725
331,#82E93C57,1,0.95,0.976190476,1,0.825,0.8,1,0.75,1
330,#9DA84075,1,0,0.895238095,0.818181818,0.825,0.775,0.95,0.9,0.7
333,#973A6DC0,1,0.9,1,0.954545455,1,0.9,0.9,0.65,0.875
332,#828D737C,1,0.95,0.904761905,0.954545455,0.9,0.975,0.975,0.975,0.975
345,#9684E4F6,1,0.8,0.619047619,0.818181818,0.7,0.65,0.865,0.7,0.84
6,#8E82D7DB,1,0.95,1,1,0.95,1,1,0.975,1
99,#982BA112,1,1,0.976190476,1,1,0.875,1,0.95,1
98,#9A80647E,1,0.95,0.80952381,0.818181818,0.975,0.95,1,1,0.925
91,#9B7B2ACA,1,0.9,0.942857143,0.954545455,0.975,1,1,0.725,1
90,#9ACD5C0B,1,1,0.928571429,1,0.9,0.8,1,0.975,0.99
93,#88802A22,1,1,0.976190476,1,0.75,0.975,1,0.925,0.925
