qid,FA14_ID,FA14b_ID,FA15_ID,VoteType,cans,Topic
0,l2q3,l2q3,l2q1,ind,3,1
1,l2q5,l2q5,l2q4,ind,3,1
2,l2q6,l2q6,l2q5,group,3,1
3,l2q7,l2q7,l2q6,ind,2,1
4,l2q9,l2q9,l2q7,ind,3,1
5,l2q10,l2q10,l2q8,ind,3,2
6,l2q11,l2q11,l2q9,group,3,2
7,l2q12,l2q12,l2q10,ind,3,2
8,l2q13,l2q13,l2q11,group,3,2
9,l2q16,l2q16,l2q13,ind,3,2
10,l2q17,l2q17,l2q14,ind,3,2
11,l3q7,l3q7,l4q1,ind,3,2
12,l4q10,l4q11,l5q1,ind,2,3
13,l5q10,l5q10,l5q10,ind,3,2
14,l5q13,l5q13,l5q11,ind,4,2
15,l6q4,l6q4,l6q7,ind,3,0
16,l6q5,l6q5,l6q8,group,3,0
17,l6q6,l6q6,l7q2,ind,3,0
18,l6q7,l6q7,l7q4,ind,1,0
19,l6q8,l6q8,l7q5,group,1,0
20,l6q9,l6q9,l7q6,ind,4,0
21,l6q10,l6q10,l7q7,group,4,0
22,l6q11,l6q11,l7q8,ind,2,0
23,l8q6,l8q6,l9q1,ind,5,0
24,l8q7,l8q7,l9q2,group,5,0
25,l8q8,l8q11,l9q5,ind,2,0
26,l8q9,l8q13,l9q7,ind,2,0
27,l9q4,l10q4,l11q3,ind,1,0
28,l9q5,l10q5,l11q4,ind,1,0
29,l9q6,l10q6,l11q5,ind,3,0
30,l9q7,l10q7,l11q6,ind,3,0
31,l9q8,l10q8,l11q7,ind,3,0
32,l9q10,l10q9,l11q9,ind,3,0
33,l9q11,l10q11,l11q10,ind,5,0
34,l9q12,l10q12,l11q11,group,5,0
35,l10q6,l11q6,l12q4,ind,4,0
36,l10q7,l11q7,l12q5,ind,1,0
37,l10q8,l11q8,l12q6,group,1,0
38,l10q9,l11q9,l12q7,ind,3,0
39,l10q10,l11q10,l12q8,ind,3,0
40,l10q11,l11q11,l12q9,ind,3,0
41,l10q13,l11q13,l13q6,ind,4,0
42,l10q15,l11q16,l13q8,ind,4,0
43,l10q16,l11q17,l13q9,group,4,0
44,l9q13,l10q13,l13q14,ind,3,0
45,l9q15,l10q14,l13q15,ind,2,0
46,l9q17,l10q16,l13q16,ind,1,0
47,l9q19,l10q18,l13q17,ind,1,0
48,l11q3,l12q4,l14q6,ind,3,0
49,l11q4,l12q5,l14q7,group,3,0
50,l11q5,l12q6,l14q9,ind,2,0
51,l11q7,l12q8,l14q11,ind,2,0
52,l12q1,l13q1,l15q8,ind,1,0
53,l12q2,l13q2,l15q9,ind,2,0
54,l12q4,l13q4,l15q10,ind,1,0
55,l12q5,l13q5,l15q11,group,1,0
56,l12q6,l13q6,l15q13,ind,3,0
57,l12q7,l13q7,l15q14,ind,2,0
58,l12q9,l13q9,l15q15,ind,2,0
59,l12q10,l13q10,l15q16,group,2,0
60,l12q11,l13q13,l16q10,ind,1,0
61,l12q12,l13q14,l16q11,group,1,0
62,l13q1,l13q16,l16q12,ind,5,0
63,l13q2,l13q17,l16q13,group,5,0
64,l13q3,l14q1,l16q14,ind,3,0
65,l13q4,l14q2,l16q15,group,3,0
66,l13q5,l14q3,l17q1,ind,4,0
67,l13q6,l14q4,l17q2,group,4,0
68,l13q7,l14q5,l17q3,ind,1,0
69,l13q8,l14q6,l17q4,group,1,0
70,l13q10,l14q8,l17q11,ind,4,0
71,l13q11,l14q9,l17q12,group,4,0
