anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,readingq12
0,100,100,100,100,100,100.0,NA,100.0,100.0,100.0,100.0,100.0
1,100,100,100,100,100,75.0,100.0,NA,100.0,100.0,100.0,NA
2,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3,100,100,NA,100,100,100.0,75.0,100.0,100.0,100.0,100.0,100.0
4,100,100,100,100,100,100.0,75.0,100.0,100.0,100.0,100.0,100.0
5,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6,NA,NA,NA,NA,NA,100.0,NA,100.0,100.0,100.0,100.0,100.0
7,100,100,100,75,80,100.0,100.0,100.0,100.0,100.0,100.0,100.0
8,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9,100,100,75,100,100,100.0,100.0,100.0,NA,100.0,100.0,100.0
10,100,NA,100,NA,NA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
11,100,100,100,75,100,100.0,75.0,100.0,100.0,NA,100.0,100.0
12,100,NA,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
13,100,100,75,100,100,75.0,100.0,100.0,100.0,100.0,100.0,100.0
14,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
15,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
16,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,NA
17,100,100,50,50,100,100.0,50.0,NA,100.0,100.0,100.0,100.0
18,100,100,100,100,100,100.0,100.0,100.0,75.0,100.0,100.0,100.0
19,100,100,100,100,100,75.0,100.0,100.0,75.0,75.0,100.0,100.0
20,100,NA,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
21,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
22,100,100,100,75,100,100.0,100.0,100.0,100.0,100.0,100.0,50.0
23,80,100,100,75,100,100.0,50.0,100.0,100.0,NA,50.0,100.0
24,100,100,50,NA,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
25,100,NA,100,100,100,100.0,100.0,100.0,75.0,100.0,100.0,100.0
26,100,80,75,100,80,100.0,50.0,100.0,100.0,100.0,100.0,100.0
27,100,100,100,100,100,100.0,NA,100.0,100.0,100.0,100.0,100.0
28,100,NA,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
29,100,NA,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
30,100,100,75,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
31,100,NA,100,NA,80,100.0,75.0,100.0,100.0,100.0,100.0,NA
32,80,NA,NA,75,NA,100.0,100.0,100.0,100.0,100.0,100.0,100.0
33,80,NA,100,100,100,100.0,100.0,100.0,75.0,100.0,100.0,100.0
34,80,80,50,75,60,100.0,100.0,100.0,100.0,100.0,100.0,100.0
35,100,100,100,100,60,100.0,75.0,100.0,100.0,100.0,100.0,NA
36,100,100,100,100,100,100.0,50.0,100.0,100.0,100.0,100.0,100.0
37,100,100,100,100,100,100.0,100.0,100.0,100.0,NA,100.0,100.0
38,100,100,100,75,80,100.0,100.0,100.0,100.0,100.0,100.0,100.0
39,100,100,100,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
40,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
41,100,100,100,100,100,100.0,100.0,100.0,NA,100.0,100.0,100.0
42,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
43,100,100,100,NA,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
44,100,100,75,100,60,100.0,100.0,100.0,100.0,100.0,100.0,100.0
45,80,NA,75,100,60,100.0,100.0,100.0,100.0,100.0,100.0,100.0
46,100,100,100,75,80,100.0,100.0,100.0,100.0,100.0,NA,100.0
47,NA,100,75,100,100,100.0,NA,75.0,100.0,100.0,100.0,100.0
48,100,100,100,75,100,NA,100.0,100.0,100.0,100.0,100.0,100.0
49,100,100,75,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
50,100,100,100,100,60,100.0,100.0,100.0,100.0,100.0,100.0,100.0
51,100,100,75,100,100,100.0,75.0,100.0,100.0,100.0,100.0,100.0
52,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
53,100,100,75,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
54,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
55,60,80,50,75,100,75.0,75.0,100.0,75.0,100.0,100.0,100.0
56,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
57,100,100,NA,100,100,NA,100.0,100.0,100.0,100.0,100.0,100.0
58,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
59,80,100,75,75,80,75.0,100.0,100.0,100.0,100.0,100.0,75.0
60,100,100,100,75,100,100.0,100.0,100.0,75.0,100.0,75.0,100.0
61,100,NA,100,NA,60,100.0,100.0,NA,100.0,100.0,100.0,100.0
62,80,NA,75,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
63,100,100,75,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
64,20,100,75,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
65,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
66,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
67,100,100,100,75,80,75.0,75.0,100.0,50.0,NA,75.0,NA
68,100,100,100,100,100,100.0,100.0,100.0,NA,100.0,75.0,100.0
69,80,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
70,NA,100,100,100,100,100.0,NA,100.0,100.0,100.0,NA,100.0
71,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,NA
72,100,100,100,100,80,100.0,100.0,100.0,100.0,100.0,100.0,100.0
73,80,100,100,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
74,100,100,75,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
75,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
76,80,NA,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
77,100,100,75,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
78,100,100,100,25,100,100.0,75.0,100.0,100.0,100.0,100.0,75.0
79,100,NA,100,100,100,75.0,100.0,NA,100.0,100.0,100.0,NA
80,100,100,100,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
81,100,100,100,100,100,100.0,75.0,100.0,100.0,100.0,100.0,100.0
82,NA,NA,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
83,100,NA,100,100,100,NA,100.0,100.0,100.0,100.0,100.0,100.0
84,100,100,75,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
85,100,100,75,100,100,NA,100.0,NA,100.0,NA,NA,100.0
86,NA,100,25,75,100,100.0,75.0,100.0,75.0,100.0,100.0,100.0
87,80,100,100,75,100,100.0,100.0,100.0,100.0,NA,100.0,100.0
88,100,100,75,NA,100,75.0,100.0,100.0,100.0,100.0,100.0,100.0
89,80,NA,50,NA,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
90,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
91,100,100,100,100,100,100.0,100.0,NA,100.0,100.0,100.0,100.0
92,100,100,100,75,100,75.0,100.0,100.0,100.0,100.0,100.0,100.0
93,100,100,75,75,80,100.0,100.0,100.0,100.0,75.0,100.0,100.0
94,100,100,100,75,100,100.0,75.0,100.0,75.0,100.0,100.0,100.0
95,100,100,75,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
96,80,NA,100,NA,80,75.0,NA,100.0,100.0,NA,50.0,100.0
97,100,80,100,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
98,100,100,100,75,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
99,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
100,100,100,75,100,100,100.0,75.0,100.0,75.0,100.0,100.0,100.0
101,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
102,100,NA,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0
