anid,readingq1,readingq2,readingq3,readingq4,readingq5,readingq6,readingq7,readingq8,readingq9,readingq10,readingq11,readingq12,readingq13,readingq14
0,5,5,4,5,5,4,4,5,4,5,4,4,3,4
1,5,5,4,5,5,4,4,5,4,5,4,4,3,4
2,5,5,4,5,5,4,4,5,4,5,4,4,3,4
3,5,5,4,5,5,4,4,5,4,5,4,4,3,4
4,5,5,4,5,5,4,4,5,4,5,4,4,3,4
5,5,5,4,5,5,4,4,5,4,5,4,4,3,0
6,5,5,4,5,5,4,4,5,4,5,4,4,3,4
7,4,5,4,5,5,4,4,5,4,5,4,4,3,4
8,5,5,4,5,5,4,4,5,4,5,4,4,3,4
9,5,5,4,5,5,4,4,5,4,5,4,4,3,4
10,5,5,4,5,5,4,4,5,4,5,4,4,3,4
11,5,5,4,4,5,3,4,5,4,5,4,4,3,4
12,4,5,4,5,5,4,4,5,4,5,4,4,3,4
13,5,5,4,5,5,4,4,5,4,5,4,4,3,4
14,5,5,4,5,5,4,4,5,4,5,4,4,3,4
15,3,5,4,5,5,4,4,5,4,5,4,4,3,4
16,5,5,4,5,5,4,4,5,4,5,4,4,3,4
17,5,5,4,5,5,4,4,5,4,5,4,4,3,4
18,0,5,4,5,5,4,0,5,4,5,3,0,3,4
19,5,5,4,5,5,4,4,5,4,5,4,4,3,4
20,5,0,4,5,5,4,4,5,4,5,4,4,3,4
21,0,5,4,5,5,4,4,5,4,5,4,4,0,4
22,3,5,4,5,5,4,4,5,4,5,4,4,3,4
23,5,5,4,5,5,4,4,5,4,5,4,4,3,4
24,5,5,4,5,5,4,4,5,4,5,4,4,3,4
25,5,5,4,5,5,4,4,5,4,5,4,4,3,4
26,5,5,4,5,5,4,4,5,4,5,4,4,3,4
27,5,5,4,5,5,4,4,5,4,5,4,4,3,4
28,5,5,4,5,5,4,4,5,4,5,4,4,3,4
29,5,0,4,5,5,4,4,5,4,5,4,4,3,4
30,5,4,4,5,4,3,0,0,4,5,4,4,3,4
31,5,5,4,5,5,4,4,5,4,5,4,4,3,4
32,5,5,4,5,5,4,4,5,4,5,4,4,3,4
33,5,5,4,3,5,4,0,5,4,5,4,4,3,4
34,4,5,4,4,0,4,4,5,4,5,4,4,3,4
35,5,5,4,5,5,4,4,5,4,5,4,4,3,4
36,4,5,4,5,5,0,4,5,4,5,4,4,3,4
37,5,0,4,0,5,4,4,5,4,5,4,4,3,4
38,4,5,4,5,5,4,4,5,4,5,0,4,3,4
39,4,5,4,5,5,4,4,5,4,0,3,4,3,4
40,5,5,4,5,5,4,4,5,4,5,4,4,3,4
41,5,5,4,5,5,4,4,5,4,5,4,4,3,4
42,5,0,4,5,5,0,4,5,4,5,4,4,3,4
43,5,4,4,5,5,4,4,5,0,5,4,4,3,4
44,4,5,4,5,5,4,4,5,4,5,4,4,3,4
45,5,5,4,5,5,4,4,5,4,5,4,4,3,4
46,5,5,4,5,5,4,4,5,4,5,4,4,3,4
47,5,0,4,5,5,4,4,5,4,5,4,4,3,4
48,5,5,3,5,5,4,4,5,4,5,4,4,3,4
49,5,5,4,5,5,4,4,5,4,5,4,4,3,4
50,5,5,4,5,5,4,4,5,4,5,4,4,3,4
51,5,4,4,5,5,4,4,5,4,5,3,4,3,4
52,5,5,4,5,5,4,4,5,4,5,4,4,3,4
53,4,5,4,4,5,4,4,5,4,5,4,4,3,4
54,5,5,4,5,5,4,4,5,0,5,4,4,3,4
55,5,5,3,5,5,4,4,5,4,5,4,4,3,4
56,5,5,4,5,5,4,4,5,4,5,4,4,3,4
57,5,5,4,0,5,4,4,5,4,5,4,4,3,4
58,0,5,4,0,5,4,4,5,4,5,4,4,3,4
59,5,5,2,5,5,4,4,5,4,5,3,4,3,4
60,5,5,4,5,5,4,4,5,4,5,4,4,0,4
61,5,5,4,5,5,4,4,5,4,5,0,4,3,4
62,0,5,4,5,5,4,0,5,0,5,0,4,3,4
63,5,5,4,3,5,4,4,5,4,4,4,3,3,4
64,5,5,4,1,4,4,4,5,3,5,4,4,3,4
65,5,5,4,5,5,4,4,5,4,5,4,4,3,4
66,5,5,4,5,5,4,4,5,4,5,4,4,3,3
67,5,5,4,5,5,4,4,5,4,5,4,4,3,4
68,5,5,3,4,5,4,4,5,4,5,4,4,3,4
69,5,5,4,5,5,4,4,5,2,5,4,4,0,4
70,5,5,4,4,5,4,4,5,4,5,2,4,3,4
71,0,5,4,5,5,4,4,5,4,5,4,4,3,4
72,5,5,4,5,5,4,4,5,4,5,4,4,3,4
73,5,4,4,3,5,4,4,5,4,5,4,4,3,4
74,4,5,4,5,5,4,4,5,4,5,4,4,3,4
75,5,5,4,5,5,4,4,5,4,5,4,3,1,4
76,4,5,4,5,5,4,4,5,4,5,3,4,3,4
77,5,5,4,5,5,4,0,5,0,0,4,4,3,4
78,5,5,4,5,5,4,4,5,4,5,4,4,3,4
79,5,5,4,5,5,4,4,5,4,5,4,4,3,3
80,5,5,4,5,5,4,4,5,4,5,4,4,3,4
81,5,5,3,5,5,4,4,5,4,5,4,4,3,4
