anid,readingq1,readingq2,readingq3,readingq4,readingq5
0,5,5,4,5,5
1,5,5,4,5,5
2,5,5,4,5,5
3,5,5,4,5,5
4,5,5,4,5,5
5,5,5,4,5,5
6,5,5,4,5,5
7,4,5,4,5,5
8,5,5,4,5,5
9,5,5,4,5,5
10,5,5,4,5,5
11,5,5,4,4,5
12,4,5,4,5,5
13,5,5,4,5,5
14,5,5,4,5,5
15,3,5,4,5,5
16,5,5,4,5,5
17,5,5,4,5,5
18,0,5,4,5,5
19,5,5,4,5,5
20,5,0,4,5,5
21,0,5,4,5,5
22,3,5,4,5,5
23,5,5,4,5,5
24,5,5,4,5,5
25,5,5,4,5,5
26,5,5,4,5,5
27,5,5,4,5,5
28,5,5,4,5,5
29,5,0,4,5,5
30,5,4,4,5,4
31,5,5,4,5,5
32,5,5,4,5,5
33,5,5,4,3,5
34,4,5,4,4,0
35,5,5,4,5,5
36,4,5,4,5,5
37,5,0,4,0,5
38,4,5,4,5,5
39,4,5,4,5,5
40,5,5,4,5,5
41,5,5,4,5,5
42,5,0,4,5,5
43,5,4,4,5,5
44,4,5,4,5,5
45,5,5,4,5,5
46,5,5,4,5,5
47,5,0,4,5,5
48,5,5,3,5,5
49,5,5,4,5,5
50,5,5,4,5,5
51,5,4,4,5,5
52,5,5,4,5,5
53,4,5,4,4,5
54,5,5,4,5,5
55,5,5,3,5,5
56,5,5,4,5,5
57,5,5,4,0,5
58,0,5,4,0,5
59,5,5,2,5,5
60,5,5,4,5,5
61,5,5,4,5,5
62,0,5,4,5,5
63,5,5,4,3,5
64,5,5,4,1,4
65,5,5,4,5,5
66,5,5,4,5,5
67,5,5,4,5,5
68,5,5,3,4,5
69,5,5,4,5,5
70,5,5,4,4,5
71,0,5,4,5,5
72,5,5,4,5,5
73,5,4,4,3,5
74,4,5,4,5,5
75,5,5,4,5,5
76,4,5,4,5,5
77,5,5,4,5,5
78,5,5,4,5,5
79,5,5,4,5,5
80,5,5,4,5,5
81,5,5,3,5,5
82,5,5,4,5,5
83,5,5,4,5,5
84,5,5,3,5,5
85,5,0,0,5,5
86,5,5,4,4,0
87,5,5,4,5,5
88,5,5,4,5,5
89,4,5,4,5,5
90,3,5,0,5,5
91,5,5,4,5,5
92,5,5,4,3,5
93,5,5,4,5,5
94,5,5,3,5,5
95,4,0,4,3,5
96,5,5,4,5,5
97,4,5,2,5,5
98,5,5,4,5,5
99,5,0,0,5,5
100,4,5,4,5,5
101,0,5,4,0,4
102,5,5,4,5,5
103,5,5,4,5,5
104,4,5,4,4,5
105,5,5,4,5,5
106,5,5,4,5,5
107,5,5,4,5,5
108,4,5,4,5,5
109,4,5,4,4,5
110,4,5,3,4,5
111,5,5,4,4,5
112,4,5,4,3,5
113,5,5,4,5,5
114,4,5,4,5,5
115,5,5,4,4,4
116,5,5,4,5,5
117,5,5,3,3,5
118,5,5,4,5,5
119,5,5,4,3,5
120,5,0,4,4,3
121,0,5,4,5,5
122,5,5,4,5,5
123,4,5,4,5,4
124,5,5,4,4,5
125,5,5,4,5,5
126,5,5,4,5,5
127,5,5,4,5,5
128,5,5,3,5,5
129,0,5,4,4,5
130,0,5,4,5,5
131,5,5,4,0,5
132,3,5,3,5,5
133,0,5,3,5,5
134,4,5,3,5,4
135,5,5,3,4,5
136,5,5,4,0,5
137,0,5,4,3,5
138,4,5,3,5,5
139,5,5,4,5,5
140,5,5,4,5,0
141,5,5,3,5,0
142,5,5,4,3,5
143,5,5,4,5,5
144,5,5,4,3,5
145,5,5,4,5,5
146,5,5,4,0,5
147,5,5,4,5,5
148,0,5,0,4,5
149,5,5,3,4,4
150,5,5,4,3,5
151,5,5,4,5,5
152,4,5,4,5,5
153,5,5,4,4,5
154,4,5,4,3,5
155,5,5,4,4,5
156,5,5,4,0,4
157,5,5,4,5,5
158,5,5,4,5,5
159,5,5,4,5,5
160,5,5,4,5,5
161,5,5,4,5,5
162,4,5,4,4,5
163,5,5,4,5,5
164,4,5,4,5,5
165,5,5,4,5,5
166,5,5,4,4,5
167,5,5,4,5,3
168,4,5,4,2,5
169,4,5,4,5,5
170,5,5,4,5,5
171,5,5,4,3,5
172,0,5,0,5,5
173,5,5,4,4,5
174,5,5,4,0,0
175,5,5,4,5,5
176,5,5,3,4,5
177,4,5,4,5,5
178,5,5,4,5,5
179,5,5,4,5,5
180,5,5,4,5,5
181,4,5,4,0,5
182,5,5,4,4,4
183,5,5,4,5,5
184,5,5,0,5,5
185,5,5,4,3,5
186,5,5,4,5,5
187,4,0,4,0,4
188,5,5,0,5,4
189,4,0,3,5,5
190,5,4,4,5,5
191,5,5,4,4,5
192,5,0,4,5,5
193,4,5,0,3,5
194,5,5,4,5,5
195,5,5,4,4,5
196,5,5,4,0,5
197,5,5,4,4,3
198,5,5,4,5,5
199,5,5,4,5,3
200,5,5,3,4,5
201,5,5,4,4,5
202,4,5,4,5,5
203,5,5,3,3,0
204,5,5,4,5,5
205,5,5,4,5,4
206,5,5,4,4,5
207,4,0,4,3,5
208,5,5,4,5,5
209,5,5,4,4,5
210,5,5,0,5,5
211,4,5,4,4,5
212,5,5,4,5,5
213,5,5,4,5,5
214,5,5,4,4,5
215,5,5,4,5,5
216,5,5,4,5,5
217,5,5,4,4,5
218,3,5,4,3,3
219,5,5,4,3,5
220,5,5,4,5,5
221,5,5,4,5,5
222,5,5,4,5,5
223,5,5,4,5,5
224,5,5,4,5,5
225,5,5,4,5,5
226,5,5,4,5,5
227,4,5,4,5,5
228,4,5,4,3,4
229,4,4,3,4,3
230,4,4,3,3,5
231,4,5,4,5,5
232,5,5,4,4,5
233,4,5,4,5,0
234,5,5,4,5,5
235,4,0,4,0,5
236,5,5,0,4,4
237,0,0,0,0,4
238,5,0,4,0,5
239,5,5,4,5,5
240,5,5,4,5,5
241,5,5,4,5,5
242,5,5,4,4,5
243,0,0,0,3,0
244,5,0,4,5,5
245,4,5,3,2,3
246,0,5,4,5,5
247,4,5,4,0,5
248,5,5,4,5,5
249,0,5,4,2,5
250,4,5,3,5,5
251,4,5,4,5,3
252,5,5,3,0,5
253,5,0,4,0,4
254,5,5,2,3,5
255,5,5,4,4,3
256,5,5,4,4,5
257,5,0,4,5,5
258,3,5,4,3,4
259,5,5,4,3,5
260,5,5,4,5,5
261,5,5,4,3,5
262,5,5,3,4,4
263,5,5,4,5,5
264,4,4,0,4,5
265,5,5,4,5,5
266,4,5,3,3,4
267,4,4,0,4,3
268,5,5,4,5,5
269,4,5,4,4,5
270,3,5,3,4,5
271,5,5,4,5,5
272,5,5,4,5,5
273,4,5,3,4,3
274,4,5,4,4,5
275,5,0,4,4,5
276,5,5,4,5,5
277,3,5,4,4,4
278,0,0,0,0,0
279,5,0,4,4,0
280,5,5,4,3,4
281,5,5,4,4,5
282,4,5,0,0,0
283,4,5,4,3,1
284,4,5,0,5,5
285,5,5,4,5,5
286,4,0,0,0,3
287,4,5,4,4,5
288,5,4,3,5,0
289,0,0,4,5,5
290,0,0,4,4,5
291,3,5,0,3,5
292,4,5,3,4,4
293,5,5,0,5,5
294,3,5,4,5,3
295,5,5,4,3,5
296,5,5,4,5,5
297,4,5,4,5,5
298,4,5,4,5,5
299,5,5,4,5,5
300,0,5,4,4,5
301,5,4,4,0,3
302,0,5,4,5,5
303,5,0,4,0,0
304,5,5,4,5,5
305,4,5,4,3,5
306,5,5,4,5,5
307,4,5,4,4,3
308,3,5,4,4,5
309,5,0,0,4,5
310,5,5,4,5,5
311,0,5,4,5,5
312,5,5,3,4,4
313,5,5,4,3,3
314,4,5,4,3,4
315,0,0,0,5,5
316,3,4,4,3,3
317,3,4,4,3,3
318,5,5,4,5,5
319,5,5,3,4,4
320,5,4,3,2,5
321,5,5,4,5,4
322,5,5,4,0,5
323,5,0,4,3,5
324,4,0,4,4,3
325,5,4,0,4,3
326,5,5,3,4,5
327,5,5,3,3,5
328,5,5,4,5,5
329,5,5,4,0,5
330,0,5,4,4,5
331,4,5,4,5,4
332,0,5,3,3,3
333,5,5,4,5,4
334,5,5,4,4,3
335,0,5,4,5,5
336,5,5,4,5,5
337,4,5,3,3,4
338,5,5,3,4,5
339,4,0,2,4,0
340,5,5,4,4,5
341,0,5,4,0,4
342,0,5,4,3,5
343,5,5,4,5,5
344,5,5,4,4,5
345,5,5,2,3,2
346,4,5,4,3,3
347,0,4,2,3,3
348,5,5,4,3,5
349,5,4,4,5,5
350,4,5,3,3,0
351,5,5,2,3,3
352,4,4,3,3,0
353,5,5,2,4,5
354,0,3,4,3,5
355,5,5,4,5,5
356,5,4,3,3,5
357,5,5,4,5,5
358,4,5,4,5,5
359,5,5,4,5,5
360,5,0,4,5,5
361,0,5,4,5,0
362,5,5,4,0,3
363,5,5,3,5,3
364,4,5,3,3,3
365,3,4,4,1,3
366,5,5,4,4,5
367,0,5,0,2,5
368,5,0,0,2,1
369,5,5,4,5,5
370,4,5,3,5,0
371,0,0,0,0,0
372,0,0,4,4,0
373,5,5,3,4,5
